--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
17,Marcos Alonso,es ESP,MFDF,Fiorentina,24,1990,26.1,8,0,,37,,,,,,,,,Matches,f4290206
18,Ricky Álvarez,ar ARG,MFFW,Sampdoria,27,1988,9.0,2,0,,28,,,,,,,,,Matches,92a5ac34
19,Amauri,it ITA,FW,Torino,35,1980,0.1,0,0,,1,,,,,,,,,Matches,b6d4bf9d
20,Felipe Anderson,br BRA,FWMF,Lazio,22,1993,23.0,2,0,,33,,,,,,,,,Matches,9f1893b9
21,Ionuț Andrei Radu,ro ROU,GK,Inter,,,0.2,0,0,,0,,,,,,,,,Matches,29d80748
22,Cristian Ansaldi,ar ARG,MFDF,Genoa,28,1986,22.3,4,0,,37,,,,,,,,,Matches,bbafc0c4
23,Luca Antei,it ITA,DF,Sassuolo,23,1992,3.8,2,0,,5,,,,,,,,,Matches,97c9bce3
24,Luca Antonelli,it ITA,DF,Milan,28,1987,26.0,2,0,,16,,,,,,,,,Matches,40f0ed6c
25,Siniša Anđelković,si SVN,DF,Palermo,29,1986,21.2,5,1,1,20,,,,,,,,,Matches,f978a28b
26,Lorenzo Ariaudo,it ITA,DF,Sassuolo,26,1989,2.6,0,0,,3,,,,,,,,,Matches,68b78c2a
27,Lorenzo Ariaudo,it ITA,DF,Empoli,26,1989,4.7,0,0,,1,,,,,,,,,Matches,68b78c2a
28,Pablo Armero,co COL,MF,Udinese,28,1986,4.6,0,0,,10,,,,,,,,,Matches,afabf74e
29,Kwadwo Asamoah,gh GHA,MF,Juventus,26,1988,6.3,1,0,,8,,,,,,,,,Matches,089550f5
30,Davide Astori,it ITA,DF,Fiorentina,28,1987,32.2,5,0,,39,,,,,,,,,Matches,1522dab2
31,Danilo Avelar,br BRA,MF,Torino,26,1989,3.8,1,0,,7,,,,,,,,,Matches,eacb45fd
32,Khouma Babacar,sn SEN,FW,Fiorentina,22,1993,8.9,2,0,,23,,,,,,,,,Matches,422ec08a
33,Carlos Bacca,co COL,FW,Milan,28,1986,35.1,2,0,,30,,,,,,,,,Matches,09a9e921
34,Milan Badelj,hr CRO,MF,Fiorentina,26,1989,23.7,9,1,1,38,,,,,,,,,Matches,e8c930bb
35,Keita Baldé,sn SEN,FW,Lazio,20,1995,19.7,5,0,,26,,,,,,,,,Matches,509a4ccb
36,Norbert Balogh,hu HUN,FW,Palermo,19,1996,0.6,0,0,,4,,,,,,,,,Matches,24190824
37,Mario Balotelli,it ITA,FW,Milan,24,1990,9.3,6,0,,26,,,,,,,,,Matches,8ff07990
38,Federico Barba,it ITA,DF,Empoli,21,1993,9.9,3,0,,9,,,,,,,,,Matches,c010b898
39,Francesco Bardi,it ITA,GK,Frosinone,23,1992,1.3,1,0,,0,,,,,,,,,Matches,0acda699
40,Édgar Barreto,py PAR,MF,Sampdoria,31,1984,24.0,3,0,,29,,,,,,,,,Matches,43a1bea5
41,Andrea Barzagli,it ITA,DF,Juventus,34,1981,30.4,2,0,,8,,,,,,,,,Matches,7c0000fd
42,Daniele Baselli,it ITA,MF,Torino,23,1992,25.2,6,0,,48,,,,,,,,,Matches,ea06dd97
43,Davide Bassi,it ITA,GK,Atalanta,30,1985,1.0,0,0,,0,,,,,,,,,Matches,b260a8e3
44,Dušan Basta,rs SRB,DF,Lazio,30,1984,20.2,1,0,,24,,,,,,,,,Matches,3b57f7f8
45,Vid Belec,si SVN,GK,Carpi,25,1990,30.0,1,0,,0,,,,,,,,,Matches,4f8ce0e1
46,Gianpaolo Bellini,it ITA,DF,Atalanta,35,1980,10.5,4,0,,20,,,,,,,,,Matches,77b818ea
47,Andrea Belotti,it ITA,FW,Torino,21,1993,28.8,4,0,,66,,,,,,,,,Matches,d705ba44
48,Marco Benassi,it ITA,MF,Torino,20,1994,21.2,7,0,,36,,,,,,,,,Matches,0000acda
49,Accursio Bentivegna,it ITA,FW,Palermo,19,1996,0.1,1,0,,1,,,,,,,,,Matches,2130bea6
50,Francesco Benussi,it ITA,GK,Carpi,33,1981,3.3,0,0,,0,,,,,,,,,Matches,42bcb825
51,Domenico Berardi,it ITA,FW,Sassuolo,20,1994,24.1,10,1,,40,,,,,,,,,Matches,53a0e358
52,Etrit Berisha,al ALB,GK,Lazio,26,1989,9.7,1,0,,0,,,,,,,,,Matches,ee833569
53,Federico Bernardeschi,it ITA,MF,Fiorentina,21,1994,25.2,6,0,,33,,,,,,,,,Matches,ee93c1a9
54,Andrea Bertolacci,it ITA,MF,Milan,24,1991,20.1,6,0,,38,,,,,,,,,Matches,c75b6a02
55,Davide Bertoncini,it ITA,DF,Frosinone,24,1991,4.1,1,0,,3,,,,,,,,,Matches,cab28bbe
56,Jonathan Biabiany,fr FRA,MFFW,Inter,27,1988,9.7,3,0,,8,,,,,,,,,Matches,6b99d135
57,Matteo Bianchetti,it ITA,DF,Hellas Verona,22,1993,17.6,4,0,,25,,,,,,,,,Matches,b3a20f18
58,Raffaele Bianco,it ITA,MF,Carpi,27,1987,20.6,7,1,1,45,,,,,,,,,Matches,147c0f9e
59,Lucas Biglia,ar ARG,MF,Lazio,29,1986,25.5,11,1,1,48,,,,,,,,,Matches,5710a281
60,Davide Biondini,it ITA,MF,Sassuolo,32,1983,12.3,3,0,,17,,,,,,,,,Matches,b4c3070a
61,Valter Birsa,si SVN,MFFW,Chievo,28,1986,26.3,4,0,,42,,,,,,,,,Matches,455a2b79
62,Milan Biševac,rs SRB,DF,Lazio,31,1983,10.1,0,0,,11,,,,,,,,,Matches,a51728e3
63,Luca Bittante,it ITA,DF,Empoli,21,1993,5.8,0,0,,7,,,,,,,,,Matches,2d3432e7
64,Albano Bizzarri,ar ARG,GK,Chievo,37,1977,35.0,2,0,,0,,,,,,,,,Matches,32b9b5fa
65,Leonardo Blanchard,it ITA,DF,Frosinone,27,1988,27.2,13,1,,32,,,,,,,,,Matches,7359f559
66,Kevin-Prince Boateng,gh GHA,MF,Milan,28,1987,2.2,1,0,,6,,,,,,,,,Matches,f4ec4fd0
67,Giacomo Bonaventura,it ITA,MFFW,Milan,25,1989,31.6,8,0,,43,,,,,,,,,Matches,d995ed27
68,Federico Bonazzoli,it ITA,FW,Sampdoria,18,1997,0.8,0,0,,0,,,,,,,,,Matches,bf57eaab
69,Leonardo Bonucci,it ITA,DF,Juventus,28,1987,35.1,6,0,,35,,,,,,,,,Matches,52ec54d0
70,Marco Borriello,it ITA,FW,Atalanta,33,1982,9.5,3,0,,25,,,,,,,,,Matches,a889ffc7
71,Marco Borriello,it ITA,FW,Carpi,33,1982,8.3,1,1,,23,,,,,,,,,Matches,a889ffc7
72,Cesare Bovo,it ITA,DF,Torino,32,1983,19.9,10,0,,34,,,,,,,,,Matches,6d584b34
73,Edson Braafheid,nl NED,DF,Lazio,32,1983,3.7,0,0,,6,,,,,,,,,Matches,f8e3660d
74,Franco Brienza,it ITA,MFFW,Bologna,36,1979,18.7,1,0,,10,,,,,,,,,Matches,aff058a4
75,Matteo Brighi,it ITA,MF,Bologna,34,1981,16.3,3,0,,27,,,,,,,,,Matches,d417b306
76,Alberto Brignoli,it ITA,GK,Sampdoria,23,1991,1.0,0,0,,0,,,,,,,,,Matches,6989550f
77,Davide Brivio,it ITA,DFMF,Atalanta,27,1988,11.2,2,0,,7,,,,,,,,,Matches,32e0c69e
78,Željko Brkić,rs SRB,GK,Carpi,29,1986,3.7,0,0,,0,,,,,,,,,Matches,5b8e51a8
79,Marcelo Brozović,hr CRO,MF,Inter,22,1992,26.6,7,0,,39,,,,,,,,,Matches,33b8d077
80,Gastón Brugman,uy URU,MFFW,Palermo,22,1992,10.8,2,0,,21,,,,,,,,,Matches,e947ee4a
81,Igor Bubnjić,hr CRO,DF,Carpi,23,1992,8.0,1,0,,9,,,,,,,,,Matches,aea881d3
82,Marcel Büchel,li LIE,MF,Empoli,24,1991,17.5,10,0,,42,,,,,,,,,Matches,2edeb221
83,Gianluigi Buffon,it ITA,GK,Juventus,37,1978,35.0,1,0,,0,,,,,,,,,Matches,e40d028b
84,Nicolás Burdisso,ar ARG,DF,Genoa,34,1981,27.2,7,0,,37,,,,,,,,,Matches,9417f322
85,Jakub Błaszczykowski,pl POL,MFFW,Fiorentina,29,1985,8.5,1,0,,6,,,,,,,,,Matches,2b350e6b
86,Fabrizio Cacciatore,it ITA,DF,Chievo,28,1986,25.7,6,0,,23,,,,,,,,,Matches,00b0bb87
87,Martín Cáceres,uy URU,DF,Juventus,28,1987,5.0,0,0,,6,,,,,,,,,Matches,e94d79e3
88,Davide Calabria,it ITA,DF,Milan,18,1996,4.1,4,0,,8,,,,,,,,,Matches,2146785a
89,José Callejón,es ESP,FW,Napoli,28,1987,31.3,4,0,,22,,,,,,,,,Matches,78841da9
90,Michele Camporese,it ITA,DF,Empoli,23,1992,1.8,0,0,,0,,,,,,,,,Matches,035c1d09
91,Antonio Candreva,it ITA,FWMF,Lazio,28,1987,24.3,4,0,,13,,,,,,,,,Matches,356c9002
92,Paolo Cannavaro,it ITA,DF,Sassuolo,34,1981,29.4,8,0,,26,,,,,,,,,Matches,46ed55b6
93,Diego Capel,es ESP,FWMF,Genoa,27,1988,8.0,2,0,,6,,,,,,,,,Matches,4933a2f2
94,Carlos Carbonero,co COL,FWMF,Sampdoria,25,1990,11.5,3,0,,28,,,,,,,,,Matches,11af1c57
95,Massimiliano Carlini,it ITA,MFFW,Frosinone,28,1986,4.3,0,0,,12,,,,,,,,,Matches,fc478db0
96,Carlos Carmona,cl CHI,MF,Atalanta,28,1987,5.2,4,1,1,13,,,,,,,,,Matches,12b9753e
97,Mattia Cassani,it ITA,DF,Sampdoria,31,1983,22.6,8,1,1,35,,,,,,,,,Matches,f3d0d85e
98,Antonio Cassano,it ITA,FWMF,Sampdoria,33,1982,13.5,1,0,,10,,,,,,,,,Matches,d0ed4d32
99,Leandro Castán,br BRA,DF,Roma,28,1986,4.2,1,0,,11,,,,,,,,,Matches,019f4d0d
100,Nicolás Castillo,cl CHI,FW,Frosinone,22,1993,3.4,1,0,,12,,,,,,,,,Matches,58a160e1
101,Lucas Castro,ar ARG,MF,Chievo,26,1989,30.9,9,0,,58,,,,,,,,,Matches,56b2957b
102,Danilo Cataldi,it ITA,MF,Lazio,20,1994,15.0,10,1,1,24,,,,,,,,,Matches,ba3d3bea
103,Alessio Cerci,it ITA,FW,Genoa,28,1987,6.1,1,0,,20,,,,,,,,,Matches,5370cba7
104,Alessio Cerci,it ITA,FWMF,Milan,28,1987,8.4,0,0,,1,,,,,,,,,Matches,5370cba7
105,Boštjan Cesar,si SVN,DF,Chievo,33,1982,30.2,11,1,1,43,,,,,,,,,Matches,c1d18f10
106,Nathaniel Chalobah,eng ENG,DFMF,Napoli,20,1994,0.4,0,0,,2,,,,,,,,,Matches,422862ea
107,Luca Checchin,it ITA,MF,Hellas Verona,18,1997,1.1,1,0,,2,,,,,,,,,Matches,2d6dc11c
108,Nicolò Cherubin,it ITA,DF,Atalanta,28,1986,11.5,1,1,,14,,,,,,,,,Matches,88189b42
109,Raman Chibsah,gh GHA,MF,Frosinone,22,1993,12.9,3,1,1,22,,,,,,,,,Matches,aa5a409a
110,Giorgio Chiellini,it ITA,DF,Juventus,30,1984,19.9,6,1,1,27,,,,,,,,,Matches,e85fb9b8
111,Vlad Chiricheș,ro ROU,DF,Napoli,25,1989,7.7,2,0,,10,,,,,,,,,Matches,c316607a
112,Ivaylo Chochev,bg BUL,MF,Palermo,22,1993,19.4,6,0,,25,,,,,,,,,Matches,39c53a23
113,Lazaros Christodoulopoulos,gr GRE,MFFW,Sampdoria,28,1986,3.9,3,0,,8,,,,,,,,,Matches,f73abe54
114,Luca Cigarini,it ITA,MF,Atalanta,29,1986,20.2,10,0,,47,,,,,,,,,Matches,ae64d449
115,Daniel Ciofani,it ITA,FW,Frosinone,30,1985,32.3,1,0,,56,,,,,,,,,Matches,b09a3ecc
116,Matteo Ciofani,it ITA,DF,Frosinone,27,1988,14.2,1,0,,20,,,,,,,,,Matches,d9448e6b
117,Thiago Cionek,pl POL,DF,Palermo,29,1986,5.0,2,0,,9,,,,,,,,,Matches,46f5c54d
118,Issa Cissokho,sn SEN,MF,Genoa,30,1985,7.2,2,1,1,7,,,,,,,,,Matches,a1017967
119,Andrea Coda,it ITA,DF,Sampdoria,30,1985,1.4,1,0,,2,,,,,,,,,Matches,6e110b50
120,Isaac Cofie,gh GHA,MF,Carpi,23,1991,23.9,7,0,,43,,,,,,,,,Matches,c6dda86e
121,Simone Colombi,it ITA,GK,Palermo,24,1991,1.0,0,0,,0,,,,,,,,,Matches,72be9309
122,Simone Colombi,it ITA,GK,Carpi,24,1991,1.0,0,0,,0,,,,,,,,,Matches,72be9309
123,Kingsley Coman,fr FRA,FW,Juventus,19,1996,0.7,0,0,,0,,,,,,,,,Matches,042e8a49
124,Andrea Consigli,it ITA,GK,Sassuolo,28,1987,36.3,3,1,,0,,,,,,,,,Matches,8cabdc1e
125,Kévin Constant,gn GUI,DF,Bologna,28,1987,3.1,0,0,,7,,,,,,,,,Matches,062b01b9
126,Andrea Conti,it ITA,MFDF,Atalanta,21,1994,9.0,3,1,1,12,,,,,,,,,Matches,8fef5412
127,Ferdinando Coppola,it ITA,GK,Hellas Verona,37,1978,1.0,0,0,,0,,,,,,,,,Matches,7feaf90b
128,Joaquín Correa,ar ARG,MFFW,Sampdoria,20,1994,14.6,7,1,1,15,,,,,,,,,Matches,45b9b619
129,Uroš Ćosić,rs SRB,DF,Empoli,22,1992,9.0,4,0,,11,,,,,,,,,Matches,69960ac3
130,Andrea Costa,it ITA,DF,Empoli,29,1986,23.1,4,0,,21,,,,,,,,,Matches,f5e9a8bd
131,Filippo Costa,it ITA,DFMF,Chievo,20,1995,1.5,0,0,,2,,,,,,,,,Matches,00528660
132,Angelo da Costa Júnior,br BRA,GK,Bologna,31,1983,5.0,1,0,,0,,,,,,,,,Matches,18736214
133,Tino Costa,ar ARG,MF,Fiorentina,30,1985,3.2,3,0,,6,,,,,,,,,Matches,8f747a86
134,Tino Costa,ar ARG,MF,Genoa,30,1985,10.3,4,0,,14,,,,,,,,,Matches,8f747a86
135,Marco Crimi,it ITA,MF,Bologna,25,1990,0.5,0,0,,9,,,,,,,,,Matches,3872a972
136,Marco Crimi,it ITA,MFFW,Carpi,25,1990,10.8,9,0,,41,,,,,,,,,Matches,3872a972
137,Lorenzo Crisetig,it ITA,MF,Bologna,22,1993,3.9,1,0,,8,,,,,,,,,Matches,f54dfca8
138,Bryan Cristante,it ITA,MF,Palermo,20,1995,1.0,0,0,,2,,,,,,,,,Matches,16657b95
139,Roberto Crivello,it ITA,DF,Frosinone,23,1991,16.0,5,0,,20,,,,,,,,,Matches,1e092d9c
140,Daniele Croce,it ITA,MF,Empoli,32,1982,19.9,3,0,,20,,,,,,,,,Matches,e931f5da
141,Juan Cuadrado,co COL,MFFW,Juventus,27,1988,19.2,2,0,,34,,,,,,,,,Matches,0ab1f153
142,Marco D'Alessandro,it ITA,FWMF,Atalanta,24,1991,12.8,3,0,,17,,,,,,,,,Matches,060606ec
143,Danilo D'Ambrosio,it ITA,DFMF,Inter,26,1988,18.0,5,1,1,31,,,,,,,,,Matches,44eb9093
144,Dario Dainelli,it ITA,DF,Chievo,36,1979,15.3,5,0,,18,,,,,,,,,Matches,3858e611
145,Felipe dal Belo,br BRA,DF,Udinese,31,1984,23.8,11,1,,39,,,,,,,,,Matches,8cea6319
146,Fabio Daprelà,ch SUI,DFMF,Carpi,24,1991,0.7,1,0,,1,,,,,,,,,Matches,6bff8a73
147,Fabio Daprelà,ch SUI,MF,Palermo,24,1991,1.7,1,0,,5,,,,,,,,,Matches,6bff8a73
148,Sebastien De Maio,fr FRA,DF,Genoa,28,1987,24.8,7,1,1,46,,,,,,,,,Matches,952a03fe
149,Daniele De Rossi,it ITA,MFDF,Roma,32,1983,21.2,9,0,,23,,,,,,,,,Matches,532d2690
150,Morgan De Sanctis,it ITA,GK,Roma,38,1977,4.0,0,0,,0,,,,,,,,,Matches,83228343
151,Mattia De Sciglio,it ITA,DF,Milan,22,1992,20.4,3,0,,34,,,,,,,,,Matches,ae4e2852
152,Lorenzo De Silvestri,it ITA,MFDF,Sampdoria,27,1988,15.5,4,0,,29,,,,,,,,,Matches,e74f0e59
153,Grégoire Defrel,mq MTQ,FW,Sassuolo,24,1991,22.8,4,1,1,46,,,,,,,,,Matches,854ee61a
154,Fabio Della Giovanna,it ITA,DF,Inter,18,1997,0.1,0,0,,0,,,,,,,,,Matches,40872399
155,Germán Denis,ar ARG,FW,Atalanta,33,1981,10.8,0,0,,23,,,,,,,,,Matches,3b64f69d
156,Mattia Destro,it ITA,FW,Bologna,24,1991,23.7,9,0,,44,,,,,,,,,Matches,d7d32194
157,Antonio Di Gaudio,it ITA,MFFW,Carpi,25,1989,16.7,2,0,,16,,,,,,,,,Matches,434b8c73
158,Lorenzo Di Livio,it ITA,MF,Roma,18,1997,0.2,1,0,,2,,,,,,,,,Matches,fa28e7d3
159,Antonio Di Natale,it ITA,FW,Udinese,37,1977,12.8,0,0,,3,,,,,,,,,Matches,45f26945
160,Modibo Diakité,fr FRA,DF,Frosinone,28,1987,18.0,3,0,,31,,,,,,,,,Matches,e5eb4ab4
161,Modibo Diakité,fr FRA,DF,Sampdoria,28,1987,7.2,4,0,,22,,,,,,,,,Matches,e5eb4ab4
162,Alessandro Diamanti,it ITA,FWMF,Atalanta,32,1983,9.5,4,0,,20,,,,,,,,,Matches,cb5af1af
163,Amadou Diawara,gn GUI,MF,Bologna,18,1997,30.3,13,2,2,50,,,,,,,,,Matches,bf309d24
164,Lucas Digne,fr FRA,DF,Roma,22,1993,31.7,4,0,,50,,,,,,,,,Matches,1b84dbe1
165,Federico Dionisi,it ITA,FW,Frosinone,28,1987,27.1,11,1,,60,,,,,,,,,Matches,a74d2999
166,Assane Dioussé,sn SEN,MF,Empoli,17,1997,9.6,4,1,1,21,,,,,,,,,Matches,7f622eef
167,Berat Djimsiti,al ALB,DF,Atalanta,22,1993,3.0,1,0,,2,,,,,,,,,Matches,6eee05f1
168,Dodô,br BRA,MFDF,Sampdoria,23,1992,15.8,4,0,,18,,,,,,,,,Matches,99931185
169,Maurizio Domizzi,it ITA,DF,Udinese,35,1980,3.0,1,0,,6,,,,,,,,,Matches,822aad0c
170,Gianluigi Donnarumma,it ITA,GK,Milan,16,1999,29.2,3,0,,0,,,,,,,,,Matches,08f5afaa
171,Godfred Donsah,gh GHA,MF,Bologna,19,1996,14.9,2,0,,19,,,,,,,,,Matches,384dd218
172,Boukary Dramé,sn SEN,DFMF,Atalanta,30,1985,22.8,3,1,1,22,,,,,,,,,Matches,a5cd894b
173,Alfred Duncan,gh GHA,MF,Sassuolo,22,1993,27.6,5,0,,48,,,,,,,,,Matches,528492ea
174,Paulo Dybala,ar ARG,FW,Juventus,21,1993,27.1,1,0,,20,,,,,,,,,Matches,e0921a4f
175,Edin Džeko,ba BIH,FW,Roma,29,1986,21.8,4,1,,45,,,,,,,,,Matches,3bb7f478
176,Blerim Džemaili,ch SUI,MF,Genoa,29,1986,19.8,7,1,,34,,,,,,,,,Matches,756959aa
177,Edenílson,br BRA,MF,Udinese,25,1989,24.5,3,0,,26,,,,,,,,,Matches,4e50f20e
178,Éder,it ITA,FW,Sampdoria,28,1986,18.2,2,0,,25,,,,,,,,,Matches,5a325298
179,Éder,it ITA,FWMF,Inter,28,1986,8.3,1,0,,12,,,,,,,,,Matches,5a325298
180,Simone Edera,it ITA,MF,Torino,18,1997,0.1,0,0,,0,,,,,,,,,Matches,8697c095
181,Rodrigo Ely,br BRA,DF,Milan,21,1993,1.9,3,1,1,8,,,,,,,,,Matches,fd47b4f2
182,Urby Emanuelson,nl NED,MFDF,Hellas Verona,29,1986,6.9,0,0,,6,,,,,,,,,Matches,66e83563
183,Marcelo Estigarribia,py PAR,DFMF,Atalanta,27,1987,0.3,0,0,,0,,,,,,,,,Matches,188a2362
184,Patrice Evra,fr FRA,MFDF,Juventus,34,1981,22.7,7,1,1,23,,,,,,,,,Matches,51a3caf1
185,Diego Falcinelli,it ITA,FW,Sassuolo,24,1991,12.4,1,0,,28,,,,,,,,,Matches,a39b9ef6
186,Filippo Falco,it ITA,FW,Bologna,23,1992,2.5,1,0,,7,,,,,,,,,Matches,e23f56c1
187,Iago Falque,es ESP,FWMF,Roma,25,1990,13.0,1,0,,8,,,,,,,,,Matches,440c84ed
188,Mohamed Fares,dz ALG,DFMF,Hellas Verona,19,1996,6.1,2,0,,8,,,,,,,,,Matches,b7a5bc86
189,Alexander Farnerud,se SWE,MF,Torino,31,1984,1.1,0,0,,2,,,,,,,,,Matches,93b21179
190,Andrea Favilli,it ITA,FW,Juventus,18,1997,0.0,0,0,,0,,,,,,,,,Matches,44510fde
191,Matteo Fedele,ch SUI,MF,Carpi,23,1992,6.3,2,0,,20,,,,,,,,,Matches,80ab2ca2
192,Bruno Fernandes,pt POR,MFFW,Udinese,20,1994,23.4,9,1,1,24,,,,,,,,,Matches,507c7bdf
193,Matías Fernández,cl CHI,MF,Fiorentina,29,1986,12.0,5,1,1,19,,,,,,,,,Matches,8a250399
194,Fernando,br BRA,MF,Sampdoria,23,1992,33.1,14,0,,72,,,,,,,,,Matches,34c3ec17
195,Alex Ferrari,it ITA,DF,Bologna,21,1994,14.0,6,0,,27,,,,,,,,,Matches,d0dbca9f
196,Riccardo Fiamozzi,it ITA,MF,Genoa,22,1993,5.3,1,0,,2,,,,,,,,,Matches,9f9b9269
197,Diogo Figueiras,pt POR,MFDF,Genoa,24,1991,6.1,2,0,,12,,,,,,,,,Matches,3e587547
198,Sergio Floccari,it ITA,FW,Bologna,33,1981,12.4,0,0,,14,,,,,,,,,Matches,df301450
199,Sergio Floccari,it ITA,FW,Sassuolo,33,1981,4.8,1,0,,12,,,,,,,,,Matches,df301450
200,Alessandro Florenzi,it ITA,DFMF,Roma,24,1991,30.2,4,0,,23,,,,,,,,,Matches,e288d4b3
201,Antonio Floro Flores,it ITA,FWMF,Chievo,32,1983,7.2,2,0,,11,,,,,,,,,Matches,d6846501
202,Antonio Floro Flores,it ITA,FW,Sassuolo,32,1983,7.1,0,0,,14,,,,,,,,,Matches,d6846501
203,Alessandro Frara,it ITA,MF,Frosinone,32,1982,12.9,3,0,,12,,,,,,,,,Matches,9ad115ba
204,Remo Freuler,ch SUI,MF,Atalanta,23,1992,5.0,0,0,,15,,,,,,,,,Matches,98d2c2c4
205,Nicolas Frey,fr FRA,DF,Chievo,31,1984,16.5,3,0,,15,,,,,,,,,Matches,6378443d
206,Dominik Furman,pl POL,MF,Hellas Verona,23,1992,0.2,0,0,,1,,,,,,,,,Matches,cd39528d
207,Manolo Gabbiadini,it ITA,FW,Napoli,23,1991,6.2,1,0,,11,,,,,,,,,Matches,8f866fe8
208,Gabriel,br BRA,GK,Napoli,22,1992,1.0,0,0,,0,,,,,,,,,Matches,f93ed0df
209,Roberto Gagliardini,it ITA,MF,Atalanta,21,1994,0.9,0,0,,2,,,,,,,,,Matches,ce30bfc8
210,Riccardo Gagliolo,se SWE,DF,Carpi,25,1990,29.3,13,1,1,46,,,,,,,,,Matches,173061c0
211,Serge Gakpé,tg TOG,FW,Genoa,28,1987,8.6,1,0,,18,,,,,,,,,Matches,cf4053e2
212,Serge Gakpé,tg TOG,FWMF,Atalanta,28,1987,0.9,0,0,,1,,,,,,,,,Matches,cf4053e2
213,Alessandro Gamberini,it ITA,DF,Chievo,33,1981,20.1,1,0,,12,,,,,,,,,Matches,8ec95452
214,Daniele Gastaldello,it ITA,DF,Bologna,32,1983,24.4,9,1,1,35,,,,,,,,,Matches,13f89eaa
215,Alessandro Gazzi,it ITA,MF,Torino,32,1983,10.7,4,0,,26,,,,,,,,,Matches,63d2a792
216,Marcello Gazzola,it ITA,DF,Sassuolo,30,1985,5.3,1,0,,2,,,,,,,,,Matches,93390969
217,Santiago Gentiletti,ar ARG,DF,Lazio,30,1985,19.0,10,0,,36,,,,,,,,,Matches,4ac07e1b
218,Gervinho,ci CIV,FWMF,Roma,28,1987,12.1,0,0,,5,,,,,,,,,Matches,e468c053
219,Faouzi Ghoulam,dz ALG,DF,Napoli,24,1991,32.4,3,0,,18,,,,,,,,,Matches,c5adc293
220,Emanuele Giaccherini,it ITA,FWMF,Bologna,30,1985,24.2,7,0,,14,,,,,,,,,Matches,1c50f354
221,Alberto Gilardino,it ITA,FW,Palermo,33,1982,26.1,4,0,,47,,,,,,,,,Matches,45aa5d13
222,Gilberto,br BRA,DFMF,Hellas Verona,22,1993,2.0,1,0,,4,,,,,,,,,Matches,1338e42b
223,Gilberto,br BRA,MF,Fiorentina,22,1993,3.1,1,0,,3,,,,,,,,,Matches,1338e42b
224,Luigi Giorgi,it ITA,MF,Atalanta,28,1987,0.2,0,0,,0,,,,,,,,,Matches,c2aa89f5
225,Kamil Glik,pl POL,DF,Torino,27,1988,33.0,11,0,,56,,,,,,,,,Matches,c6056d58
226,Assane Gnoukouri,ci CIV,MF,Inter,18,1996,0.6,0,0,,1,,,,,,,,,Matches,2e2e72d5
227,Massimo Gobbi,it ITA,DF,Chievo,34,1980,31.0,7,0,,50,,,,,,,,,Matches,635b0bae
228,Edoardo Goldaniga,it ITA,DF,Palermo,21,1993,13.5,5,0,,20,,,,,,,,,Matches,4b029b31
229,Pierluigi Gollini,it ITA,GK,Hellas Verona,20,1995,25.8,2,0,,0,,,,,,,,,Matches,f0f7f62f
230,Papu Gómez,ar ARG,FW,Atalanta,27,1988,31.2,4,1,,30,,,,,,,,,Matches,6e4df551
