--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
1,Ignazio Abate,it ITA,DF,Milan,28,1986,25.0,7,0,,37,,,,,,,,,Matches,1c529186
2,Christian Abbiati,it ITA,GK,Milan,38,1977,0.8,0,0,,0,,,,,,,,,Matches,322421c2
3,Francesco Acerbi,it ITA,DF,Sassuolo,27,1988,36.0,3,0,,21,,,,,,,,,Matches,b96b595c
4,Robert Acquafresca,it ITA,FW,Bologna,27,1987,2.3,0,0,,0,,,,,,,,,Matches,d2b115ae
5,Afriyie Acquah,gh GHA,MF,Torino,23,1992,21.0,9,0,,39,,,,,,,,,Matches,d7403bd5
6,Claud Adjapong,it ITA,DFMF,Sassuolo,17,1998,0.2,0,0,,1,,,,,,,,,Matches,ce5b170a
7,Ali Adnan Kadhim,iq IRQ,MFDF,Udinese,21,1993,21.2,6,0,,39,,,,,,,,,Matches,06050480
8,Luiz Adriano,br BRA,FW,Milan,28,1987,13.3,4,0,,17,,,,,,,,,Matches,2557c196
9,Rodrigo Aguirre,uy URU,FW,Udinese,20,1994,3.8,1,0,,9,,,,,,,,,Matches,b5691f5d
10,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,24,1990,29.6,6,0,,33,,,,,,,,,Matches,fe0b8f0e
11,Arlind Ajeti,al ALB,DF,Frosinone,21,1993,13.5,5,1,,17,,,,,,,,,Matches,f9714604
12,Fabrizio Alastra,it ITA,GK,Palermo,17,1997,1.6,0,0,,0,,,,,,,,,Matches,cfed4243
13,Michelangelo Albertazzi,it ITA,DF,Hellas Verona,24,1991,7.8,4,0,,16,,,,,,,,,Matches,330e4b00
14,Raúl Albiol,es ESP,DF,Napoli,29,1985,36.0,10,0,,33,,,,,,,,,Matches,4bd414c1
15,Alex,br BRA,DF,Milan,33,1982,23.2,5,0,,30,,,,,,,,,Matches,58721835
16,Allan,br BRA,MF,Napoli,24,1991,31.3,5,0,,59,,,,,,,,,Matches,cc700722
