--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,,-additional
42,Andrea Seculin,it ITA,GK,Chievo,25,1990,3,3,270,3.0,2,0.67,15,13,86.7,1,1,1,0,0.0,,,,,,Matches,c4f573f4
43,Łukasz Skorupski,pl POL,GK,Empoli,24,1991,31,31,2790,31.0,43,1.39,127,84,66.1,9,9,13,9,29.0,,,,,,Matches,ab4449d6
44,Stefano Sorrentino,it ITA,GK,Palermo,36,1979,35,35,3096,34.4,58,1.69,178,120,67.4,10,8,16,9,25.7,,,,,,Matches,048877f5
45,Marco Sportiello,it ITA,GK,Atalanta,23,1992,36,36,3240,36.0,43,1.19,144,101,70.1,10,12,14,11,30.6,,,,,,Matches,ac4003af
46,Wojciech Szczęsny,pl POL,GK,Roma,25,1990,34,34,3060,34.0,34,1.00,130,96,73.8,22,10,2,8,23.5,,,,,,Matches,01b8a2b2
47,Ciprian Tătărușanu,ro ROU,GK,Fiorentina,29,1986,37,37,3310,36.8,39,1.06,104,65,62.5,17,10,10,14,37.8,,,,,,Matches,b056e3da
48,Emiliano Viviano,it ITA,GK,Sampdoria,29,1985,37,37,3330,37.0,56,1.51,194,138,71.1,10,10,17,7,18.9,,,,,,Matches,03760df0
49,Massimo Zappino,br BRA,GK,Frosinone,34,1981,4,3,331,3.7,14,3.81,33,19,57.6,0,0,4,0,0.0,,,,,,Matches,03d5e282


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2015-2016/keepers/2015-2016-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_keeper">View Original Table</a><br>Generated 8/25/2026.
