--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
1,Ignazio Abate,it ITA,DF,Milan,28,1986,27,2248,83,65.7,25.0,27,,23,0,,3,1.52,31,24,+7,+0.28,+0.36,Matches,1c529186
2,Christian Abbiati,it ITA,GK,Milan,38,1977,1,72,72,2.1,0.8,0,,0,1,,35,1.00,0,0,0,0.00,-0.16,Matches,322421c2
3,Nura Abdullahi,ng NGA,DF,Roma,17,1997,0,,,,,0,,0,0,,6,,,,,,,Matches,d24769d8
4,Federico Abelli,it ITA,MF,Sassuolo,18,1997,0,,,,,0,,0,0,,3,,,,,,,Matches,6cf66b6e
5,Francesco Acerbi,it ITA,DF,Sassuolo,27,1988,36,3240,90,94.7,36.0,36,,36,0,,0,1.67,48,38,+10,+0.28,+0.78,Matches,b96b595c
6,Robert Acquafresca,it ITA,FW,Bologna,27,1987,6,208,35,6.1,2.3,2,,0,4,,20,0.00,1,8,-7,-3.03,-2.89,Matches,d2b115ae
7,Afriyie Acquah,gh GHA,MF,Torino,23,1992,29,1888,65,55.2,21.0,22,,12,7,,2,1.21,31,28,+3,+0.14,+0.50,Matches,d7403bd5
8,Claud Adjapong,it ITA,DFMF,Sassuolo,17,1998,2,20,10,0.6,0.2,0,,0,2,,8,0.00,0,1,-1,-4.50,-4.76,Matches,ce5b170a
9,Ali Adnan Kadhim,iq IRQ,MFDF,Udinese,21,1993,28,1904,68,55.7,21.2,21,,15,7,,8,1.21,20,31,-11,-0.52,+0.31,Matches,06050480
10,Luiz Adriano,br BRA,FW,Milan,28,1987,26,1194,46,34.9,13.3,12,,6,14,,3,1.23,15,20,-5,-0.38,-0.82,Matches,2557c196
11,Rodrigo Aguirre,uy URU,FW,Udinese,20,1994,10,340,34,9.9,3.8,3,,0,7,,10,1.00,4,7,-3,-0.79,-0.15,Matches,b5691f5d
12,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,24,1990,33,2661,81,77.8,29.6,30,,25,3,,1,1.15,31,48,-17,-0.57,+0.37,Matches,fe0b8f0e
13,Arlind Ajeti,al ALB,DF,Frosinone,21,1993,16,1218,76,35.6,13.5,15,,13,1,,5,0.88,13,22,-9,-0.67,+0.64,Matches,f9714604
14,Fabrizio Alastra,it ITA,GK,Palermo,17,1997,2,144,72,4.2,1.6,1,,1,1,,24,0.00,0,6,-6,-3.75,-3.17,Matches,cfed4243
15,Michelangelo Albertazzi,it ITA,DF,Hellas Verona,24,1991,10,702,70,20.5,7.8,9,,2,1,,13,1.40,9,9,0,0.00,+0.96,Matches,330e4b00
16,Raúl Albiol,es ESP,DF,Napoli,29,1985,36,3240,90,94.7,36.0,36,,36,0,,0,2.11,73,31,+42,+1.17,-1.83,Matches,4bd414c1
17,Alex,br BRA,DF,Milan,33,1982,25,2091,84,61.1,23.2,24,,21,1,,8,1.68,30,23,+7,+0.30,+0.37,Matches,58721835
18,Allan,br BRA,MF,Napoli,24,1991,35,2818,81,82.4,31.3,32,,23,3,,2,2.17,66,26,+40,+1.28,+0.08,Matches,cc700722
19,Marcos Alonso,es ESP,MFDF,Fiorentina,24,1990,31,2347,76,68.6,26.1,26,,22,5,,0,1.55,37,30,+7,+0.27,-0.65,Matches,f4290206
20,Ricky Álvarez,ar ARG,MFFW,Sampdoria,27,1988,13,806,62,23.6,9.0,9,,3,4,,2,0.69,9,15,-6,-0.67,-0.43,Matches,92a5ac34
21,Amauri,it ITA,FW,Torino,35,1980,1,9,9,0.3,0.1,0,,0,1,,13,0.00,0,0,0,0.00,+0.08,Matches,b6d4bf9d
22,Felipe Anderson,br BRA,FWMF,Lazio,22,1993,35,2071,59,60.6,23.0,21,,11,14,,3,1.40,33,34,-1,-0.04,-0.11,Matches,9f1893b9
23,Ionuț Andrei Radu,ro ROU,GK,Inter,,,1,19,19,0.6,0.2,0,,,1,,0,,,,,,,Matches,29d80748
24,Marco Andreolli,it ITA,DF,Inter,29,1986,0,,,,,0,,0,0,,1,,,,,,,Matches,13d820de
25,Aníbal,pt POR,DF,Genoa,19,1996,0,,,,,0,,0,0,,3,,,,,,,Matches,11db6ab6
26,Silvio Anočič,hr CRO,DF,Roma,17,1997,0,,,,,0,,0,0,,2,,,,,,,Matches,c0933cb2
27,Cristian Ansaldi,ar ARG,MFDF,Genoa,28,1986,24,2010,84,58.8,22.3,23,,20,1,,1,1.25,27,27,0,0.00,+0.19,Matches,bbafc0c4
28,Luca Antei,it ITA,DF,Sassuolo,23,1992,5,341,68,10.0,3.8,4,,3,1,,13,1.20,4,5,-1,-0.26,-0.56,Matches,97c9bce3
29,Luca Antonelli,it ITA,DF,Milan,28,1987,28,2338,84,68.4,26.0,25,,25,3,,3,1.54,33,26,+7,+0.27,+0.35,Matches,40f0ed6c
30,Siniša Anđelković,si SVN,DF,Palermo,29,1986,23,1908,83,55.8,21.2,21,,19,2,,14,1.09,14,34,-20,-0.94,-0.53,Matches,f978a28b
