--- When using SR data, please cite us and provide a link and/or a mention.


 
,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Atalanta,3,38,38,3420,38.0,48,1.26,153,107,68.6,19,7,12,9,23.7,3,3,0,0,0.0
Bologna,2,38,38,3420,38.0,49,1.29,165,117,70.3,14,12,12,8,21.1,9,7,2,0,22.2
Cremonese,3,38,38,3420,38.0,69,1.82,225,157,69.3,5,12,21,6,15.8,5,5,0,0,0.0
Empoli,3,38,38,3420,38.0,49,1.29,159,110,69.2,10,13,15,9,23.7,6,4,1,1,20.0
Fiorentina,4,38,38,3420,38.0,43,1.13,120,78,64.2,15,11,12,10,26.3,8,7,1,0,12.5
Hellas Verona,2,38,38,3420,38.0,59,1.55,187,128,68.4,7,10,21,6,15.8,2,1,1,0,50.0
Inter,3,38,38,3420,38.0,42,1.11,140,98,70.0,23,3,12,13,34.2,3,3,0,0,0.0
Juventus,2,38,38,3420,38.0,33,0.87,133,99,75.2,22,6,10,20,52.6,5,4,1,0,20.0
Lazio,2,38,38,3418,38.0,30,0.79,129,99,76.7,22,8,8,21,55.3,2,1,0,1,0.0
Lecce,1,38,38,3420,38.0,46,1.21,156,112,70.5,8,12,18,6,15.8,6,5,1,0,16.7
Milan,3,38,38,3420,38.0,43,1.13,123,80,65.0,20,10,8,12,31.6,5,4,1,0,20.0
Monza,2,38,38,3420,38.0,52,1.37,172,121,69.8,14,10,14,10,26.3,3,3,0,0,0.0
Napoli,2,38,38,3420,38.0,28,0.74,107,78,73.8,28,6,4,18,47.4,2,1,1,0,50.0
Roma,2,38,38,3420,38.0,38,1.00,118,80,67.8,18,9,11,14,36.8,3,2,1,0,33.3
Salernitana,3,38,38,3420,38.0,62,1.63,196,130,68.4,9,15,14,7,18.4,11,7,4,0,36.4
Sampdoria,3,38,38,3420,38.0,71,1.87,215,144,67.0,3,10,25,4,10.5,11,8,2,1,20.0
Sassuolo,3,38,38,3420,38.0,61,1.61,130,71,53.1,12,9,17,9,23.7,4,4,0,0,0.0
Spezia,4,38,38,3420,38.0,62,1.63,183,123,66.1,6,13,19,6,15.8,7,5,1,1,16.7
Torino,1,38,38,3420,38.0,41,1.08,136,95,69.9,14,11,13,11,28.9,6,5,0,1,0.0
Udinese,1,38,38,3420,38.0,48,1.26,137,91,65.0,11,13,14,10,26.3,7,6,0,1,0.0


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2022-2023/2022-2023-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_keeper_for">View Original Table</a><br>Generated 8/26/2026.
