--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Atalanta,27,26.5,49.9,38,418,3420,38.0,64,42,106,58,6,8,83,3,1.68,1.11,2.79,1.53,2.63
Bologna,27,26.6,54.7,38,418,3420,38.0,52,41,93,46,6,6,84,3,1.37,1.08,2.45,1.21,2.29
Cremonese,33,26.0,42.1,38,418,3420,38.0,35,18,53,30,5,7,81,3,0.92,0.47,1.39,0.79,1.26
Empoli,32,25.3,47.3,38,418,3420,38.0,35,20,55,33,2,2,88,7,0.92,0.53,1.45,0.87,1.39
Fiorentina,30,26.5,56.1,38,418,3420,38.0,51,37,88,47,4,6,93,3,1.34,0.97,2.32,1.24,2.21
Hellas Verona,36,26.6,41.2,38,418,3420,38.0,29,22,51,28,1,1,103,3,0.76,0.58,1.34,0.74,1.32
Inter,25,28.8,55.7,38,418,3420,38.0,68,50,118,64,4,5,65,3,1.79,1.32,3.11,1.68,3.00
Juventus,29,27.7,49.6,38,418,3420,38.0,56,41,97,53,3,6,74,6,1.47,1.08,2.55,1.39,2.47
Lazio,24,28.6,52.1,38,418,3420,38.0,59,37,96,53,6,8,87,2,1.55,0.97,2.53,1.39,2.37
Lecce,29,24.8,41.3,38,418,3420,38.0,31,21,52,27,4,6,86,2,0.82,0.55,1.37,0.71,1.26
Milan,30,26.0,55.6,38,418,3420,38.0,61,49,110,56,5,5,90,2,1.61,1.29,2.89,1.47,2.76
Monza,31,26.6,55.2,38,418,3420,38.0,46,31,77,41,5,6,90,4,1.21,0.82,2.03,1.08,1.89
Napoli,27,26.4,61.8,38,418,3420,38.0,75,57,132,67,8,10,47,1,1.97,1.50,3.47,1.76,3.26
Roma,30,27.4,48.6,38,418,3420,38.0,50,33,83,43,7,10,83,4,1.32,0.87,2.18,1.13,2.00
Salernitana,30,27.2,44.9,38,418,3420,38.0,46,34,80,44,2,2,85,4,1.21,0.89,2.11,1.16,2.05
Sampdoria,40,27.9,46.1,38,418,3420,38.0,23,18,41,22,1,2,108,3,0.61,0.47,1.08,0.58,1.05
Sassuolo,31,26.1,49.2,38,418,3420,38.0,46,30,76,37,9,10,90,6,1.21,0.79,2.00,0.97,1.76
Spezia,34,25.7,47.4,38,418,3420,38.0,29,18,47,25,4,4,103,6,0.76,0.47,1.24,0.66,1.13
Torino,28,25.2,53.2,38,418,3420,38.0,41,34,75,39,2,2,81,0,1.08,0.89,1.97,1.03,1.92
Udinese,30,26.1,48.0,38,418,3420,38.0,46,41,87,45,1,2,88,3,1.21,1.08,2.29,1.18,2.26


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2022-2023/2022-2023-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_standard_for">View Original Table</a><br>Generated 8/26/2026.
