--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Standard,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Atalanta,27,38.0,64,506,168,33.2,13.32,4.42,0.13,0.38,6,8
Bologna,27,38.0,52,479,150,31.3,12.61,3.95,0.11,0.35,6,6
Cremonese,33,38.0,35,458,122,26.6,12.05,3.21,0.08,0.29,5,7
Empoli,32,38.0,35,447,129,28.9,11.76,3.39,0.08,0.27,2,2
Fiorentina,30,38.0,51,597,171,28.6,15.71,4.50,0.09,0.30,4,6
Hellas Verona,36,38.0,29,415,116,28.0,10.92,3.05,0.07,0.25,1,1
Inter,25,38.0,68,625,197,31.5,16.45,5.18,0.11,0.35,4,5
Juventus,29,38.0,56,529,171,32.3,13.92,4.50,0.11,0.33,3,6
Lazio,24,38.0,59,430,161,37.4,11.32,4.24,0.14,0.37,6,8
Lecce,29,38.0,31,412,106,25.7,10.84,2.79,0.08,0.29,4,6
Milan,30,38.0,61,546,178,32.6,14.37,4.68,0.11,0.34,5,5
Monza,31,38.0,46,406,139,34.2,10.68,3.66,0.11,0.33,5,6
Napoli,27,38.0,75,605,212,35.0,15.92,5.58,0.12,0.35,8,10
Roma,30,38.0,50,488,155,31.8,12.84,4.08,0.10,0.32,7,10
Salernitana,30,38.0,46,381,115,30.2,10.03,3.03,0.12,0.40,2,2
Sampdoria,40,38.0,23,376,114,30.3,9.89,3.00,0.06,0.20,1,2
Sassuolo,31,38.0,46,477,161,33.8,12.55,4.24,0.10,0.29,9,10
Spezia,34,38.0,29,419,120,28.6,11.03,3.16,0.07,0.24,4,4
Torino,28,38.0,41,444,146,32.9,11.68,3.84,0.09,0.28,2,2
Udinese,30,38.0,46,503,145,28.8,13.24,3.82,0.09,0.32,1,2


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2022-2023/2022-2023-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_shooting_for">View Original Table</a><br>Generated 8/26/2026.
