--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Standard,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Atalanta,30,38.0,96,700,256,36.6,18.42,6.74,0.14,0.38,7,10
Bologna,31,38.0,48,549,160,29.1,14.45,4.21,0.09,0.30,5,6
Brescia,32,38.0,34,414,138,33.3,10.89,3.63,0.08,0.25,4,4
Cagliari,33,38.0,50,438,136,31.1,11.53,3.58,0.11,0.37,4,6
Fiorentina,33,38.0,48,538,170,31.6,14.16,4.47,0.09,0.28,9,11
Genoa,34,38.0,46,420,140,33.3,11.05,3.68,0.11,0.33,11,16
Hellas Verona,30,38.0,45,435,146,33.6,11.45,3.84,0.10,0.31,8,9
Inter,29,38.0,80,607,216,35.6,15.97,5.68,0.13,0.37,10,11
Juventus,30,38.0,73,665,224,33.7,17.50,5.89,0.11,0.33,13,14
Lazio,27,38.0,77,562,204,36.3,14.79,5.37,0.14,0.38,15,18
Lecce,30,38.0,52,513,165,32.2,13.50,4.34,0.10,0.32,11,15
Milan,32,38.0,60,610,186,30.5,16.05,4.89,0.10,0.32,8,9
Napoli,25,38.0,60,683,225,32.9,17.97,5.92,0.09,0.27,5,5
Parma,25,38.0,53,458,145,31.7,12.05,3.82,0.12,0.37,4,6
Roma,31,38.0,73,630,198,31.4,16.58,5.21,0.12,0.37,12,14
Sampdoria,31,38.0,48,549,161,29.3,14.45,4.24,0.09,0.30,9,12
Sassuolo,31,38.0,69,547,191,34.9,14.39,5.03,0.13,0.36,5,6
SPAL,34,38.0,27,462,117,25.3,12.16,3.08,0.06,0.23,5,7
Torino,27,38.0,44,438,144,32.9,11.53,3.79,0.10,0.31,7,8
Udinese,25,38.0,37,469,141,30.1,12.34,3.71,0.08,0.26,0,0


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2019-2020/2019-2020-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_shooting_for">View Original Table</a><br>Generated 8/26/2026.
