--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Atalanta,30,27.2,57.2,38,418,3420,38.0,96,68,164,89,7,10,80,2,2.53,1.79,4.32,2.34,4.13
Bologna,31,27.2,52.6,38,418,3420,38.0,48,31,79,43,5,6,109,7,1.26,0.82,2.08,1.13,1.95
Brescia,32,25.6,40.6,38,418,3420,38.0,34,22,56,30,4,4,95,6,0.89,0.58,1.47,0.79,1.37
Cagliari,33,27.4,45.7,38,418,3420,38.0,50,34,84,46,4,6,108,6,1.32,0.89,2.21,1.21,2.11
Fiorentina,33,25.1,47.4,38,418,3420,38.0,48,30,78,39,9,11,105,5,1.26,0.79,2.05,1.03,1.82
Genoa,34,26.8,49.5,38,418,3420,38.0,46,28,74,35,11,16,107,10,1.21,0.74,1.95,0.92,1.66
Hellas Verona,30,26.1,49.8,38,418,3420,38.0,45,27,72,37,8,9,87,7,1.18,0.71,1.89,0.97,1.68
Inter,29,27.7,54.2,38,418,3420,38.0,80,57,137,70,10,11,104,6,2.11,1.50,3.61,1.84,3.34
Juventus,30,28.6,58.1,38,418,3420,38.0,73,47,120,60,13,14,87,3,1.92,1.24,3.16,1.58,2.82
Lazio,27,27.9,50.4,38,418,3420,38.0,77,45,122,62,15,18,99,2,2.03,1.18,3.21,1.63,2.82
Lecce,30,28.7,44.8,38,418,3420,38.0,52,30,82,41,11,15,98,5,1.37,0.79,2.16,1.08,1.87
Milan,32,24.6,54.9,38,418,3420,38.0,60,38,98,52,8,9,97,6,1.58,1.00,2.58,1.37,2.37
Napoli,25,26.9,59.2,38,418,3420,38.0,60,45,105,55,5,5,73,2,1.58,1.18,2.76,1.45,2.63
Parma,25,28.8,43.8,38,418,3420,38.0,53,38,91,49,4,6,81,1,1.39,1.00,2.39,1.29,2.29
Roma,31,26.9,52.7,38,418,3420,38.0,73,47,120,61,12,14,111,7,1.92,1.24,3.16,1.61,2.84
Sampdoria,31,26.0,42.7,38,418,3420,38.0,48,25,73,39,9,12,111,7,1.26,0.66,1.92,1.03,1.68
Sassuolo,31,26.4,57.5,38,418,3420,38.0,69,49,118,64,5,6,99,3,1.82,1.29,3.11,1.68,2.97
SPAL,34,27.5,46.9,38,418,3420,38.0,27,17,44,22,5,7,98,4,0.71,0.45,1.16,0.58,1.03
Torino,27,27.3,47.4,38,418,3420,38.0,44,29,73,37,7,8,96,7,1.16,0.76,1.92,0.97,1.74
Udinese,25,26.5,44.7,38,418,3420,38.0,37,26,63,37,0,0,77,3,0.97,0.68,1.66,0.97,1.66


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2019-2020/2019-2020-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_standard_for">View Original Table</a><br>Generated 8/26/2026.
