--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Atalanta,30,27.2,38,3420,90,100,38.0,418,82,,134,23,268,2.05,98,48,+50,+1.32
Bologna,31,27.2,38,3420,90,100,38.0,418,83,,136,20,274,1.24,52,65,-13,-0.34
Brescia,32,25.6,38,3420,90,100,38.0,418,83,,121,23,235,0.66,35,79,-44,-1.16
Cagliari,33,27.4,38,3420,90,100,38.0,418,83,,129,21,298,1.18,52,56,-4,-0.11
Fiorentina,33,25.1,38,3420,90,100,38.0,418,83,,129,21,323,1.29,51,48,+3,+0.08
Genoa,34,26.8,38,3420,90,100,38.0,418,82,,135,23,305,1.03,47,73,-26,-0.68
Hellas Verona,30,26.1,38,3420,90,100,38.0,418,83,,128,22,320,1.29,47,51,-4,-0.11
Inter,29,27.7,38,3420,90,100,38.0,418,84,,134,18,298,2.16,81,36,+45,+1.18
Juventus,30,28.6,38,3420,90,100,38.0,418,82,,127,25,272,2.18,76,43,+33,+0.87
Lazio,27,27.9,38,3420,90,100,38.0,418,83,,137,22,307,2.05,79,42,+37,+0.97
Lecce,30,28.7,38,3420,90,100,38.0,418,82,,120,26,325,0.92,52,85,-33,-0.87
Milan,32,24.6,38,3420,90,100,38.0,418,82,,128,25,302,1.74,63,46,+17,+0.45
Napoli,25,26.9,38,3420,90,100,38.0,418,83,,135,21,277,1.63,61,50,+11,+0.29
Parma,25,28.8,38,3420,90,100,38.0,418,83,,136,22,244,1.29,56,57,-1,-0.03
Roma,31,26.9,38,3420,90,100,38.0,418,83,,131,21,272,1.84,77,51,+26,+0.68
Sampdoria,31,26.0,38,3420,90,100,38.0,418,82,,127,24,321,1.11,48,65,-17,-0.45
Sassuolo,31,26.4,38,3420,90,100,38.0,418,83,,138,21,306,1.34,69,63,+6,+0.16
SPAL,34,27.5,38,3420,90,100,38.0,418,83,,129,22,307,0.53,27,77,-50,-1.32
Torino,27,27.3,38,3420,90,100,38.0,418,84,,118,21,277,1.05,46,68,-22,-0.58
Udinese,25,26.5,38,3420,90,100,38.0,418,84,,124,19,299,1.18,37,51,-14,-0.37


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2019-2020/2019-2020-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_playing_time_for">View Original Table</a><br>Generated 8/26/2026.
