--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Performance,,,,,,,,,,,
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Atalanta,30,38.0,80,2,1,534,518,50,767,418,351,9,6,3
Bologna,31,38.0,109,7,3,595,567,85,733,412,338,6,8,1
Brescia,32,38.0,95,6,3,504,583,68,641,361,273,3,11,3
Cagliari,33,38.0,108,6,3,534,449,56,762,337,338,3,9,3
Fiorentina,33,38.0,105,5,3,546,500,50,726,347,333,8,11,0
Genoa,34,38.0,107,10,5,571,514,57,723,385,335,12,9,2
Hellas Verona,30,38.0,87,7,2,555,490,91,750,398,290,7,9,1
Inter,29,38.0,104,6,3,563,450,96,790,370,287,10,4,1
Juventus,30,38.0,87,3,2,508,486,73,698,370,318,10,12,0
Lazio,27,38.0,99,2,1,462,399,71,741,378,311,12,9,1
Lecce,30,38.0,98,5,2,469,490,67,711,383,293,10,13,3
Milan,32,38.0,97,6,2,545,460,63,713,419,345,4,10,1
Napoli,25,38.0,73,2,0,421,523,54,813,330,295,2,8,1
Parma,25,38.0,81,1,0,519,467,60,597,394,348,4,11,0
Roma,31,38.0,111,7,4,541,435,45,781,400,303,7,10,0
Sampdoria,31,38.0,111,7,5,563,459,63,814,396,354,10,9,4
Sassuolo,31,38.0,99,3,1,498,560,64,562,348,332,4,9,4
SPAL,34,38.0,98,4,1,541,525,53,693,394,327,6,8,3
Torino,27,38.0,96,7,5,606,539,63,756,495,314,3,11,3
Udinese,25,38.0,77,3,2,506,414,65,730,375,340,0,10,0


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2019-2020/2019-2020-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_misc_for">View Original Table</a><br>Generated 8/26/2026.
