Fantallenatore;Ruolo;Calciatore;Squadra Serie A;Fascia;Prezzo
Cava;C;Douglas Luiz;Juventus;Scommesse;5
Lollo;C;Zaniolo;Udinese;Seconda fascia;24
Beppe;C;Vlasic;Torino;Seconda fascia;30
Zambro;C;Cissè A.;Milan;Scommesse;12
Alle;C;Ederson D.S.;Atalanta;Terza fascia;16
Zambro;C;Calò;Frosinone;Terza fascia;4
Cava;C;Mastantuono;Fiorentina;Seconda fascia;37
Zambro;C;Rowe;Bologna;Seconda fascia;20
Cava;C;Zaccagni;Lazio;Seconda fascia;40
Bale;C;Gudmundsson A.;Fiorentina;Terza fascia;15
Bale;C;Taylor K.;Lazio;Seconda fascia;10
Zambro;C;Isaksen;Lazio;Seconda fascia;3
Alle;C;Zalewski;Atalanta;Scommesse;1
Lollo;C;Ndour;Fiorentina;Scommesse;3
Amo;C;Chukwueze;Milan;Scommesse;4
Beppe;C;Perrone;Como;Quarta fascia;5
Cava;C;Milla;Como;Outsider;1
Lollo;C;Zielinski;Inter;Seconda fascia;25
Amo;C;Schmid;Frosinone;Quarta fascia;1
Bale;C;Samardzic;Atalanta;Terza fascia;5
Anto;C;Politano;Napoli;Scommesse;5
Amo;C;Vergara;Napoli;Seconda fascia;4
Anto;C;Sucic P.;Inter;Scommesse;3
Beppe;C;Cristante;Roma;Quarta fascia;2
Amo;C;Rodriguez Je.;Como;Seconda fascia;6
Bale;C;Thorstvedt;Sassuolo;Scommesse;1
Lollo;C;Pasalic;Atalanta;Scommesse;1
Zambro;C;Odgaard;Bologna;Scommesse;1
Anto;C;Pellegrini Lo.;Roma;Outsider;1
Cava;C;Volpato;Sassuolo;Scommesse;1
Beppe;C;Diallo O.;Parma;Scommesse;1
Lollo;C;Baldanzi;Genoa;Terza fascia;1
Bale;C;Liberali;Como;Scommesse;1
Bale;A;Ramos G.;Milan;Prima fascia;141
Bale;A;Kean;Fiorentina;Seconda fascia;104
Amo;A;Malen;Roma;Prima fascia;221
Alle;A;Esposito F.P.;Inter;Scommesse;57
Anto;A;Davis K.;Udinese;Seconda fascia;76
Lollo;A;Martinez L.;Inter;Prima fascia;226
Beppe;A;Douvikas;Como;Seconda fascia;70
Zambro;A;Dybala;Roma;Seconda fascia;52
Bale;A;Castro S.;Roma;Scommesse;28
Anto;A;Dovbyk;Bologna;Terza fascia;22
Cava;A;Yildiz;Juventus;Scommesse;43
Beppe;A;Kolo Muani;Juventus;Prima fascia;100
Lollo;A;Berardi;Sassuolo;Terza fascia;34
Anto;A;Santos A.;Napoli;Terza fascia;22
Zambro;A;Thuram;Inter;Prima fascia;206
Amo;A;Maldini;Cagliari;Quarta fascia;1
Bale;A;Varela G.;Monza;Quarta fascia;7
Alle;A;Krstovic;Atalanta;Scommesse;30
Cava;A;Hojlund;Napoli;Seconda fascia;60
Alle;A;Scamacca;Atalanta;Seconda fascia;140
Amo;A;Colombo;Genoa;Terza fascia;15
Cava;A;Pellegrino M.;Fiorentina;Scommesse;16
Alle;A;De Ketelaere;Atalanta;Terza fascia;20
Amo;A;Diao;Como;Terza fascia;1
Beppe;A;Laurientè;Sassuolo;Terza fascia;24
Anto;A;Piccoli;Bologna;Scommesse;10
Cava;A;Raspadori;Atalanta;Terza fascia;40
Zambro;A;Vitinha O.;Genoa;Quarta fascia;1
Amo;A;Bonny;Inter;Scommesse;8
Cava;A;Pinamonti;Lazio;Terza fascia;21
Beppe;A;Dia;Lazio;Scommesse;1
Zambro;A;Esposito Se.;Cagliari;Scommesse;2
Bale;A;Adams A.;Venezia;Terza fascia;9
Alle;A;Bowie;Sassuolo;Terza fascia;12
Bale;A;Soulè;Roma;Scommesse;4
Zambro;A;Elphege;Parma;Scommesse;1
Anto;A;Noslin;Lazio;Scommesse;1
Cava;A;Boga;Juventus;Scommesse;5
Beppe;A;Romero D.;Parma;Scommesse;1
Zambro;A;Simeone;Torino;Seconda fascia;35
Alle;A;Mendy P.;Cagliari;Scommesse;1
Lollo;A;Geubbels;Lecce;Quarta fascia;3
Beppe;A;Yeboah J.;Venezia;Quarta fascia;2
Amo;A;Raimondo;Frosinone;Quarta fascia;1
Lollo;A;Neres;Napoli;Scommesse;1
Anto;A;Tourè E.;Parma;Quarta fascia;1
Lollo;A;Lontani;Parma;Scommesse;1
Lollo;A;Adams C.;Torino;Scommesse;1
