--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Atalanta,29,26.3,38,3420,90,100,38.0,418,80,232,188,23,258,1.82,72,42,+30,+0.79
Bologna,28,25.2,38,3420,90,100,38.0,418,82,244,174,20,284,1.79,54,32,+22,+0.58
Cagliari,29,26.1,38,3420,90,100,38.0,418,80,232,184,23,311,0.95,42,68,-26,-0.68
Empoli,34,26.0,38,3420,90,100,38.0,418,80,235,184,23,266,0.95,29,54,-25,-0.66
Fiorentina,30,27.0,38,3420,90,100,38.0,418,81,234,184,21,336,1.58,61,46,+15,+0.39
Frosinone,34,24.3,38,3420,90,100,38.0,418,82,242,177,18,312,0.92,44,69,-25,-0.66
Genoa,34,26.7,38,3420,90,100,38.0,418,83,256,160,19,279,1.29,45,45,0,0.00
Hellas Verona,36,25.7,38,3420,90,100,38.0,418,81,236,179,21,312,1.00,38,51,-13,-0.34
Inter,27,29.1,38,3420,90,100,38.0,418,81,229,190,20,289,2.47,89,22,+67,+1.76
Juventus,31,26.5,38,3420,90,100,38.0,418,81,244,173,20,261,1.87,54,31,+23,+0.61
Lazio,22,28.2,38,3420,90,100,38.0,418,79,232,183,24,253,1.61,49,39,+10,+0.26
Lecce,26,24.9,38,3420,90,100,38.0,418,80,234,180,22,295,1.00,32,54,-22,-0.58
Milan,35,26.6,38,3420,90,100,38.0,418,80,236,176,22,264,1.97,76,49,+27,+0.71
Monza,31,26.8,38,3420,90,100,38.0,418,79,226,189,24,336,1.18,39,51,-12,-0.32
Napoli,29,27.2,38,3420,90,100,38.0,418,82,244,171,19,264,1.39,55,48,+7,+0.18
Roma,30,27.7,38,3420,90,100,38.0,418,81,248,171,22,290,1.66,65,46,+19,+0.50
Salernitana,39,27.2,38,3420,90,100,38.0,418,80,237,180,24,281,0.45,32,81,-49,-1.29
Sassuolo,30,26.4,38,3420,90,100,38.0,418,81,237,177,20,284,0.79,43,75,-32,-0.84
Torino,30,26.4,38,3420,90,100,38.0,418,82,257,160,19,274,1.39,36,36,0,0.00
Udinese,32,25.7,38,3420,90,100,38.0,418,82,248,170,20,330,0.97,37,53,-16,-0.42


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2023-2024/2023-2024-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_playing_time_for">View Original Table</a><br>Generated 8/26/2026.
