--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Atalanta,29,26.3,51.0,38,418,3420,38.0,72,57,129,67,5,5,76,1,1.89,1.50,3.39,1.76,3.26
Bologna,28,25.2,58.1,38,418,3420,38.0,52,32,84,48,4,5,85,2,1.37,0.84,2.21,1.26,2.11
Cagliari,29,26.1,42.1,38,418,3420,38.0,41,30,71,37,4,6,77,4,1.08,0.79,1.87,0.97,1.76
Empoli,34,26.0,44.0,38,418,3420,38.0,26,19,45,21,5,5,88,1,0.68,0.50,1.18,0.55,1.05
Fiorentina,30,27.0,57.4,38,418,3420,38.0,60,41,101,56,4,8,80,0,1.58,1.08,2.66,1.47,2.55
Frosinone,34,24.3,49.7,38,418,3420,38.0,44,29,73,36,8,10,68,2,1.16,0.76,1.92,0.95,1.71
Genoa,34,26.7,44.1,38,418,3420,38.0,43,27,70,38,5,6,79,3,1.13,0.71,1.84,1.00,1.71
Hellas Verona,36,25.7,44.4,38,418,3420,38.0,38,29,67,35,3,7,88,6,1.00,0.76,1.76,0.92,1.68
Inter,27,29.1,57.1,38,418,3420,38.0,87,60,147,74,13,14,46,1,2.29,1.58,3.87,1.95,3.53
Juventus,31,26.5,48.5,38,418,3420,38.0,52,37,89,49,3,5,87,2,1.37,0.97,2.34,1.29,2.26
Lazio,22,28.2,53.3,38,418,3420,38.0,46,30,76,42,4,4,101,5,1.21,0.79,2.00,1.11,1.89
Lecce,26,24.9,44.9,38,418,3420,38.0,30,23,53,27,3,5,89,5,0.79,0.61,1.39,0.71,1.32
Milan,35,26.6,56.9,38,418,3420,38.0,76,56,132,70,6,8,82,8,2.00,1.47,3.47,1.84,3.32
Monza,31,26.8,53.5,38,418,3420,38.0,38,29,67,34,4,5,88,5,1.00,0.76,1.76,0.89,1.66
Napoli,29,27.2,60.9,38,418,3420,38.0,54,36,90,48,6,10,77,5,1.42,0.95,2.37,1.26,2.21
Roma,30,27.7,54.9,38,418,3420,38.0,64,44,108,53,11,12,95,3,1.68,1.16,2.84,1.39,2.55
Salernitana,39,27.2,44.5,38,418,3420,38.0,32,25,57,30,2,2,91,3,0.84,0.66,1.50,0.79,1.45
Sassuolo,30,26.4,43.8,38,418,3420,38.0,42,28,70,35,7,8,71,4,1.11,0.74,1.84,0.92,1.66
Torino,30,26.4,51.6,38,418,3420,38.0,35,29,64,33,2,2,75,2,0.92,0.76,1.68,0.87,1.63
Udinese,32,25.7,39.3,38,418,3420,38.0,36,23,59,33,3,4,94,5,0.95,0.61,1.55,0.87,1.47


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2023-2024/2023-2024-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_standard_for">View Original Table</a><br>Generated 8/26/2026.
