--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Standard,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Atalanta,29,38.0,72,539,197,36.5,14.18,5.18,0.13,0.37,5,5
Bologna,28,38.0,52,472,159,33.7,12.42,4.18,0.11,0.33,4,5
Cagliari,29,38.0,41,442,127,28.7,11.63,3.34,0.09,0.32,4,6
Empoli,34,38.0,26,413,112,27.1,10.87,2.95,0.06,0.23,5,5
Fiorentina,30,38.0,60,515,171,33.2,13.55,4.50,0.12,0.35,4,8
Frosinone,34,38.0,44,460,147,32.0,12.11,3.87,0.10,0.30,8,10
Genoa,34,38.0,43,397,119,30.0,10.45,3.13,0.11,0.36,5,6
Hellas Verona,36,38.0,38,435,146,33.6,11.45,3.84,0.09,0.26,3,7
Inter,27,38.0,87,580,196,33.8,15.26,5.16,0.15,0.44,13,14
Juventus,31,38.0,52,531,146,27.5,13.97,3.84,0.10,0.36,3,5
Lazio,22,38.0,46,436,135,31.0,11.47,3.55,0.11,0.34,4,4
Lecce,26,38.0,30,503,147,29.2,13.24,3.87,0.06,0.20,3,5
Milan,35,38.0,76,554,202,36.5,14.58,5.32,0.14,0.38,6,8
Monza,31,38.0,38,451,123,27.3,11.87,3.24,0.08,0.31,4,5
Napoli,29,38.0,54,638,196,30.7,16.79,5.16,0.08,0.28,6,10
Roma,30,38.0,64,464,142,30.6,12.21,3.74,0.14,0.45,11,12
Salernitana,39,38.0,32,398,118,29.6,10.47,3.11,0.08,0.27,2,2
Sassuolo,30,38.0,42,453,144,31.8,11.92,3.79,0.09,0.29,7,8
Torino,30,38.0,35,432,121,28.0,11.37,3.18,0.08,0.29,2,2
Udinese,32,38.0,36,457,134,29.3,12.03,3.53,0.08,0.27,3,4


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2023-2024/2023-2024-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_shooting_for">View Original Table</a><br>Generated 8/26/2026.
