--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Performance,,,,,,,,,,,
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Atalanta,29,38.0,76,1,1,486,367,63,710,340,369,4,9,1
Bologna,28,38.0,85,2,2,458,456,55,510,258,385,3,7,1
Cagliari,29,38.0,77,4,2,464,418,64,852,265,315,3,5,3
Empoli,34,38.0,88,1,1,524,514,82,672,263,378,4,8,1
Fiorentina,30,38.0,80,0,0,459,450,57,748,236,320,6,9,0
Frosinone,34,38.0,68,2,1,388,442,48,524,241,322,8,8,2
Genoa,34,38.0,79,3,3,450,406,47,610,332,352,3,4,1
Hellas Verona,36,38.0,88,6,2,541,447,61,724,302,387,4,2,1
Inter,27,38.0,46,1,0,405,408,77,804,280,321,11,4,0
Juventus,31,38.0,87,2,1,478,376,72,708,253,369,3,3,2
Lazio,22,38.0,101,5,2,473,435,72,624,295,348,3,3,0
Lecce,26,38.0,89,5,2,504,481,56,650,308,374,4,6,1
Milan,35,38.0,82,8,2,429,410,57,660,252,333,6,8,1
Monza,31,38.0,88,5,4,458,408,40,584,279,334,2,9,0
Napoli,29,38.0,77,5,3,381,451,71,737,241,326,8,4,0
Roma,30,38.0,95,3,1,455,430,66,654,242,336,7,5,3
Salernitana,39,38.0,91,3,1,450,470,61,596,279,327,1,10,2
Sassuolo,30,38.0,71,4,2,387,398,26,661,267,310,6,11,4
Torino,30,38.0,75,2,1,471,419,63,761,329,275,2,7,0
Udinese,32,38.0,94,5,3,496,418,57,556,327,381,4,9,1


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2023-2024/2023-2024-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_misc_for">View Original Table</a><br>Generated 8/26/2026.
