--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,,-additional
38,Marco Sportiello,it ITA,GK,Fiorentina,24,1992,2,2,180,2.0,4,2.00,6,2,33.3,1,0,1,0,0.0,1,1,0,0,0.0,Matches,ac4003af
39,Marco Sportiello,it ITA,GK,Atalanta,24,1992,8,8,720,8.0,14,1.75,33,19,57.6,3,2,3,2,25.0,1,1,0,0,0.0,Matches,ac4003af
40,Marco Storari,it ITA,GK,Cagliari,39,1977,15,15,1256,14.0,36,2.58,89,53,59.6,3,2,9,0,0.0,4,3,0,1,0.0,Matches,fb5eb6e0
41,Thomas Strakosha,al ALB,GK,Lazio,21,1995,21,20,1845,20.5,26,1.27,86,60,69.8,12,3,5,6,30.0,4,4,0,0,0.0,Matches,339fe0e8
42,Wojciech Szczęsny,pl POL,GK,Roma,26,1990,38,38,3420,38.0,38,1.00,154,116,75.3,28,3,7,14,36.8,4,2,2,0,50.0,Matches,01b8a2b2
43,Ciprian Tătărușanu,ro ROU,GK,Fiorentina,30,1986,35,35,3099,34.4,51,1.48,156,105,67.3,14,10,10,11,31.4,5,4,0,1,0.0,Matches,b056e3da
44,Ivan Vargić,hr CRO,GK,Lazio,29,1987,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,4d64b28e
45,Emiliano Viviano,it ITA,GK,Sampdoria,30,1985,17,17,1530,17.0,20,1.18,68,48,70.6,7,5,5,3,17.6,3,2,1,0,33.3,Matches,03760df0


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2016-2017/keepers/2016-2017-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_keeper">View Original Table</a><br>Generated 8/25/2026.
