--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
1,Ignazio Abate,it ITA,DF,Milan,29,1986,21.4,0,4,2,50.0,0.19,0.09,0.00,0.00,0,0,Matches,1c529186
2,Francesco Acerbi,it ITA,DF,Sassuolo,28,1988,38.0,4,18,9,50.0,0.47,0.24,0.22,0.44,1,1,Matches,b96b595c
3,Maxwell Acosty,gh GHA,MFFW,Crotone,24,1991,4.2,0,8,3,37.5,1.90,0.71,0.00,0.00,0,0,Matches,64a674d9
4,Afriyie Acquah,gh GHA,MF,Torino,24,1992,12.0,2,16,4,25.0,1.34,0.33,0.13,0.50,0,0,Matches,d7403bd5
5,Claud Adjapong,it ITA,DFFW,Sassuolo,18,1998,5.7,1,10,1,10.0,1.76,0.18,0.10,1.00,0,0,Matches,ce5b170a
6,Ali Adnan Kadhim,iq IRQ,DFMF,Udinese,22,1993,9.7,0,8,2,25.0,0.83,0.21,0.00,0.00,0,0,Matches,06050480
7,Luiz Adriano,br BRA,FW,Milan,29,1987,1.4,0,3,0,0.0,2.13,0.00,0.00,,0,0,Matches,2557c196
8,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,25,1990,22.6,0,21,5,23.8,0.93,0.22,0.00,0.00,0,0,Matches,fe0b8f0e
9,Arlind Ajeti,al ALB,DF,Torino,22,1993,2.8,1,3,2,66.7,1.08,0.72,0.33,0.50,0,0,Matches,f9714604
10,Luis Alberto,es ESP,MFFW,Lazio,23,1992,4.1,1,12,4,33.3,2.96,0.99,0.08,0.25,0,0,Matches,5294a83f
11,Raúl Albiol,es ESP,DF,Napoli,30,1985,25.5,0,10,2,20.0,0.39,0.08,0.00,0.00,0,0,Matches,4bd414c1
12,Haitam Aleesami,no NOR,MFDF,Palermo,25,1991,29.2,1,12,3,25.0,0.41,0.10,0.08,0.33,0,0,Matches,4085f08e
13,Allan,br BRA,MF,Napoli,25,1991,17.9,1,14,4,28.6,0.78,0.22,0.07,0.25,0,0,Matches,cc700722
14,Marcos Alonso,es ESP,MF,Fiorentina,25,1990,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,f4290206
15,Ricky Álvarez,ar ARG,MF,Sampdoria,28,1988,11.0,2,34,7,20.6,3.10,0.64,0.06,0.29,0,0,Matches,92a5ac34
16,Bruno Alves,pt POR,DF,Cagliari,34,1981,36.0,1,32,9,28.1,0.89,0.25,0.03,0.11,0,0,Matches,585a73a8
17,Dani Alves,br BRA,DFMF,Juventus,33,1983,15.1,2,20,5,25.0,1.32,0.33,0.10,0.40,0,0,Matches,c9e99e49
18,Felipe Anderson,br BRA,FWMF,Lazio,23,1993,32.3,4,71,21,29.6,2.20,0.65,0.06,0.19,1,1,Matches,9f1893b9
19,Marco Andreolli,it ITA,DF,Inter,30,1986,4.0,1,5,2,40.0,1.24,0.50,0.20,0.50,0,0,Matches,13d820de
20,Gabriele Angella,it ITA,DFMF,Udinese,27,1989,11.3,1,7,3,42.9,0.62,0.27,0.14,0.33,0,0,Matches,0c971997
21,Cristian Ansaldi,ar ARG,DF,Inter,29,1986,16.7,0,4,0,0.0,0.24,0.00,0.00,,0,0,Matches,bbafc0c4
22,Luca Antei,it ITA,DF,Sassuolo,24,1992,12.4,1,7,2,28.6,0.57,0.16,0.14,0.50,0,0,Matches,97c9bce3
23,Luca Antonelli,it ITA,DF,Milan,29,1987,3.4,0,3,2,66.7,0.87,0.58,0.00,0.00,0,0,Matches,40f0ed6c
24,Siniša Anđelković,si SVN,DF,Palermo,30,1986,20.4,0,8,2,25.0,0.39,0.10,0.00,0.00,0,0,Matches,f978a28b
25,Carlos Apna Embaló,gw GNB,FWMF,Palermo,21,1994,6.9,0,11,3,27.3,1.59,0.43,0.00,0.00,0,0,Matches,3eeb0554
26,Alberto Aquilani,it ITA,MF,Sassuolo,32,1984,13.7,0,10,1,10.0,0.73,0.07,0.00,0.00,0,0,Matches,ad340e17
27,Alberto Aquilani,it ITA,MFFW,Pescara,32,1984,6.1,1,6,1,16.7,0.98,0.16,0.17,1.00,0,0,Matches,ad340e17
