--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
1,Ignazio Abate,it ITA,DF,Milan,29,1986,23,1924,84,56.3,21.4,22,,20,1,,3,1.87,34,24,+10,+0.47,+0.35,Matches,1c529186
2,Nura Abdullahi,ng NGA,DF,Roma,18,1997,0,,,,,0,,0,0,,1,,,,,,,Matches,d24769d8
3,Marco Acatullo,it ITA,FW,Pescara,18,1998,0,,,,,0,,0,0,,1,,,,,,,Matches,42c38c54
4,Francesco Acerbi,it ITA,DF,Sassuolo,28,1988,38,3420,90,100.0,38.0,38,,38,0,,0,1.21,60,61,-1,-0.03,,Matches,b96b595c
5,Maxwell Acosty,gh GHA,MFFW,Crotone,24,1991,11,378,34,11.1,4.2,3,,1,8,,7,1.18,2,6,-4,-0.95,-0.36,Matches,64a674d9
6,Afriyie Acquah,gh GHA,MF,Torino,24,1992,20,1077,54,31.5,12.0,13,,6,7,,10,1.50,21,24,-3,-0.25,-0.56,Matches,d7403bd5
7,Marius Adamonis,lt LTU,GK,Lazio,19,1997,0,,,,,0,,0,0,,12,,,,,,,Matches,1226f0de
8,Claud Adjapong,it ITA,DFFW,Sassuolo,18,1998,9,510,57,14.9,5.7,6,,3,3,,24,1.22,13,16,-3,-0.53,-0.47,Matches,ce5b170a
9,Ali Adnan Kadhim,iq IRQ,DFMF,Udinese,22,1993,14,872,62,25.5,9.7,8,,8,6,,23,0.57,5,20,-15,-1.55,-1.76,Matches,06050480
10,Luiz Adriano,br BRA,FW,Milan,29,1987,7,127,18,3.7,1.4,1,,0,6,,10,1.86,2,4,-2,-1.42,-1.80,Matches,2557c196
11,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,25,1990,29,2033,70,59.4,22.6,20,,17,9,,2,1.38,31,38,-7,-0.31,-0.18,Matches,fe0b8f0e
12,Arlind Ajeti,al ALB,DF,Torino,22,1993,4,251,63,7.3,2.8,3,,2,1,,21,2.00,6,7,-1,-0.36,-0.53,Matches,f9714604
13,Luis Alberto,es ESP,MFFW,Lazio,23,1992,9,365,41,10.7,4.1,4,,1,5,,16,1.00,6,7,-1,-0.25,-0.95,Matches,5294a83f
14,Raúl Albiol,es ESP,DF,Napoli,30,1985,26,2297,88,67.2,25.5,25,,24,1,,4,2.42,70,25,+45,+1.76,+0.96,Matches,4bd414c1
15,Gabriele Aldegani,it ITA,GK,Pescara,40,1976,0,,,,,0,,0,0,,9,,,,,,,Matches,43dffc6b
16,Haitam Aleesami,no NOR,MFDF,Palermo,25,1991,31,2630,85,76.9,29.2,29,,28,2,,6,0.74,26,54,-28,-0.96,+0.86,Matches,4085f08e
17,Alisson,br BRA,GK,Roma,23,1992,0,,,,,0,,0,0,,38,,,,,,,Matches,7a2e46a8
18,Allan,br BRA,MF,Napoli,25,1991,29,1610,56,47.1,17.9,19,,7,10,,6,2.24,35,23,+12,+0.67,-1.47,Matches,cc700722
19,Marcos Alonso,es ESP,MF,Fiorentina,25,1990,2,180,90,5.3,2.0,2,,2,0,,0,1.50,2,2,0,0.00,-0.17,Matches,f4290206
20,Giorgio Altare,it ITA,DF,Milan,17,1998,0,,,,,0,,0,0,,1,,,,,,,Matches,aa5322d5
21,Ricky Álvarez,ar ARG,MF,Sampdoria,28,1988,21,987,47,28.9,11.0,11,,4,10,,12,1.29,13,19,-6,-0.55,-0.55,Matches,92a5ac34
22,Bruno Alves,pt POR,DF,Cagliari,34,1981,36,3240,90,94.7,36.0,36,,35,0,,0,1.14,49,74,-25,-0.69,-2.69,Matches,585a73a8
23,Dani Alves,br BRA,DFMF,Juventus,33,1983,19,1359,72,39.7,15.1,15,,11,4,,11,2.32,30,11,+19,+1.26,-0.10,Matches,c9e99e49
24,Stanley Amuzie,ng NGA,DF,Sampdoria,20,1996,0,,,,,0,,0,0,,7,,,,,,,Matches,5053e09a
25,Felipe Anderson,br BRA,FWMF,Lazio,23,1993,36,2908,81,85.0,32.3,33,,20,3,,0,1.78,61,43,+18,+0.56,-0.32,Matches,9f1893b9
26,Marco Andreolli,it ITA,DF,Inter,30,1986,6,362,60,10.6,4.0,4,,3,2,,21,1.50,9,6,+3,+0.75,+0.16,Matches,13d820de
27,Gabriele Angella,it ITA,DFMF,Udinese,27,1989,14,1017,73,29.7,11.3,10,,10,4,,22,1.93,24,20,+4,+0.35,+0.84,Matches,0c971997
28,Cristian Ansaldi,ar ARG,DF,Inter,29,1986,21,1500,71,43.9,16.7,17,,9,4,,5,1.67,31,23,+8,+0.48,-0.22,Matches,bbafc0c4
