--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,,-additional
29,Luca Antei,it ITA,DF,Sassuolo,24,1992,15,1114,74,32.6,12.4,11,,11,4,,15,1.20,24,21,+3,+0.24,+0.55,Matches,97c9bce3
30,Luca Antonelli,it ITA,DF,Milan,29,1987,7,309,44,9.0,3.4,3,,1,4,,11,2.00,4,2,+2,+0.58,+0.29,Matches,40f0ed6c
31,Matias Antonini Lui,br BRA,DF,Cagliari,18,1998,0,,,,,0,,0,0,,3,,,,,,,Matches,60c8da19
32,Siniša Anđelković,si SVN,DF,Palermo,30,1986,22,1836,83,53.7,20.4,21,,15,1,,11,0.91,19,40,-21,-1.03,+0.28,Matches,f978a28b
33,Carlos Apna Embaló,gw GNB,FWMF,Palermo,21,1994,12,621,52,18.2,6.9,8,,3,4,,12,0.42,6,13,-7,-1.01,+0.18,Matches,3eeb0554
34,Alberto Aquilani,it ITA,MF,Sassuolo,32,1984,16,1237,77,36.2,13.7,14,,11,2,,4,1.69,23,17,+6,+0.44,+0.89,Matches,ad340e17
35,Alberto Aquilani,it ITA,MFFW,Pescara,32,1984,9,551,61,16.1,6.1,6,,4,3,,4,0.33,3,12,-9,-1.47,-0.37,Matches,ad340e17
36,Mattia Aramu,it ITA,FW,Torino,21,1995,1,45,45,1.3,0.5,1,,0,0,,5,1.00,0,0,0,0.00,-0.13,Matches,0847b5a5
37,Panos Armenakas,au AUS,FWMF,Udinese,17,1998,0,,,,,0,,0,0,,1,,,,,,,Matches,02a9fccf
38,Pablo Armero,co COL,DF,Udinese,29,1986,2,180,90,5.3,2.0,2,,2,0,,5,1.50,2,2,0,0.00,+0.25,Matches,afabf74e
39,Davide Arras,it ITA,FW,Cagliari,18,1998,0,,,,,0,,0,0,,2,,,,,,,Matches,661d7a8f
40,Kwadwo Asamoah,gh GHA,DFMF,Juventus,27,1988,18,1472,82,43.0,16.4,16,,16,2,,16,2.44,33,11,+22,+1.35,+0.05,Matches,089550f5
41,Raúl Asencio,es ESP,FW,Genoa,18,1998,0,,,,,0,,0,0,,3,,,,,,,Matches,69b17c5b
42,Davide Astori,it ITA,DF,Fiorentina,29,1987,33,2967,90,86.8,33.0,33,,32,0,,0,1.64,56,47,+9,+0.27,+0.87,Matches,1522dab2
43,Emil Audero,id IDN,GK,Juventus,19,1997,1,90,90,2.6,1.0,1,,1,0,,37,3.00,2,1,+1,+1.00,-0.32,Matches,649b01d8
44,Danilo Avelar,br BRA,DF,Torino,27,1989,3,262,87,7.7,2.9,3,,2,0,,6,1.33,5,4,+1,+0.34,+0.23,Matches,eacb45fd
45,Mame Baba Thiam,sn SEN,FW,Empoli,23,1992,15,876,58,25.6,9.7,9,,5,6,,4,0.87,13,22,-9,-0.92,-0.11,Matches,ec304819
46,Khouma Babacar,sn SEN,FW,Fiorentina,23,1993,22,1326,60,38.8,14.7,13,,9,9,,14,1.59,30,25,+5,+0.34,+0.30,Matches,422ec08a
47,Carlos Bacca,co COL,FW,Milan,29,1986,32,2112,66,61.8,23.5,26,,6,6,,2,1.66,39,25,+14,+0.60,+0.73,Matches,09a9e921
48,Milan Badelj,hr CRO,MF,Fiorentina,27,1989,33,2508,76,73.3,27.9,29,,19,4,,3,1.61,41,37,+4,+0.14,-0.05,Matches,e8c930bb
49,Jean-Christophe Bahebeck,fr FRA,FW,Pescara,23,1993,15,815,54,23.8,9.1,11,,2,4,,1,0.47,11,21,-10,-1.10,+0.07,Matches,a8be386b
50,Ibourahima Baldé,es ESP,FW,Sampdoria,17,1999,0,,,,,0,,0,0,,1,,,,,,,Matches,0d7db323
51,Keita Baldé,sn SEN,FW,Lazio,21,1995,31,1926,62,56.3,21.4,21,,5,10,,0,1.97,54,27,+27,+1.26,+1.50,Matches,509a4ccb
52,Andrija Balić,hr CRO,MFFW,Udinese,18,1997,4,239,60,7.0,2.7,3,,1,1,,28,0.50,4,6,-2,-0.75,-0.56,Matches,9be4ee80
53,Norbert Balogh,hu HUN,MFFW,Palermo,20,1996,16,532,33,15.6,5.9,6,,0,10,,15,0.75,5,12,-7,-1.18,-0.03,Matches,24190824
54,Éver Banega,ar ARG,MF,Inter,28,1988,28,1555,56,45.5,17.3,20,,6,8,,8,1.71,35,22,+13,+0.75,+0.27,Matches,fa937f7a
55,Federico Barba,it ITA,DF,Empoli,22,1993,11,812,74,23.7,9.0,9,,7,2,,19,0.73,6,16,-10,-1.11,-0.35,Matches,c010b898
56,Andrea Barberis,it ITA,MF,Crotone,22,1993,26,2059,79,60.2,22.9,23,,16,3,,12,1.27,22,26,-4,-0.17,+1.15,Matches,32ebfe1e
57,Gabriel Barbosa,br BRA,FWMF,Inter,19,1996,9,120,13,3.5,1.3,0,,0,9,,23,1.78,2,1,+1,+0.75,+0.15,Matches,72d0e1b6
58,Nicolò Barella,it ITA,MF,Cagliari,19,1997,28,1908,68,55.8,21.2,22,,13,6,,2,1.25,26,42,-16,-0.75,-0.46,Matches,6928979a
59,Riccardo Baroni,it ITA,DF,Fiorentina,17,1998,0,,,,,0,,0,0,,1,,,,,,,Matches,96ed2108
60,Antonio Barreca,it ITA,DF,Torino,21,1995,28,2362,84,69.1,26.2,25,,25,3,,9,1.54,49,45,+4,+0.15,+0.07,Matches,6a189491
61,Édgar Barreto,py PAR,MF,Sampdoria,32,1984,32,2679,84,78.3,29.8,32,,18,0,,3,1.25,37,48,-11,-0.37,-0.98,Matches,43a1bea5
62,Andrea Barzagli,it ITA,DF,Juventus,35,1981,23,1532,67,44.8,17.0,17,,14,6,,8,2.52,33,11,+22,+1.29,-0.04,Matches,7c0000fd
63,Daniele Baselli,it ITA,MF,Torino,24,1992,37,2288,62,66.9,25.4,28,,7,9,,0,1.35,48,39,+9,+0.35,+0.67,Matches,ea06dd97
64,Davide Bassi,it ITA,GK,Atalanta,31,1985,0,,,,,0,,0,0,,13,,,,,,,Matches,b260a8e3
65,Dušan Basta,rs SRB,DFMF,Lazio,31,1984,27,2120,79,62.0,23.6,24,,17,3,,7,1.67,37,31,+6,+0.25,-0.92,Matches,3b57f7f8
66,Samuel Bastien,cd COD,MFFW,Chievo,19,1996,12,799,67,23.4,8.9,8,,5,4,,20,0.92,11,16,-5,-0.56,-0.12,Matches,ec30b9c8
67,Alessandro Bastoni,it ITA,DF,Atalanta,17,1999,3,155,52,4.5,1.7,1,,1,2,,17,1.33,1,1,0,0.00,-0.58,Matches,75b86fb3
68,Bastos,ao ANG,DFMF,Lazio,25,1991,11,774,70,22.6,8.6,10,,7,1,,17,1.45,15,13,+2,+0.23,-0.48,Matches,c01c66d9
69,Denis Baumgartner,sk SVK,MF,Sampdoria,18,1998,0,,,,,0,,0,0,,1,,,,,,,Matches,976f1159
70,Andrea Beghetto,it ITA,MF,Genoa,21,1994,3,152,51,4.4,1.7,1,,1,2,,16,1.00,1,3,-2,-1.18,-0.52,Matches,438dfc6a
71,Giuseppe Bellusci,it ITA,DF,Empoli,26,1989,33,2970,90,86.8,33.0,33,,33,0,,3,0.85,24,55,-31,-0.94,-0.74,Matches,7f1c3bca
72,Andrea Belotti,it ITA,FW,Torino,22,1993,35,3070,88,89.8,34.1,34,,33,1,,0,1.49,70,62,+8,+0.23,+1.01,Matches,d705ba44
73,Ahmad Benali,ly LBY,FWMF,Pescara,24,1992,33,2490,75,72.8,27.7,31,,17,2,,2,0.42,25,59,-34,-1.23,-0.26,Matches,a128b07e
74,Marco Benassi,it ITA,MF,Torino,21,1994,28,2044,73,59.8,22.7,24,,10,4,,6,1.32,39,35,+4,+0.18,+0.11,Matches,0000acda
75,Medhi Benatia,ma MAR,DF,Juventus,29,1987,15,1179,79,34.5,13.1,14,,10,1,,14,1.93,26,14,+12,+0.92,-0.61,Matches,3b15ef2d
76,Accursio Bentivegna,it ITA,MFFW,Palermo,20,1996,3,89,30,2.6,1.0,2,,0,1,,5,0.00,1,1,0,0.00,+1.19,Matches,2130bea6
77,Domenico Berardi,it ITA,FW,Sassuolo,21,1994,21,1732,82,50.6,19.2,20,,13,1,,0,1.38,33,29,+4,+0.21,+0.69,Matches,53a0e358
78,Filippo Berardi,sm SMR,FWMF,Torino,19,1997,0,,,,,0,,0,0,,1,,,,,,,Matches,abbca15e
79,Bartosz Bereszyński,pl POL,DF,Sampdoria,24,1992,13,1051,81,30.7,11.7,11,,10,2,,6,1.46,19,23,-4,-0.34,-0.27,Matches,61b3978f
80,Etrit Berisha,al ALB,GK,Atalanta,27,1989,26,2340,90,68.4,26.0,26,,26,0,,2,2.00,44,26,+18,+0.69,+0.44,Matches,ee833569
81,Federico Bernardeschi,it ITA,MFFW,Fiorentina,22,1994,32,2292,72,67.0,25.5,27,,10,5,,1,1.56,40,41,-1,-0.04,-0.60,Matches,ee93c1a9
82,Tommaso Berni,it ITA,GK,Inter,33,1983,0,,,,,0,,0,0,,3,,,,,,,Matches,7b8f85c7
83,Andrea Bertolacci,it ITA,MF,Milan,25,1991,15,820,55,24.0,9.1,9,,4,6,,7,1.60,10,9,+1,+0.11,-0.27,Matches,c75b6a02
84,Jonathan Biabiany,fr FRA,FWMF,Inter,28,1988,1,1,1,0.0,0.0,0,,0,1,,31,1.00,0,1,-1,-90.00,-90.63,Matches,6b99d135
85,Roberto Biancu,it ITA,MF,Cagliari,16,2000,1,11,11,0.3,0.1,0,,0,1,,5,3.00,1,0,+1,+8.18,+8.76,Matches,57020aa5
86,Lucas Biglia,ar ARG,MF,Lazio,30,1986,29,2264,78,66.2,25.2,28,,16,1,,1,1.93,49,35,+14,+0.56,-0.14,Matches,5710a281
87,Davide Biondini,it ITA,MF,Sassuolo,33,1983,14,854,61,25.0,9.5,9,,6,5,,4,1.36,12,20,-8,-0.84,-0.95,Matches,b4c3070a
88,Cristiano Biraghi,it ITA,DF,Pescara,23,1992,35,2987,85,87.3,33.2,33,,29,2,,1,0.51,32,72,-40,-1.21,-0.37,Matches,9e1577aa
89,Davide Biraschi,it ITA,DFMF,Genoa,22,1994,7,395,56,11.5,4.4,4,,3,3,,22,1.29,5,4,+1,+0.23,+1.03,Matches,64cd167d
90,Valter Birsa,si SVN,MFFW,Chievo,29,1986,35,2761,79,80.7,30.7,34,,14,1,,0,1.11,37,47,-10,-0.33,+0.77,Matches,455a2b79
91,Luca Bittante,it ITA,DF,Cagliari,22,1993,5,312,62,9.1,3.5,3,,3,2,,11,1.20,1,9,-8,-2.31,-1.93,Matches,2d3432e7
92,Albano Bizzarri,ar ARG,GK,Pescara,38,1977,29,2610,90,76.3,29.0,29,,29,0,,9,0.41,27,68,-41,-1.41,-1.08,Matches,32b9b5fa
93,Mirko Bizzi,it ITA,GK,Cagliari,16,1999,0,,,,,0,,0,0,,2,,,,,,,Matches,7efdd3e6
94,Giacomo Bonaventura,it ITA,MFFW,Milan,26,1989,19,1566,82,45.8,17.4,19,,11,0,,1,1.79,29,20,+9,+0.52,+0.37,Matches,d995ed27
95,Francesco Bonfiglio,it ITA,FW,Palermo,19,1997,0,,,,,0,,0,0,,3,,,,,,,Matches,37831a87
96,Leonardo Bonucci,it ITA,DF,Juventus,29,1987,29,2409,83,70.4,26.8,26,,25,3,,3,2.21,53,23,+30,+1.12,-0.66,Matches,52ec54d0
97,Giuseppe Borello,it ITA,MF,Crotone,17,1999,0,,,,,0,,0,0,,6,,,,,,,Matches,498df2a6
98,Luca Borrelli,it ITA,GK,Lazio,18,1998,0,,,,,0,,0,0,,6,,,,,,,Matches,b6fe4d31
99,Marco Borriello,it ITA,FW,Cagliari,34,1982,36,2589,72,75.7,28.8,30,,19,6,,0,1.28,49,58,-9,-0.31,+0.99,Matches,a889ffc7
100,Davide Borsellini,it ITA,GK,Udinese,17,1999,0,,,,,0,,0,0,,3,,,,,,,Matches,21b6d3e9
101,Ouasim Bouy,nl NED,DFMF,Palermo,23,1993,2,40,20,1.2,0.4,0,,0,2,,12,0.50,0,1,-1,-2.25,-1.11,Matches,247a7023
102,Cesare Bovo,it ITA,DF,Torino,33,1983,4,360,90,10.5,4.0,4,,4,0,,12,1.25,6,3,+3,+0.75,+0.69,Matches,6d584b34
103,Cesare Bovo,it ITA,DF,Pescara,33,1983,10,819,82,23.9,9.1,9,,9,1,,1,0.80,8,17,-9,-0.99,+0.22,Matches,6d584b34
104,Edoardo Bovolon,it ITA,MF,Udinese,18,1998,0,,,,,0,,0,0,,1,,,,,,,Matches,e7455e15
105,Lucas Boyé,ar ARG,FWMF,Torino,20,1996,30,1458,49,42.6,16.2,14,,6,16,,8,1.53,30,27,+3,+0.19,+0.09,Matches,d49f3e6b
106,Walter Bressan,it ITA,GK,Chievo,35,1981,0,,,,,0,,0,0,,15,,,,,,,Matches,305dae6e
107,Sebastian Breza,ca CAN,GK,Palermo,18,1998,0,,,,,0,,0,0,,3,,,,,,,Matches,52e7f812
108,Franco Brienza,it ITA,FWMF,Bologna,37,1979,0,,,,,0,,0,0,,2,,,,,,,Matches,aff058a4
109,Fabrizio Brignani,it ITA,DF,Bologna,18,1998,0,,,,,0,,0,0,,3,,,,,,,Matches,4a6667d7
110,Illia Briukhov,ua UKR,DF,Cagliari,18,1998,0,,,,,0,,0,0,,3,,,,,,,Matches,a26cf0e3
111,Davide Brivio,it ITA,DF,Genoa,28,1988,0,,,,,0,,0,0,,23,,,,,,,Matches,32e0c69e
112,Marcelo Brozović,hr CRO,MF,Inter,23,1992,23,1737,76,50.8,19.3,20,,16,3,,7,1.52,35,23,+12,+0.62,+0.03,Matches,33b8d077
113,Gastón Brugman,uy URU,MF,Pescara,23,1992,27,1931,72,56.5,21.5,22,,14,5,,7,0.48,18,46,-28,-1.31,-0.34,Matches,e947ee4a
114,Alessandro Bruno,it ITA,MFDF,Pescara,33,1983,15,974,65,28.5,10.8,10,,7,5,,19,0.40,13,24,-11,-1.02,+0.20,Matches,48e7305e
115,Marcel Büchel,li LIE,MFFW,Empoli,25,1991,15,818,55,23.9,9.1,10,,3,5,,17,0.67,4,14,-10,-1.10,-0.34,Matches,2edeb221
116,Ante Budimir,hr CRO,FW,Sampdoria,25,1991,11,313,28,9.2,3.5,2,,1,9,,26,1.18,3,6,-3,-0.86,-0.78,Matches,8f3565b3
117,Gianluigi Buffon,it ITA,GK,Juventus,38,1978,30,2655,89,77.6,29.5,30,,29,0,,4,2.30,55,24,+31,+1.05,-1.18,Matches,e40d028b
118,Davide Buglio,it ITA,MF,Empoli,18,1998,0,,,,,0,,0,0,,2,,,,,,,Matches,720581aa
119,Alessandro Buongiorno,it ITA,DF,Torino,17,1999,0,,,,,0,,0,0,,1,,,,,,,Matches,4ae67f27
120,Nicolás Burdisso,ar ARG,DF,Genoa,35,1981,35,3126,89,91.4,34.7,35,,34,0,,1,1.03,36,59,-23,-0.66,+0.26,Matches,9417f322
121,Bryan Cabezas,ec ECU,MF,Atalanta,19,1997,1,23,23,0.7,0.3,0,,0,1,,14,1.00,0,0,0,0.00,-0.56,Matches,061f1eed
122,Rafael Cabral,br BRA,GK,Napoli,26,1990,1,90,90,2.6,1.0,1,,1,0,,37,1.00,1,1,0,0.00,-1.49,Matches,806f7a26
123,Fabrizio Cacciatore,it ITA,DF,Chievo,29,1986,29,2507,86,73.3,27.9,29,,26,0,,1,1.10,33,45,-12,-0.43,+0.16,Matches,00b0bb87
124,Andrea Cadili,it ITA,DF,Cagliari,17,1999,0,,,,,0,,0,0,,1,,,,,,,Matches,74b5330b
125,Davide Calabria,it ITA,DF,Milan,19,1996,12,987,82,28.9,11.0,11,,9,1,,13,1.17,14,13,+1,+0.09,-0.32,Matches,2146785a
126,Mattia Caldara,it ITA,DF,Atalanta,22,1994,30,2655,89,77.6,29.5,30,,29,0,,6,2.00,47,27,+20,+0.68,+0.56,Matches,ac7e640b
127,José Callejón,es ESP,FW,Napoli,29,1987,37,3139,85,91.8,34.9,37,,29,0,,0,2.24,86,36,+50,+1.43,-0.17,Matches,78841da9
128,Hugo Campagnaro,ar ARG,DF,Pescara,36,1980,19,1564,82,45.7,17.4,18,,16,1,,1,0.68,11,32,-21,-1.21,-0.09,Matches,2ac01901
129,Antonio Candreva,it ITA,MFFW,Inter,29,1987,38,3007,79,87.9,33.4,36,,17,2,,0,1.63,60,42,+18,+0.54,-0.55,Matches,356c9002
130,Paolo Cannavaro,it ITA,DF,Sassuolo,35,1981,18,1425,79,41.7,15.8,16,,15,2,,14,1.11,23,28,-5,-0.32,-0.32,Matches,46ed55b6
131,Leonardo Capezzi,it ITA,MF,Crotone,21,1995,25,1637,65,47.9,18.2,18,,14,7,,11,0.92,13,30,-17,-0.93,-0.58,Matches,07ea0ef2
132,Christian Capone,it ITA,FW,Atalanta,17,1999,0,,,,,0,,0,0,,5,,,,,,,Matches,a05b2549
133,Gianluca Caprari,it ITA,FWMF,Pescara,23,1993,35,3108,89,90.9,34.5,34,,31,1,,0,0.51,34,72,-38,-1.10,+0.63,Matches,54e53b7e
134,Marco Capuano,it ITA,DF,Cagliari,24,1991,12,771,64,22.5,8.6,8,,5,4,,19,0.83,14,18,-4,-0.47,+0.11,Matches,616aea37
135,Cassio Cardoselli,it ITA,MF,Lazio,18,1998,0,,,,,0,,0,0,,4,,,,,,,Matches,538da2c4
136,Carlão,br BRA,DF,Torino,30,1986,4,334,84,9.8,3.7,4,,3,0,,7,1.25,5,8,-3,-0.81,-1.04,Matches,0d863fdc
137,Carlos Carmona,cl CHI,MF,Atalanta,29,1987,2,100,50,2.9,1.1,2,,0,0,,5,0.00,1,3,-2,-1.80,-2.42,Matches,12b9753e
138,Lapo Carradori,it ITA,DF,Empoli,18,1998,0,,,,,0,,0,0,,1,,,,,,,Matches,b0006705
139,Marco Carraro,it ITA,MF,Inter,18,1998,0,,,,,0,,0,0,,1,,,,,,,Matches,b09359c3
140,Leandro Castán,br BRA,DF,Torino,29,1986,14,1177,84,34.4,13.1,13,,13,1,,13,1.93,28,15,+13,+0.99,+1.32,Matches,019f4d0d
141,Lucas Castro,ar ARG,MF,Chievo,27,1989,33,2759,84,80.7,30.7,33,,24,0,,0,1.15,37,50,-13,-0.42,+0.26,Matches,56b2957b
142,Danilo Cataldi,it ITA,MF,Genoa,21,1994,13,931,72,27.2,10.3,10,,8,3,,4,0.69,7,24,-17,-1.64,-1.32,Matches,ba3d3bea
143,Danilo Cataldi,it ITA,MF,Lazio,21,1994,11,662,60,19.4,7.4,5,,3,6,,6,1.92,16,8,+8,+1.09,+0.60,Matches,ba3d3bea
144,Pietro Cavagnaro,it ITA,GK,Sampdoria,18,1998,0,,,,,0,,0,0,,1,,,,,,,Matches,88fc864b
145,Federico Ceccherini,it ITA,DF,Crotone,24,1992,35,3097,88,90.6,34.4,35,,33,0,,2,0.97,32,50,-18,-0.52,+1.15,Matches,d9624b51
146,Luca Ceppitelli,it ITA,DF,Cagliari,26,1989,19,1689,89,49.4,18.8,19,,17,0,,3,1.21,21,36,-15,-0.80,-0.49,Matches,7d50454d
147,Michele Cerofolini,it ITA,GK,Fiorentina,17,1999,0,,,,,0,,0,0,,2,,,,,,,Matches,efdeaff3
148,Alberto Cerri,it ITA,FW,Pescara,20,1996,13,697,54,20.4,7.7,7,,5,6,,7,0.54,9,15,-6,-0.77,+0.48,Matches,1079c685
149,Boštjan Cesar,si SVN,DF,Chievo,34,1982,17,1436,84,42.0,16.0,16,,14,1,,14,0.94,17,28,-11,-0.69,-0.37,Matches,c1d18f10
150,Roman Chanturia,ge GEO,FW,Empoli,20,1996,0,,,,,0,,0,0,,1,,,,,,,Matches,e06aadbc
151,Nicolò Cherubin,it ITA,DF,Bologna,29,1986,0,,,,,0,,0,0,,2,,,,,,,Matches,88189b42
152,Giorgio Chiellini,it ITA,DF,Juventus,31,1984,21,1636,78,47.8,18.2,20,,16,1,,10,2.43,37,13,+24,+1.32,+0.01,Matches,e85fb9b8
153,Federico Chiesa,it ITA,MFFW,Fiorentina,18,1997,27,1492,55,43.6,16.6,17,,4,10,,11,1.48,27,21,+6,+0.36,+0.36,Matches,b0f7e36c
154,Vlad Chiricheș,ro ROU,DF,Napoli,26,1989,14,1124,80,32.9,12.5,13,,12,1,,17,2.36,34,14,+20,+1.60,+0.23,Matches,c316607a
155,Ivaylo Chochev,bg BUL,MF,Palermo,23,1993,30,2286,76,66.8,25.4,25,,20,5,,8,0.73,19,50,-31,-1.22,-0.19,Matches,39c53a23
156,Luca Cigarini,it ITA,MF,Sampdoria,30,1986,4,276,69,8.1,3.1,3,,2,1,,33,0.25,2,7,-5,-1.63,-1.60,Matches,ae64d449
157,Thiago Cionek,pl POL,DF,Palermo,30,1986,29,2326,80,68.0,25.8,26,,22,3,,8,0.83,21,40,-19,-0.74,+1.32,Matches,46f5c54d
158,Issa Cissokho,sn SEN,DF,Genoa,31,1985,0,,,,,0,,0,0,,2,,,,,,,Matches,a1017967
159,Claiton,br BRA,DF,Crotone,31,1984,10,704,70,20.6,7.8,9,,5,1,,19,0.20,5,15,-10,-1.28,-0.81,Matches,67a3c8bc
160,Andrea Coda,it ITA,DF,Pescara,31,1985,13,999,77,29.2,11.1,12,,5,1,,11,0.38,13,29,-16,-1.44,-0.40,Matches,6e110b50
161,Isaac Cofie,gh GHA,MF,Genoa,24,1991,15,1002,67,29.3,11.1,11,,8,4,,22,1.20,16,20,-4,-0.36,+0.46,Matches,c6dda86e
162,Valentin Cojocaru,ro ROU,GK,Crotone,20,1995,0,,,,,0,,0,0,,16,,,,,,,Matches,04d9bce8
163,Roberto Colombo,it ITA,GK,Cagliari,40,1975,1,81,81,2.4,0.9,0,,0,1,,25,3.00,4,1,+3,+3.33,+3.98,Matches,3b01efe2
164,Alessandro Confente,it ITA,GK,Chievo,18,1998,0,,,,,0,,0,0,,28,,,,,,,Matches,95a3fe33
165,Andrea Consigli,it ITA,GK,Sassuolo,29,1987,37,3330,90,97.4,37.0,37,,37,0,,0,1.24,57,56,+1,+0.03,+6.03,Matches,8cabdc1e
166,Andrea Conti,it ITA,MF,Atalanta,22,1994,33,2663,81,77.9,29.6,31,,23,2,,2,1.88,45,33,+12,+0.41,-0.66,Matches,8fef5412
167,Alex Coppola,it ITA,DF,Genoa,19,1997,0,,,,,0,,0,0,,1,,,,,,,Matches,face4e22
168,Domenico Coppola,it ITA,GK,Torino,17,1999,0,,,,,0,,0,0,,1,,,,,,,Matches,b1ea9ffc
169,Alex Cordaz,it ITA,GK,Crotone,33,1983,36,3236,90,94.6,36.0,36,,35,0,,1,0.94,33,54,-21,-0.58,+0.88,Matches,e66ebabb
170,Uroš Ćosić,rs SRB,DF,Empoli,23,1992,14,961,69,28.1,10.7,8,,7,6,,16,0.86,8,14,-6,-0.56,+0.39,Matches,69960ac3
171,Andrea Costa,it ITA,DF,Empoli,30,1986,26,2083,80,60.9,23.1,25,,22,1,,4,0.85,20,36,-16,-0.69,+0.39,Matches,f5e9a8bd
172,Bryan Costa,it ITA,GK,Sassuolo,18,1998,0,,,,,0,,0,0,,5,,,,,,,Matches,fce52967
