--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Standard,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Atalanta,32,38.0,76,538,181,33.6,14.16,4.76,0.14,0.42,5,7
Bologna,30,38.0,56,505,166,32.9,13.29,4.37,0.11,0.34,6,7
Cagliari,28,38.0,38,421,115,27.3,11.08,3.03,0.09,0.33,3,3
Como,38,38.0,44,519,176,33.9,13.66,4.63,0.08,0.25,0,2
Empoli,34,38.0,31,367,107,29.2,9.66,2.82,0.08,0.29,2,3
Fiorentina,34,38.0,58,439,166,37.8,11.55,4.37,0.13,0.35,6,8
Genoa,37,38.0,35,383,117,30.5,10.08,3.08,0.09,0.30,0,2
Hellas Verona,32,38.0,31,372,95,25.5,9.79,2.50,0.08,0.33,2,2
Inter,26,38.0,76,565,179,31.7,14.87,4.71,0.13,0.42,8,9
Juventus,29,38.0,56,509,175,34.4,13.39,4.61,0.11,0.32,6,6
Lazio,27,38.0,60,528,185,35.0,13.89,4.87,0.11,0.32,6,7
Lecce,31,38.0,27,450,119,26.4,11.84,3.13,0.06,0.23,3,4
Milan,35,38.0,59,555,185,33.3,14.61,4.87,0.11,0.32,4,8
Monza,36,38.0,27,333,99,29.7,8.76,2.61,0.08,0.27,3,3
Napoli,27,38.0,56,499,150,30.1,13.13,3.95,0.11,0.37,4,5
Parma,32,38.0,43,418,140,33.5,11.00,3.68,0.10,0.31,6,7
Roma,28,38.0,55,514,162,31.5,13.53,4.26,0.11,0.34,8,8
Torino,31,38.0,36,383,123,32.1,10.08,3.24,0.09,0.29,2,4
Udinese,31,38.0,41,430,137,31.9,11.32,3.61,0.10,0.30,2,4
Venezia,36,38.0,31,381,120,31.5,10.03,3.16,0.08,0.26,4,5


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2024-2025/2024-2025-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_shooting_for">View Original Table</a><br>Generated 8/26/2026.
