--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Performance,,,,,,,,,,,
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Atalanta,32,38.0,67,1,1,435,393,54,778,296,347,5,2,2
Bologna,30,38.0,61,4,1,537,604,63,756,258,346,6,3,2
Cagliari,28,38.0,68,3,3,500,397,65,758,276,303,2,6,0
Como,38,38.0,87,7,3,503,518,65,568,279,412,1,7,0
Empoli,34,38.0,68,5,2,570,459,57,620,323,396,3,3,1
Fiorentina,34,38.0,82,3,2,440,550,88,588,275,313,6,3,1
Genoa,37,38.0,71,1,0,497,448,55,663,308,385,1,8,3
Hellas Verona,32,38.0,98,9,5,579,352,55,562,329,434,1,4,1
Inter,26,38.0,56,1,1,417,405,90,751,227,288,6,4,1
Juventus,29,38.0,67,3,1,480,378,52,630,215,353,3,5,0
Lazio,27,38.0,93,7,3,425,484,46,864,295,319,4,4,2
Lecce,31,38.0,61,7,1,466,427,52,628,285,372,2,10,3
Milan,35,38.0,70,6,1,415,428,60,634,234,349,7,2,3
Monza,36,38.0,90,3,2,512,529,54,656,305,315,0,4,3
Napoli,27,38.0,47,0,0,415,445,55,681,270,323,4,4,2
Parma,32,38.0,78,6,3,405,458,31,427,279,293,5,5,2
Roma,28,38.0,66,1,1,405,484,59,636,282,328,6,4,1
Torino,31,38.0,80,3,1,483,386,57,675,278,261,2,7,2
Udinese,31,38.0,88,5,3,543,379,50,679,302,346,2,8,5
Venezia,36,38.0,75,2,2,503,451,58,529,279,361,4,11,3


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2024-2025/2024-2025-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_misc_for">View Original Table</a><br>Generated 8/26/2026.
