--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Atalanta,32,27.1,38,3420,90,100,38.0,418,79,233,185,24,250,1.95,78,37,+41,+1.08
Bologna,30,26.4,38,3420,90,100,38.0,418,80,230,185,21,335,1.63,57,47,+10,+0.26
Cagliari,28,26.6,38,3420,90,100,38.0,418,80,233,182,22,307,0.95,40,56,-16,-0.42
Como,38,26.3,38,3420,90,100,38.0,418,81,229,187,18,308,1.29,49,52,-3,-0.08
Empoli,34,25.4,38,3420,90,100,38.0,418,82,245,169,19,292,0.82,33,59,-26,-0.68
Fiorentina,34,26.3,38,3420,90,100,38.0,418,81,240,177,21,253,1.71,60,41,+19,+0.50
Genoa,37,26.2,38,3420,90,100,38.0,418,81,249,170,22,319,1.13,37,49,-12,-0.32
Hellas Verona,32,25.1,38,3420,90,100,38.0,418,80,231,180,23,368,0.97,34,66,-32,-0.84
Inter,26,29.4,38,3420,90,100,38.0,418,80,231,188,22,273,2.13,79,35,+44,+1.16
Juventus,29,24.6,38,3420,90,100,38.0,418,82,255,164,20,203,1.84,58,35,+23,+0.61
Lazio,27,27.1,38,3420,90,100,38.0,418,80,239,174,22,244,1.71,61,49,+12,+0.32
Lecce,31,26.1,38,3420,90,100,38.0,418,80,245,168,24,339,0.89,27,58,-31,-0.82
Milan,35,25.6,38,3420,90,100,38.0,418,81,249,166,22,282,1.66,61,43,+18,+0.47
Monza,36,26.8,38,3420,90,100,38.0,418,81,243,172,20,310,0.47,28,69,-41,-1.08
Napoli,27,28.6,38,3420,90,100,38.0,418,85,260,158,14,269,2.16,59,27,+32,+0.84
Parma,32,23.8,38,3420,90,100,38.0,418,78,234,185,26,284,0.95,44,58,-14,-0.37
Roma,28,26.5,38,3420,90,100,38.0,418,81,247,171,21,317,1.82,56,35,+21,+0.55
Torino,31,26.7,38,3420,90,100,38.0,418,80,236,179,21,253,1.16,39,45,-6,-0.16
Udinese,31,26.4,38,3420,90,100,38.0,418,80,232,181,21,278,1.16,41,56,-15,-0.39
Venezia,36,25.4,38,3420,90,100,38.0,418,81,232,187,19,317,0.76,32,56,-24,-0.63


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2024-2025/2024-2025-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_playing_time_for">View Original Table</a><br>Generated 8/26/2026.
