--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Performance,,,,,,,,,,,
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Atalanta,25,38.0,66,,3,490,465,79,751,476,488,9,2,0
Benevento,41,38.0,79,,4,486,465,83,661,449,409,2,13,2
Bologna,30,38.0,101,,4,482,466,66,553,462,456,2,4,3
Cagliari,29,38.0,96,,4,611,458,84,732,431,447,5,12,1
Chievo,25,38.0,75,,1,478,460,102,801,444,367,2,7,4
Crotone,29,38.0,65,,1,501,466,88,635,578,440,2,8,0
Fiorentina,27,38.0,89,,3,551,428,82,823,489,497,6,3,0
Genoa,33,38.0,75,,0,555,474,86,769,394,395,5,4,2
Hellas Verona,32,38.0,98,,4,511,404,79,665,541,459,3,8,2
Inter,22,38.0,69,,0,452,395,94,1042,402,435,6,2,4
Juventus,24,38.0,66,,1,432,493,79,672,421,359,5,4,2
Lazio,24,38.0,79,,3,435,350,97,734,494,450,9,10,2
Milan,24,38.0,75,,4,495,478,88,872,354,376,4,3,1
Napoli,23,38.0,58,,1,349,369,80,672,341,407,7,2,0
Roma,27,38.0,48,,1,396,439,71,962,477,384,4,5,0
Sampdoria,27,38.0,69,,2,426,485,54,777,335,423,6,10,2
Sassuolo,28,38.0,89,,4,488,556,80,793,506,375,6,3,2
SPAL,29,38.0,101,,2,479,640,91,727,527,414,5,12,4
Torino,27,38.0,78,,4,568,508,71,612,421,405,2,8,0
Udinese,27,38.0,72,,0,531,392,60,711,459,415,5,6,5


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2017-2018/2017-2018-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_misc_for">View Original Table</a><br>Generated 8/26/2026.
