--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Atalanta,25,25.7,38,3420,90,100,38.0,418,,,108,0,313,1.58,57,39,+18,+0.47
Benevento,41,26.0,38,3420,90,100,38.0,418,,,113,0,311,0.55,33,84,-51,-1.34
Bologna,30,26.8,38,3420,90,100,38.0,418,,,113,0,331,1.03,40,52,-12,-0.32
Cagliari,29,27.1,38,3420,90,100,38.0,418,,,114,0,295,1.03,33,61,-28,-0.74
Chievo,25,30.3,38,3420,90,100,38.0,418,,,109,0,345,1.05,36,59,-23,-0.61
Crotone,29,25.6,38,3420,90,100,38.0,418,,,114,0,318,0.92,40,66,-26,-0.68
Fiorentina,27,25.0,38,3420,90,100,38.0,418,,,111,0,325,1.50,54,46,+8,+0.21
Genoa,33,27.9,38,3420,90,100,38.0,418,,,113,0,329,1.08,33,43,-10,-0.26
Hellas Verona,32,25.9,38,3420,90,100,38.0,418,,,113,0,317,0.66,30,78,-48,-1.26
Inter,22,27.6,38,3420,90,100,38.0,418,,,110,0,283,1.89,66,30,+36,+0.95
Juventus,24,29.2,38,3420,90,100,38.0,418,,,111,0,267,2.50,86,24,+62,+1.63
Lazio,24,26.5,38,3420,90,100,38.0,418,,,114,0,313,1.89,89,49,+40,+1.05
Milan,24,25.0,38,3420,90,100,38.0,418,,,107,0,334,1.68,56,42,+14,+0.37
Napoli,23,28.0,38,3420,90,100,38.0,418,,,113,0,308,2.39,77,29,+48,+1.26
Roma,27,27.4,38,3420,90,100,38.0,418,,,114,0,305,2.03,61,28,+33,+0.87
Sampdoria,27,27.0,38,3420,90,100,38.0,418,,,110,0,311,1.42,56,60,-4,-0.11
Sassuolo,28,27.2,38,3420,90,100,38.0,418,,,113,0,322,1.13,29,59,-30,-0.79
SPAL,29,26.7,38,3420,90,100,38.0,418,,,110,0,332,1.00,39,59,-20,-0.53
Torino,27,28.1,38,3420,90,100,38.0,418,,,106,0,315,1.42,54,46,+8,+0.21
Udinese,27,26.5,38,3420,90,100,38.0,418,,,113,0,319,1.05,48,63,-15,-0.39


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2017-2018/2017-2018-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_playing_time_for">View Original Table</a><br>Generated 8/26/2026.
