--- When using SR data, please cite us and provide a link and/or a mention.


 
,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Atalanta,3,38,38,3420,38.0,39,1.03,118,78,66.9,16,12,10,11,28.9,2,1,1,0,50.0
Benevento,3,38,38,3418,38.0,84,2.21,209,127,59.8,6,3,29,4,10.5,13,10,0,3,0.0
Bologna,3,38,38,3420,38.0,52,1.37,169,117,69.2,11,6,21,8,21.1,4,3,0,1,0.0
Cagliari,3,38,38,3420,38.0,61,1.61,172,110,64.5,11,6,21,8,21.1,12,8,2,2,20.0
Chievo,1,38,38,3420,38.0,59,1.55,187,129,68.4,10,10,18,7,18.4,7,4,3,0,42.9
Crotone,1,38,38,3420,38.0,66,1.74,200,133,67.0,9,8,21,5,13.2,8,6,1,1,14.3
Fiorentina,2,38,38,3419,38.0,46,1.21,148,101,68.9,16,9,13,14,36.8,3,2,1,0,33.3
Genoa,2,38,38,3420,38.0,43,1.13,170,129,74.7,11,8,19,12,31.6,4,4,0,0,0.0
Hellas Verona,2,38,38,3420,38.0,78,2.05,259,181,69.9,7,4,27,7,18.4,8,6,2,0,25.0
Inter,1,38,38,3420,38.0,30,0.79,117,91,74.4,20,12,6,17,44.7,2,2,0,0,0.0
Juventus,3,38,38,3420,38.0,24,0.63,91,68,73.6,30,5,3,22,57.9,4,3,1,0,25.0
Lazio,1,38,38,3420,38.0,49,1.29,159,111,69.2,21,9,8,11,28.9,10,9,1,0,10.0
Milan,1,38,38,3420,38.0,42,1.11,132,91,68.2,18,10,10,12,31.6,3,2,0,1,0.0
Napoli,2,38,38,3420,38.0,29,0.76,98,69,70.4,28,7,3,19,50.0,2,2,0,0,0.0
Roma,2,38,38,3420,38.0,28,0.74,138,108,79.7,23,8,7,18,47.4,5,3,2,0,40.0
Sampdoria,3,38,38,3420,38.0,60,1.58,200,138,70.0,16,6,16,9,23.7,10,6,4,0,40.0
Sassuolo,2,38,38,3420,38.0,59,1.55,178,120,66.9,11,10,17,10,26.3,3,2,1,0,33.3
SPAL,3,38,38,3420,38.0,59,1.55,200,142,70.5,8,14,16,7,18.4,12,9,3,0,25.0
Torino,2,38,38,3420,38.0,46,1.21,160,111,71.3,13,15,10,10,26.3,8,5,3,0,37.5
Udinese,2,38,38,3420,38.0,63,1.66,170,108,62.9,12,4,22,9,23.7,6,2,3,1,60.0


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2017-2018/2017-2018-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_keeper_for">View Original Table</a><br>Generated 8/26/2026.
