--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Atalanta,25,25.7,55.4,38,418,3420,38.0,57,38,95,52,5,9,66,,1.50,1.00,2.50,1.37,2.37
Benevento,41,26.0,47.5,38,418,3420,38.0,32,23,55,30,2,3,79,,0.84,0.61,1.45,0.79,1.39
Bologna,30,26.8,46.8,38,418,3420,38.0,37,18,55,35,2,3,101,,0.97,0.47,1.45,0.92,1.39
Cagliari,29,27.1,45.3,38,418,3420,38.0,33,21,54,29,4,7,96,,0.87,0.55,1.42,0.76,1.32
Chievo,25,30.3,44.4,38,418,3420,38.0,36,20,56,35,1,2,75,,0.95,0.53,1.47,0.92,1.45
Crotone,29,25.6,39.9,38,418,3420,38.0,38,21,59,36,2,3,65,,1.00,0.55,1.55,0.95,1.50
Fiorentina,27,25.0,52.6,38,418,3420,38.0,53,32,85,46,7,8,89,,1.39,0.84,2.24,1.21,2.05
Genoa,33,27.9,46.3,38,418,3420,38.0,31,18,49,27,4,5,75,,0.82,0.47,1.29,0.71,1.18
Hellas Verona,32,25.9,41.9,38,418,3420,38.0,30,19,49,23,7,7,98,,0.79,0.50,1.29,0.61,1.11
Inter,22,27.6,57.1,38,418,3420,38.0,64,34,98,58,6,7,69,,1.68,0.89,2.58,1.53,2.42
Juventus,24,29.2,57.2,38,418,3420,38.0,82,39,121,78,4,8,66,,2.16,1.03,3.18,2.05,3.08
Lazio,24,26.5,51.1,38,418,3420,38.0,86,51,137,77,9,11,79,,2.26,1.34,3.61,2.03,3.37
Milan,24,25.0,56.0,38,418,3420,38.0,54,28,82,50,4,6,75,,1.42,0.74,2.16,1.32,2.05
Napoli,23,28.0,63.4,38,418,3420,38.0,73,45,118,67,6,8,58,,1.92,1.18,3.11,1.76,2.95
Roma,27,27.4,58.0,38,418,3420,38.0,56,37,93,53,3,6,48,,1.47,0.97,2.45,1.39,2.37
Sampdoria,27,27.0,53.6,38,418,3420,38.0,56,33,89,49,7,8,69,,1.47,0.87,2.34,1.29,2.16
Sassuolo,28,27.2,42.9,38,418,3420,38.0,28,16,44,24,4,10,89,,0.74,0.42,1.16,0.63,1.05
SPAL,29,26.7,44.7,38,418,3420,38.0,37,14,51,32,5,6,101,,0.97,0.37,1.34,0.84,1.21
Torino,27,28.1,51.1,38,418,3420,38.0,53,36,89,53,0,2,78,,1.39,0.95,2.34,1.39,2.34
Udinese,27,26.5,44.7,38,418,3420,38.0,45,27,72,38,7,7,72,,1.18,0.71,1.89,1.00,1.71


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2017-2018/2017-2018-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_standard_for">View Original Table</a><br>Generated 8/26/2026.
