--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Standard,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Atalanta,25,38.0,57,570,192,33.7,15.00,5.05,0.10,0.30,5,9
Benevento,41,38.0,32,470,145,30.9,12.37,3.82,0.07,0.22,2,3
Bologna,30,38.0,37,356,119,33.4,9.37,3.13,0.10,0.31,2,3
Cagliari,29,38.0,33,374,113,30.2,9.84,2.97,0.09,0.29,4,7
Chievo,25,38.0,36,389,131,33.7,10.24,3.45,0.09,0.27,1,2
Crotone,29,38.0,38,378,129,34.1,9.95,3.39,0.10,0.29,2,3
Fiorentina,27,38.0,53,611,179,29.3,16.08,4.71,0.09,0.30,7,8
Genoa,33,38.0,31,413,120,29.1,10.87,3.16,0.08,0.26,4,5
Hellas Verona,32,38.0,30,354,89,25.1,9.32,2.34,0.08,0.34,7,7
Inter,22,38.0,64,565,195,34.5,14.87,5.13,0.11,0.33,6,7
Juventus,24,38.0,82,546,198,36.3,14.37,5.21,0.15,0.41,4,8
Lazio,24,38.0,86,542,199,36.7,14.26,5.24,0.16,0.43,9,11
Milan,24,38.0,54,606,214,35.3,15.95,5.63,0.09,0.25,4,6
Napoli,23,38.0,73,648,245,37.8,17.05,6.45,0.11,0.30,6,8
Roma,27,38.0,56,637,199,31.2,16.76,5.24,0.09,0.28,3,6
Sampdoria,27,38.0,56,474,163,34.4,12.47,4.29,0.12,0.34,7,8
Sassuolo,28,38.0,28,489,134,27.4,12.87,3.53,0.06,0.21,4,10
SPAL,29,38.0,37,368,109,29.6,9.68,2.87,0.10,0.34,5,6
Torino,27,38.0,53,449,151,33.6,11.82,3.97,0.12,0.35,0,2
Udinese,27,38.0,45,436,131,30.0,11.47,3.45,0.10,0.34,7,7


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2017-2018/2017-2018-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_shooting_for">View Original Table</a><br>Generated 8/26/2026.
