--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Atalanta,32,25.2,38,3420,90,100,38.0,417,,,110,0,337,1.89,62,41,+21,+0.55
Bologna,28,26.3,38,3420,90,100,38.0,418,,,114,0,325,1.08,40,58,-18,-0.47
Cagliari,34,28.7,38,3420,90,100,38.0,418,,,113,0,257,1.24,55,76,-21,-0.55
Chievo,29,31.3,38,3420,90,100,38.0,418,,,113,0,319,1.13,43,61,-18,-0.47
Crotone,31,26.0,38,3420,90,100,38.0,418,,,110,0,329,0.89,34,58,-24,-0.63
Empoli,29,26.8,38,3420,90,100,38.0,418,,,111,0,334,0.84,29,61,-32,-0.84
Fiorentina,30,27.3,38,3420,90,100,38.0,418,,,114,0,325,1.58,63,57,+6,+0.16
Genoa,33,26.9,38,3420,90,100,38.0,418,,,113,0,329,0.95,38,64,-26,-0.68
Inter,29,27.5,38,3420,90,100,38.0,418,,,108,0,328,1.63,72,49,+23,+0.61
Juventus,27,29.1,38,3420,90,100,38.0,418,,,113,0,288,2.39,77,27,+50,+1.32
Lazio,30,26.0,38,3420,90,100,38.0,418,,,114,0,316,1.84,74,51,+23,+0.61
Milan,28,25.0,38,3420,90,100,38.0,418,,,114,0,327,1.66,57,45,+12,+0.32
Napoli,26,26.9,38,3420,90,100,38.0,418,,,112,0,337,2.26,94,39,+55,+1.45
Palermo,30,26.1,38,3420,90,100,38.0,418,,,112,0,330,0.68,33,77,-44,-1.16
Pescara,34,26.6,38,3420,90,100,38.0,418,,,113,0,282,0.47,37,81,-44,-1.16
Roma,22,26.7,38,3420,90,100,38.0,418,,,107,0,276,2.29,90,38,+52,+1.37
Sampdoria,24,26.6,38,3420,90,100,38.0,418,,,113,0,333,1.26,49,55,-6,-0.16
Sassuolo,28,26.7,38,3420,90,100,38.0,418,,,113,0,312,1.21,58,63,-5,-0.13
Torino,29,26.4,38,3420,90,100,38.0,418,,,113,0,326,1.39,71,66,+5,+0.13
Udinese,29,26.7,38,3420,90,100,38.0,418,,,112,0,312,1.18,47,56,-9,-0.24


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2016-2017/2016-2017-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_playing_time_for">View Original Table</a><br>Generated 8/26/2026.
