--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Performance,,,,,,,,,,,
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Atalanta,32,38.0,90,2,2,600,555,80,863,698,491,6,4,1
Bologna,28,38.0,87,2,2,485,519,96,627,605,534,1,5,2
Cagliari,34,38.0,104,3,3,543,505,99,553,574,556,7,12,2
Chievo,29,38.0,88,3,3,565,535,103,722,536,463,6,6,1
Crotone,31,38.0,93,3,3,584,478,111,748,620,533,3,10,0
Empoli,29,38.0,107,0,0,535,609,94,752,529,471,4,11,2
Fiorentina,30,38.0,98,3,3,537,535,87,833,504,434,7,6,0
Genoa,33,38.0,97,4,4,625,450,86,917,526,510,2,10,5
Inter,29,38.0,81,3,3,540,516,81,1212,570,571,4,6,1
Juventus,27,38.0,70,0,0,484,562,95,786,557,457,2,1,1
Lazio,30,38.0,96,3,3,542,432,106,792,538,591,12,9,3
Milan,28,38.0,98,9,9,519,518,98,799,411,487,10,10,2
Napoli,26,38.0,58,0,0,376,430,85,790,442,487,6,7,1
Palermo,30,38.0,107,6,6,568,534,87,665,657,494,1,6,1
Pescara,34,38.0,98,3,3,551,537,117,661,549,512,7,6,1
Roma,22,38.0,64,0,0,461,488,88,916,622,526,12,4,0
Sampdoria,24,38.0,75,1,1,511,502,81,782,468,511,6,8,0
Sassuolo,28,38.0,90,0,0,517,541,75,751,590,534,8,9,1
Torino,29,38.0,88,3,3,581,497,91,750,594,508,10,7,1
Udinese,29,38.0,85,0,0,481,516,42,853,526,507,3,9,2


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2016-2017/2016-2017-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_misc_for">View Original Table</a><br>Generated 8/26/2026.
