--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
19,Cristian Ansaldi,ar ARG,MF,Torino,34,1986,7.7,2,0,0,13,4,2,56,6,8,,,0,Matches,bbafc0c4
20,Janis Antiste,fr FRA,FWMF,Spezia,18,2002,8.8,0,0,0,15,6,5,12,3,11,,,0,Matches,38d9ce53
21,Mattia Aramu,it ITA,MFFW,Venezia,26,1995,23.3,6,0,0,30,81,7,147,7,14,,,0,Matches,0847b5a5
22,Marko Arnautović,at AUT,FW,Bologna,32,1989,29.9,6,0,0,44,22,14,15,7,10,,,0,Matches,00459419
23,Tolgay Arslan,de GER,MF,Udinese,30,1990,18.4,9,0,0,28,36,0,33,11,21,,,0,Matches,963a328b
24,Kristoffer Askildsen,no NOR,MF,Sampdoria,20,2001,8.4,5,0,0,17,14,0,2,15,8,,,1,Matches,a69cc629
25,Kristjan Asllani,al ALB,MF,Empoli,19,2002,15.0,2,0,0,13,24,0,29,19,12,,,0,Matches,0fdcef0e
26,Emil Audero,id IDN,GK,Sampdoria,24,1997,28.4,2,0,0,0,6,0,0,2,1,,,0,Matches,649b01d8
27,Tommaso Augello,it ITA,DF,Sampdoria,26,1994,26.6,0,0,0,12,21,1,75,31,21,,,0,Matches,3cd3b384
28,Ramzi Aya,it ITA,DF,Salernitana,30,1990,1.5,1,0,0,1,0,0,1,0,1,,,0,Matches,6a1f66a7
29,Kaan Ayhan,tr TUR,DF,Sassuolo,26,1994,15.0,2,1,0,13,5,1,2,16,13,,,0,Matches,2200181e
30,Milan Badelj,hr CRO,MF,Genoa,32,1989,31.6,4,0,0,39,20,0,10,88,40,,,0,Matches,e8c930bb
31,Nicola Bagnolini,it ITA,GK,Bologna,17,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,ad263695
32,Issa Bah,lu LUX,FW,Venezia,19,2002,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches,956a78ea
33,Nedim Bajrami,al ALB,MF,Empoli,22,1999,22.8,3,0,0,16,14,7,156,4,15,,,0,Matches,f42d6c13
34,Tiemoué Bakayoko,fr FRA,MF,Milan,26,1994,5.6,3,0,0,12,10,0,2,8,13,,,0,Matches,59bf127b
35,Tommaso Baldanzi,it ITA,MF,Empoli,18,2003,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches,102e2599
36,Keita Baldé,sn SEN,FW,Cagliari,26,1995,13.7,2,0,0,28,30,9,7,5,3,,,0,Matches,509a4ccb
37,Fodé Ballo-Touré,sn SEN,DF,Milan,24,1997,5.0,2,0,0,12,10,1,18,4,14,,,0,Matches,f449640d
38,Filippo Bandinelli,it ITA,MF,Empoli,26,1995,21.7,10,0,0,53,18,5,67,12,24,,,0,Matches,d44360be
39,Mattia Bani,it ITA,DF,Genoa,27,1993,13.5,1,0,0,14,19,0,1,21,13,,,0,Matches,0821331c
40,Antonín Barák,cz CZE,MFFW,Hellas Verona,26,1994,26.0,4,0,0,27,17,3,14,6,9,,,0,Matches,01efac19
41,Francesco Bardi,it ITA,GK,Bologna,29,1992,2.0,0,0,0,0,1,0,0,0,0,,,0,Matches,0acda699
42,Nicolò Barella,it ITA,MF,Inter,24,1997,32.4,9,0,0,30,52,4,68,19,42,,,0,Matches,6928979a
43,Musa Barrow,gm GAM,MFFW,Bologna,22,1998,23.7,0,0,0,10,25,6,111,6,5,,,0,Matches,e5bf73f3
44,Daniele Baselli,it ITA,MF,Torino,29,1992,1.7,0,0,0,3,4,1,4,1,3,,,0,Matches,ea06dd97
45,Daniele Baselli,it ITA,MF,Cagliari,29,1992,3.2,1,0,0,2,3,0,17,2,5,,,0,Matches,ea06dd97
46,Toma Bašić,hr CRO,MF,Lazio,24,1996,10.9,3,0,0,13,6,0,15,4,7,,,0,Matches,80556f08
47,Alessandro Bastoni,it ITA,DF,Inter,22,1999,25.7,4,0,0,30,28,0,29,32,26,,,0,Matches,75b86fb3
48,Simone Bastoni,it ITA,MFDF,Spezia,24,1996,25.4,5,1,0,31,35,1,112,31,34,,,0,Matches,1ac232b8
49,Rodrigo Becão,br BRA,DF,Udinese,25,1996,34.8,10,0,0,57,45,4,17,43,46,,,0,Matches,19e4eab9
50,Valon Behrami,ch SUI,MF,Genoa,36,1985,3.5,3,0,0,8,5,0,2,1,1,,,0,Matches,d3d758d8
51,Vid Belec,si SVN,GK,Salernitana,31,1990,21.5,1,0,0,1,1,0,0,0,0,,,0,Matches,4f8ce0e1
52,Raoul Bellanova,it ITA,MF,Cagliari,21,2000,27.7,3,0,0,10,35,2,97,23,15,,,0,Matches,e3756e72
53,Andrea Belotti,it ITA,FW,Torino,27,1993,15.2,1,0,0,26,51,16,13,2,3,,,0,Matches,d705ba44
54,Marco Benassi,it ITA,DF,Fiorentina,26,1994,1.8,1,0,0,4,0,0,4,3,0,,,0,Matches,0000acda
55,Marco Benassi,it ITA,MF,Empoli,26,1994,4.2,1,0,0,5,5,0,13,3,3,,,0,Matches,0000acda
56,Filip Benković,hr CRO,DF,Udinese,24,1997,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches,305a3820
57,Ismaël Bennacer,dz ALG,MF,Milan,23,1997,16.9,7,0,0,25,44,0,23,25,30,,,0,Matches,db092d3b
58,Rodrigo Bentancur,uy URU,MF,Juventus,24,1997,12.8,1,0,0,25,8,0,4,25,19,,,0,Matches,3b8674e6
59,Alessandro Berardi,it ITA,GK,Hellas Verona,30,1991,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches,ec1f737d
60,Domenico Berardi,it ITA,MFFW,Sassuolo,26,1994,31.3,9,0,0,54,76,11,100,30,19,,,0,Matches,53a0e358
61,Bartosz Bereszyński,pl POL,DF,Sampdoria,29,1992,32.7,12,0,0,34,37,0,61,37,38,,,0,Matches,61b3978f
62,Etrit Berisha,al ALB,GK,Torino,32,1989,10.0,1,0,0,1,3,0,0,0,0,,,0,Matches,ee833569
63,Federico Bernardeschi,it ITA,MFFW,Juventus,27,1994,16.4,5,0,0,16,27,4,51,5,9,,,0,Matches,ee93c1a9
64,Nicolò Bertola,it ITA,DF,Spezia,18,2003,0.4,0,0,0,0,0,0,0,3,2,,,0,Matches,04b40c58
65,Daniel Bessa,it ITA,MF,Hellas Verona,28,1993,8.5,5,1,1,21,12,2,18,4,2,,,0,Matches,88895312
66,Beto,gw GNB,FW,Udinese,23,1998,24.1,1,0,0,52,24,13,3,5,7,,,0,Matches,ed5c0319
67,Luis Binks,eng ENG,DF,Bologna,19,2001,7.2,3,0,0,7,5,0,1,18,4,,,0,Matches,36e88fbc
68,Cristiano Biraghi,it ITA,DF,Fiorentina,28,1992,35.0,5,1,1,28,38,7,279,21,25,,,1,Matches,9e1577aa
69,Davide Biraschi,it ITA,DF,Genoa,27,1994,10.3,4,0,0,12,11,0,15,18,15,,,0,Matches,64cd167d
70,Bjarki Bjarkason,is ISL,MF,Venezia,21,2000,0.0,0,0,0,0,1,0,0,0,0,,,0,Matches,f1d25de7
71,Jeremie Boga,ci CIV,MF,Sassuolo,24,1997,7.4,0,0,0,1,9,2,7,1,3,,,0,Matches,fe012aca
72,Jeremie Boga,ci CIV,MFFW,Atalanta,24,1997,8.5,0,0,0,1,18,3,24,1,3,,,0,Matches,fe012aca
73,Luka Bogdan,hr CRO,DF,Salernitana,25,1996,4.4,0,0,0,2,1,0,1,7,2,,,0,Matches,cb678320
74,Emil Bohinen,no NOR,MF,Salernitana,22,1999,7.8,5,0,0,16,13,1,19,10,10,,,0,Matches,c83c203f
75,Giacomo Bonaventura,it ITA,MF,Fiorentina,31,1989,25.2,8,1,1,31,49,2,36,15,18,,,0,Matches,d995ed27
76,Federico Bonazzoli,it ITA,FWMF,Salernitana,24,1997,20.7,6,0,0,31,67,6,23,6,13,,,0,Matches,bf57eaab
77,Kevin Bonifazi,it ITA,DF,Bologna,25,1996,13.4,4,1,1,15,10,0,3,15,15,,,1,Matches,fb77bfef
78,Leonardo Bonucci,it ITA,DF,Juventus,34,1987,22.3,1,0,0,17,8,1,3,26,5,,,0,Matches,52ec54d0
79,Mehdi Bourabia,ma MAR,MF,Spezia,29,1991,3.1,0,0,0,6,6,0,4,2,1,,,0,Matches,0d077b88
80,Edoardo Bove,it ITA,MF,Roma,19,2002,0.8,0,0,0,1,3,0,2,1,1,,,0,Matches,ae94a6c5
81,Josip Brekalo,hr CRO,MF,Torino,23,1998,25.4,1,0,0,20,21,5,136,5,4,,,0,Matches,d4a2533d
82,Gleison Bremer,br BRA,DF,Torino,24,1997,32.1,7,0,0,66,20,5,1,106,25,,,0,Matches,5fd5ed86
83,Marcelo Brozović,hr CRO,MF,Inter,28,1992,32.6,7,0,0,44,32,0,23,37,43,,,0,Matches,33b8d077
84,Aleksander Buksa,pl POL,FW,Genoa,18,2003,0.7,0,0,0,2,0,0,0,0,0,,,0,Matches,59f2d958
85,Alessandro Buongiorno,it ITA,DF,Torino,22,1999,13.1,5,0,0,27,16,1,6,30,9,,,0,Matches,4ae67f27
86,Gianluca Busio,us USA,MF,Venezia,19,2002,21.7,8,0,0,31,17,0,38,23,29,,,0,Matches,4a0b7f07
87,Arthur Cabral,br BRA,FW,Fiorentina,23,1998,8.3,1,0,0,16,10,1,2,1,5,,,0,Matches,a820e429
88,Jovane Cabral,cv CPV,FW,Lazio,23,1998,2.1,0,0,0,5,3,0,2,1,1,,,0,Matches,e34e086c
89,Liberato Cacace,nz NZL,DF,Empoli,20,2000,5.2,1,0,0,9,6,0,11,8,6,,,0,Matches,dd86e8e4
90,Martín Cáceres,uy URU,DFMF,Cagliari,34,1987,9.2,3,1,0,7,9,0,12,16,8,,,0,Matches,e94d79e3
91,Felipe Caicedo,ec ECU,FW,Genoa,32,1988,3.2,1,0,0,6,2,4,0,0,3,,,0,Matches,93b891d1
92,Felipe Caicedo,ec ECU,FWMF,Inter,32,1988,0.3,0,0,0,1,0,0,0,0,0,,,0,Matches,93b891d1
93,Davide Calabria,it ITA,DF,Milan,24,1996,23.5,2,0,0,15,28,1,53,23,36,,,0,Matches,2146785a
94,Riccardo Calafiori,it ITA,DF,Roma,19,2002,1.9,2,0,0,4,0,0,3,3,3,,,0,Matches,aded8e6f
95,Riccardo Calafiori,it ITA,DF,Genoa,19,2002,0.9,1,0,0,3,0,0,0,2,0,,,0,Matches,aded8e6f
96,Mattia Caldara,it ITA,DF,Venezia,27,1994,30.0,9,0,0,28,22,3,1,63,27,,,0,Matches,ac7e640b
97,Hakan Çalhanoğlu,tr TUR,MF,Inter,27,1994,27.6,11,0,0,37,26,0,194,25,24,,,0,Matches,cd0fa27b
98,José Callejón,es ESP,FW,Fiorentina,34,1987,14.4,0,0,0,3,17,3,62,3,7,,,0,Matches,78841da9
99,Andrea Cambiaso,it ITA,MFDF,Genoa,21,2000,19.9,5,1,1,22,16,1,67,20,19,,,0,Matches,247ed022
100,Matteo Cancellieri,it ITA,MF,Hellas Verona,19,2002,2.5,1,0,0,9,4,1,8,1,4,,,0,Matches,b6a1cdf9
101,Antonio Candreva,it ITA,MF,Sampdoria,34,1987,34.7,6,1,0,19,48,13,344,31,17,,,0,Matches,356c9002
102,Leonardo Capezzi,it ITA,MF,Salernitana,26,1995,1.9,0,0,0,3,1,0,0,0,2,,,0,Matches,07ea0ef2
103,Gianluca Caprari,it ITA,MFFW,Hellas Verona,28,1993,30.4,4,0,0,42,74,14,111,4,26,,,0,Matches,54e53b7e
104,Francesco Caputo,it ITA,FW,Sassuolo,33,1987,1.7,1,0,0,0,3,0,0,0,0,,,0,Matches,5bd72174
105,Francesco Caputo,it ITA,FW,Sampdoria,33,1987,31.0,0,0,0,24,38,36,13,2,2,,,0,Matches,5bd72174
106,Andrea Carboni,it ITA,DF,Cagliari,20,2001,24.6,6,0,0,18,9,0,24,32,24,,,1,Matches,f7e2af2c
107,Nicolò Casale,it ITA,DFMF,Hellas Verona,23,1998,28.7,10,0,0,44,24,0,15,51,31,,,0,Matches,3f5f38fb
108,Francesco Cassata,it ITA,MF,Genoa,24,1997,0.1,0,0,0,0,1,0,1,0,0,,,0,Matches,96960855
109,Samu Castillejo,es ESP,MF,Milan,26,1995,1.4,1,0,0,2,2,0,8,2,2,,,0,Matches,130a7a3f
110,Gaetano Castrovilli,it ITA,MF,Fiorentina,24,1997,15.5,4,0,0,21,36,1,41,10,16,,,0,Matches,0728bebe
111,Danilo Cataldi,it ITA,MF,Lazio,26,1994,19.0,8,0,0,18,19,0,66,17,21,,,0,Matches,ba3d3bea
112,Pietro Ceccaroni,it ITA,DF,Venezia,25,1995,34.7,7,1,0,27,26,0,12,27,30,,,0,Matches,4d1efb48
113,Federico Ceccherini,it ITA,DF,Hellas Verona,29,1992,26.2,12,1,1,56,25,3,5,51,19,,,0,Matches,d9624b51
114,Emil Ceide,no NOR,FWMF,Sassuolo,19,2001,0.6,0,0,0,0,0,0,0,0,1,,,0,Matches,98a84572
115,Luca Ceppitelli,it ITA,DF,Cagliari,31,1989,16.1,3,0,0,18,12,1,6,24,12,,,0,Matches,7d50454d
116,Damir Ceter,co COL,FW,Cagliari,23,1997,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,eade5337
117,Julian Chabot,de GER,DF,Sampdoria,23,1998,5.4,5,0,0,10,11,0,1,9,10,,,0,Matches,ae7058f9
118,Giorgio Chiellini,it ITA,DF,Juventus,36,1984,15.0,2,0,0,15,22,2,1,19,13,,,0,Matches,e85fb9b8
119,Federico Chiesa,it ITA,FWMF,Juventus,23,1997,9.6,0,0,0,9,16,1,32,4,19,,,0,Matches,b0f7e36c
120,Vlad Chiricheș,ro ROU,DF,Sassuolo,31,1989,25.6,4,0,0,28,13,1,0,43,15,,,0,Matches,c316607a
121,Riccardo Ciervo,it ITA,MF,Sampdoria,19,2002,2.5,0,0,0,3,1,0,9,2,4,,,0,Matches,da77b60b
122,Moustapha Cissé,gn GUI,FW,Atalanta,17,2003,0.4,0,0,0,2,1,2,0,0,0,,,0,Matches,ee3c4b3f
123,Giorgio Cittadini,it ITA,DF,Atalanta,19,2002,0.0,0,0,0,0,0,0,0,1,0,,,0,Matches,e4ba67f2
124,Ebrima Colley,gm GAM,FWMF,Spezia,21,2000,4.4,1,0,0,10,12,2,18,3,2,,,0,Matches,bf356094
125,Omar Colley,gm GAM,DF,Sampdoria,28,1992,30.5,6,1,0,25,31,1,1,79,36,,,0,Matches,8b95acda
126,Andrea Consigli,it ITA,GK,Sassuolo,34,1987,36.9,2,0,0,2,5,0,0,0,0,,,0,Matches,8cabdc1e
127,Andrea Conti,it ITA,DFMF,Milan,27,1994,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,8fef5412
128,Andrea Conti,it ITA,MF,Sampdoria,27,1994,2.6,1,0,0,5,4,1,0,5,2,,,0,Matches,8fef5412
129,Diego Coppola,it ITA,DF,Hellas Verona,17,2003,2.8,0,0,0,2,1,0,0,4,5,,,0,Matches,22ae86f9
130,Joaquín Correa,ar ARG,FW,Inter,26,1994,11.4,2,0,0,15,16,1,1,1,5,,,0,Matches,45b9b619
131,Lassana Coulibaly,ml MLI,MF,Salernitana,25,1996,25.9,3,0,0,34,49,0,14,21,31,,,0,Matches,85a44ecc
132,Mamadou Coulibaly,sn SEN,MF,Salernitana,22,1999,9.0,1,0,0,15,10,0,8,10,12,,,0,Matches,c976160c
133,Alessio Cragno,it ITA,GK,Cagliari,27,1994,35.0,3,0,0,1,8,0,0,1,3,,,0,Matches,f554e29b
134,Domenico Criscito,it ITA,DF,Genoa,34,1986,18.0,4,0,0,21,27,0,51,41,20,,,0,Matches,35dd6d80
135,Bryan Cristante,it ITA,MF,Roma,26,1995,29.8,9,0,0,39,14,1,14,44,39,,,1,Matches,16657b95
136,Domen Črnigoj,si SVN,MF,Venezia,25,1995,20.9,3,0,0,26,12,1,30,24,13,,,0,Matches,22cd43d2
137,Giovanni Crociata,it ITA,MF,Empoli,23,1997,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches,8c964914
138,Juan Cuadrado,co COL,MFDF,Juventus,33,1988,27.6,9,0,0,19,52,1,134,27,23,,,0,Matches,0ab1f153
139,Mickaël Cuisance,fr FRA,MF,Venezia,21,1999,10.2,2,0,0,12,9,1,18,11,10,,,0,Matches,5722eced
140,Patrick Cutrone,it ITA,FW,Empoli,23,1998,15.6,1,0,0,13,15,20,21,5,2,,,0,Matches,a4fe8cda
141,Danilo D'Ambrosio,it ITA,DF,Inter,32,1988,11.1,2,0,0,13,5,1,8,9,14,,,0,Matches,44eb9093
142,Mikkel Damsgaard,dk DEN,MF,Sampdoria,21,2000,6.4,1,0,0,10,8,0,5,6,14,,,0,Matches,215f3907
143,Danilo,br BRA,DFMF,Juventus,30,1991,21.0,6,0,0,19,11,0,13,30,27,,,0,Matches,94b2001f
144,Ebrima Darboe,gm GAM,MF,Roma,20,2001,0.7,0,0,0,1,0,0,0,1,1,,,0,Matches,cf043a33
145,Matteo Darmian,it ITA,MF,Inter,31,1989,16.7,4,0,0,23,18,0,37,18,16,,,0,Matches,96e0490d
146,Paweł Dawidowicz,pl POL,DF,Hellas Verona,26,1995,13.3,3,0,0,26,14,0,7,19,17,,,0,Matches,16bb656a
147,Sebastien De Maio,fr FRA,DF,Udinese,34,1987,2.0,0,0,0,3,0,0,0,1,1,,,0,Matches,952a03fe
148,Tommaso De Nipoti,it ITA,FW,Atalanta,18,2003,0.1,0,0,0,0,0,1,0,0,0,,,0,Matches,7f9d956a
149,Mattia De Sciglio,it ITA,DF,Juventus,28,1992,13.0,2,1,0,15,7,0,53,8,12,,,0,Matches,ae4e2852
150,Lorenzo De Silvestri,it ITA,MFDF,Bologna,33,1988,25.5,7,0,0,29,27,3,56,27,14,,,0,Matches,e74f0e59
151,Grégoire Defrel,mq MTQ,FWMF,Sassuolo,30,1991,15.1,3,0,0,16,18,3,1,4,9,,,0,Matches,854ee61a
152,Alessandro Deiola,it ITA,MF,Cagliari,25,1995,23.7,5,0,0,44,21,1,12,28,23,,,0,Matches,7f267d66
153,Filippo Delli Carri,it ITA,DF,Salernitana,22,1999,3.7,1,0,0,2,2,0,3,4,4,,,0,Matches,d2e8fd9b
154,Merih Demiral,tr TUR,DF,Atalanta,23,1998,21.3,8,0,0,29,16,3,0,57,18,,,0,Matches,e3cceee6
155,Diego Demme,de GER,MF,Napoli,29,1991,7.7,4,0,0,28,8,0,7,8,14,,,0,Matches,dc3fa3b5
156,Fabio Depaoli,it ITA,MF,Hellas Verona,24,1997,7.8,3,0,0,19,10,4,33,7,6,,,0,Matches,d97f2e8d
157,Fabio Depaoli,it ITA,MF,Sampdoria,24,1997,1.2,1,0,0,8,1,0,3,1,1,,,0,Matches,d97f2e8d
158,Mattia Destro,it ITA,FW,Genoa,30,1991,19.4,4,0,0,40,31,20,2,2,4,,,0,Matches,d7d32194
159,Gerard Deulofeu,es ESP,FWMF,Udinese,27,1994,29.1,9,0,0,25,31,33,165,10,5,,,0,Matches,39583cfd
160,Jacopo Dezi,it ITA,MF,Venezia,29,1992,0.2,0,0,0,0,0,0,3,0,0,,,0,Matches,e921b9db
161,Samuel Di Carmine,it ITA,FW,Hellas Verona,32,1988,0.4,1,0,0,1,2,0,0,0,0,,,0,Matches,ef94dc2f
162,Federico Di Francesco,it ITA,FWMF,Empoli,27,1994,15.2,2,0,0,29,27,13,39,9,5,,,0,Matches,1fca9171
163,Giovanni Di Lorenzo,it ITA,DF,Napoli,27,1993,31.9,3,0,0,37,46,8,50,35,40,,,0,Matches,230a2fac
164,Francesco Di Mariano,it ITA,FW,Venezia,25,1996,0.7,0,0,0,1,1,0,1,0,1,,,0,Matches,35a2557c
165,Francesco Di Tacchio,it ITA,MFDF,Salernitana,31,1990,13.9,3,0,0,24,24,0,7,24,8,,,1,Matches,b5c3ff9f
166,Amadou Diawara,gn GUI,MF,Roma,24,1997,1.9,0,0,0,5,0,0,0,0,2,,,0,Matches,bf309d24
167,Brahim Díaz,ma MAR,MF,Milan,21,1999,20.6,4,0,0,22,33,4,12,8,17,,,0,Matches,407feb71
168,Mitchell Dijks,nl NED,MFDF,Bologna,28,1993,7.7,2,0,0,10,10,0,28,4,6,,,0,Matches,0a3065c8
169,Federico Dimarco,it ITA,DFMF,Inter,23,1997,15.9,1,0,0,15,14,2,152,19,16,,,0,Matches,970b8574
170,Filippo Distefano,it ITA,FW,Fiorentina,17,2003,0.0,0,0,0,0,0,1,0,0,0,,,0,Matches,2110f96c
171,Koffi Djidji,ci CIV,DF,Torino,28,1992,19.3,6,1,1,25,7,1,16,31,29,,,0,Matches,933d3b51
172,Berat Djimsiti,al ALB,DF,Atalanta,28,1993,25.1,6,0,0,21,14,1,12,36,24,,,1,Matches,6eee05f1
173,Nicolás Domínguez,ar ARG,MF,Bologna,23,1998,22.4,8,0,0,27,39,0,15,31,46,,,0,Matches,20b3a502
174,Bartłomiej Drągowski,pl POL,GK,Fiorentina,23,1997,6.2,0,1,0,1,0,0,0,1,0,,,0,Matches,085e71a7
175,Radu Drăgușin,ro ROU,DF,Salernitana,19,2002,5.4,1,0,0,3,4,0,0,14,4,,,0,Matches,620922ed
176,Radu Drăgușin,ro ROU,DF,Sampdoria,19,2002,6.9,1,0,0,6,5,1,4,10,2,,,0,Matches,620922ed
177,Denzel Dumfries,nl NED,MF,Inter,25,1996,22.5,3,0,0,31,37,4,35,10,12,,,0,Matches,481c9ece
178,Alfred Duncan,gh GHA,MF,Fiorentina,28,1993,21.5,3,0,0,22,13,0,46,10,20,,,0,Matches,528492ea
179,Paulo Dybala,ar ARG,FWMF,Juventus,27,1993,22.9,3,0,0,16,48,6,67,9,13,,,0,Matches,e0921a4f
180,Edin Džeko,ba BIH,FW,Inter,35,1986,27.4,2,0,0,27,39,5,34,4,8,,,0,Matches,3bb7f478
181,Tyronne Ebuehi,ng NGA,DF,Venezia,25,1995,12.6,1,1,0,22,4,1,28,17,12,,,0,Matches,6af30900
182,Albin Ekdal,se SWE,MF,Sampdoria,32,1989,18.2,11,1,1,31,40,0,2,30,26,,,0,Matches,f503ea63
183,Caleb Ekuban,gh GHA,FWMF,Genoa,27,1994,19.1,2,0,0,22,32,2,13,9,11,,,0,Matches,7afbd2c3
184,Elif Elmas,mk MKD,MF,Napoli,21,1999,18.0,3,0,0,27,30,2,10,7,16,,,0,Matches,cf007308
185,Martin Erlić,hr CRO,DF,Spezia,23,1998,28.6,5,0,0,28,19,0,2,28,16,,,0,Matches,0fee6bda
186,Gonzalo Escalante,ar ARG,MF,Lazio,28,1993,0.1,0,0,0,0,0,0,0,1,0,,,0,Matches,3f79a1c8
187,Diego Falcinelli,it ITA,FWMF,Bologna,30,1991,0.7,0,0,0,2,4,0,0,1,2,,,0,Matches,a39b9ef6
188,Wladimiro Falcone,it ITA,GK,Sampdoria,26,1995,9.5,2,0,0,0,1,0,0,1,0,,,0,Matches,9f5a610b
189,Paolo Faragò,it ITA,DFMF,Cagliari,28,1993,0.2,0,0,0,0,0,0,0,0,1,,,0,Matches,9085dd7c
190,Davide Faraoni,it ITA,MF,Hellas Verona,29,1991,28.6,8,1,1,27,34,6,85,23,41,,,0,Matches,aae9d04a
191,Mohamed Fares,dz ALG,MFDF,Genoa,25,1996,6.5,2,0,0,10,6,0,24,8,3,,,0,Matches,b7a5bc86
192,Diego Farias,br BRA,FW,Cagliari,31,1990,0.7,0,0,0,0,0,0,2,0,1,,,0,Matches,157d29b6
193,Andrea Favilli,it ITA,FW,Genoa,24,1997,0.4,0,0,0,0,1,1,0,0,1,,,0,Matches,44510fde
194,Federico Fazio,ar ARG,DF,Salernitana,34,1987,15.9,3,1,1,16,15,1,7,25,13,,,0,Matches,4e358a2d
195,Luiz Felipe,it ITA,DF,Lazio,24,1997,27.7,9,1,0,28,17,0,2,33,23,,,0,Matches,15d0c248
196,Alex Ferrari,it ITA,DF,Sampdoria,27,1994,18.3,4,0,0,29,24,0,7,39,25,,,0,Matches,d0dbca9f
197,Salvador Ferrer,es ESP,DFMF,Spezia,23,1998,16.6,3,0,0,13,10,0,43,17,18,,,0,Matches,eb76987d
198,Riccardo Fiamozzi,it ITA,DF,Empoli,28,1993,6.9,1,0,0,3,7,0,11,8,5,,,0,Matches,9f9b9269
199,Luca Fiordilino,it ITA,MF,Venezia,25,1996,7.3,2,0,0,5,10,2,9,10,14,,,0,Matches,9bb1ad91
200,Vincenzo Fiorillo,it ITA,GK,Salernitana,31,1990,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches,a2565f79
201,Alessandro Florenzi,it ITA,DFMF,Milan,30,1991,12.8,2,0,0,10,8,3,56,26,14,,,0,Matches,e288d4b3
202,Fernando Forestieri,it ITA,FWMF,Udinese,31,1990,0.6,1,0,0,3,4,0,4,0,0,,,0,Matches,d60c26fc
203,Francesco Forte,it ITA,FW,Venezia,28,1993,4.7,3,0,0,11,7,2,2,0,2,,,0,Matches,69e11a01
204,Gianluca Frabotta,it ITA,DFMF,Hellas Verona,22,1999,0.2,0,0,0,2,0,0,3,1,0,,,0,Matches,d80b1835
