--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
1,Tammy Abraham,eng ENG,FW,Roma,23,1997,34.3,9,0,0,38,49,17,15,5,13,,,0,Matches,f586779e
2,Francesco Acerbi,it ITA,DF,Lazio,33,1988,28.2,2,1,0,18,16,4,3,37,12,,,0,Matches,b96b595c
3,Michel Aebischer,ch SUI,MF,Bologna,24,1997,4.9,1,0,0,13,4,0,7,7,5,,,0,Matches,f9c927de
4,Felix Afena-Gyan,gh GHA,MFFW,Roma,18,2003,7.4,5,1,1,15,24,4,8,3,3,,,0,Matches,0154d290
5,Kevin Agudelo,co COL,MFFW,Spezia,22,1998,13.7,2,1,0,36,24,0,22,7,27,,,0,Matches,46fa7204
6,Ola Aina,ng NGA,MF,Torino,24,1996,16.0,4,0,0,18,28,1,35,29,20,,,0,Matches,246d153b
7,Marley Aké,fr FRA,FWMF,Juventus,20,2001,0.9,1,0,0,6,2,0,1,1,0,,,0,Matches,414e1f69
8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28,1992,3.5,1,0,0,13,8,0,1,2,10,,,0,Matches,fdf4b948
9,Luis Alberto,es ESP,MF,Lazio,28,1992,26.1,5,0,0,13,27,1,145,13,17,,,0,Matches,5294a83f
10,Giorgio Altare,it ITA,DF,Cagliari,22,1998,16.3,5,0,0,35,10,1,27,30,27,,,0,Matches,aa5322d5
11,Wisdom Amey,it ITA,DF,Bologna,15,2005,0.8,0,0,0,1,2,0,0,3,1,,,0,Matches,35b4bc62
12,Kelvin Amian,fr FRA,DF,Spezia,23,1998,29.4,9,2,1,36,14,1,24,32,43,,,0,Matches,bcc81786
13,Nadiem Amiri,de GER,MF,Genoa,24,1996,7.6,0,0,0,7,19,1,21,0,4,,,0,Matches,555d5edd
14,Ethan Ampadu,wls WAL,MFDF,Venezia,20,2000,25.4,13,2,1,46,27,0,20,53,44,,,0,Matches,10b9fa99
15,Sofyan Amrabat,ma MAR,MF,Fiorentina,24,1996,10.5,6,0,0,25,15,0,6,6,14,,,0,Matches,5a2cb25d
16,Felipe Anderson,br BRA,FW,Lazio,28,1993,32.1,2,0,0,43,36,7,87,20,44,,,0,Matches,9f1893b9
17,Frank Anguissa,cm CMR,MF,Napoli,25,1995,21.4,5,0,0,38,28,0,9,25,29,,,0,Matches,6bb2c084
18,Ebenezer Annan,gh GHA,DF,Bologna,18,2002,0.3,0,0,0,0,0,0,1,1,1,,,0,Matches,39aa05a7
