
--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
591,Valerio Verre,it ITA,MF,Empoli,27,1994,3.4,0,9,4,44.4,2.61,1.16,0.00,0.00,0,0,Matches,33ecf462
592,Freddie Veseli,al ALB,DF,Salernitana,28,1992,6.6,0,1,0,0.0,0.15,0.00,0.00,,0,0,Matches,d541e703
593,Guglielmo Vicario,it ITA,GK,Empoli,24,1996,38.0,0,0,0,,0.00,0.00,,,0,0,Matches,77d6fd4d
594,Arturo Vidal,cl CHI,MF,Inter,34,1987,8.2,1,18,8,44.4,2.19,0.97,0.06,0.13,0,0,Matches,67cdbc0e
595,Ronaldo Vieira,gw GNB,MF,Sampdoria,23,1998,5.5,0,1,0,0.0,0.18,0.00,0.00,,0,0,Matches,75e60d75
596,Luca Vignali,it ITA,MF,Spezia,25,1996,0.9,0,0,0,,0.00,0.00,,,0,0,Matches,c1e8e74e
597,Emanuel Vignato,it ITA,MF,Bologna,20,2000,6.6,0,5,1,20.0,0.76,0.15,0.00,0.00,0,0,Matches,ec5dae45
598,Matías Viña,uy URU,DFMF,Roma,23,1997,17.4,0,12,3,25.0,0.69,0.17,0.00,0.00,0,0,Matches,08eb3b58
599,Nicolas Viola,it ITA,MF,Bologna,31,1989,1.1,0,1,0,0.0,0.88,0.00,0.00,,0,0,Matches,45392b06
600,Mattia Viti,it ITA,DF,Empoli,19,2002,16.6,0,4,0,0.0,0.24,0.00,0.00,,0,0,Matches,75438a9a
601,Dušan Vlahović,rs SRB,FW,Juventus,21,2000,12.0,7,44,19,43.2,3.68,1.59,0.16,0.37,0,0,Matches,79443529
602,Dušan Vlahović,rs SRB,FW,Fiorentina,21,2000,20.6,17,75,34,45.3,3.63,1.65,0.23,0.50,5,6,Matches,79443529
603,Mërgim Vojvoda,xk KVX,MF,Torino,26,1995,22.0,0,18,6,33.3,0.82,0.27,0.00,0.00,0,0,Matches,be2706c0
604,Cristian Volpato,au AUS,FW,Roma,17,2003,0.4,1,1,1,100.0,2.37,2.37,1.00,1.00,0,0,Matches,72f87f25
605,Stefan de Vrij,nl NED,DF,Inter,29,1992,26.8,0,21,4,19.0,0.78,0.15,0.00,0.00,0,0,Matches,d0d8dd44
606,Walace,br BRA,MF,Udinese,26,1995,33.0,1,47,11,23.4,1.42,0.33,0.02,0.09,0,0,Matches,26db8853
607,Sebastian Walukiewicz,pl POL,DF,Cagliari,21,2000,3.4,0,1,0,0.0,0.30,0.00,0.00,,0,0,Matches,217875a4
608,Magnus Warming,dk DEN,FW,Torino,21,2000,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,55e098cd
609,Kelvin Yeboah,it ITA,FWMF,Genoa,21,2000,9.4,0,16,5,31.3,1.69,0.53,0.00,0.00,0,0,Matches,ea0893d6
610,Gerard Yepes,es ESP,MF,Sampdoria,18,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,ee9040b4
611,Maya Yoshida,jp JPN,DF,Sampdoria,32,1988,20.3,2,9,4,44.4,0.44,0.20,0.22,0.50,0,0,Matches,caffaf5a
612,Mattia Zaccagni,it ITA,FW,Lazio,26,1995,20.8,4,33,10,30.3,1.58,0.48,0.12,0.40,0,0,Matches,d85c238b
613,Mattia Zaccagni,it ITA,MF,Hellas Verona,26,1995,2.0,2,4,3,75.0,2.00,1.50,0.50,0.67,1,1,Matches,d85c238b
614,Denis Zakaria,ch SUI,MF,Juventus,24,1996,6.6,1,9,4,44.4,1.36,0.60,0.11,0.25,0,0,Matches,384d58d9
615,Nicola Zalewski,pl POL,MF,Roma,19,2002,8.8,0,9,4,44.4,1.02,0.45,0.00,0.00,0,0,Matches,45191c29
616,Nicolò Zaniolo,it ITA,FWMF,Roma,22,1999,21.9,2,70,20,28.6,3.20,0.91,0.03,0.10,0,0,Matches,9907b1c8
617,Alessandro Zanoli,it ITA,DF,Napoli,20,2000,5.1,0,0,0,,0.00,0.00,,,0,0,Matches,3b12b11f
618,Mattia Zanotti,it ITA,DFMF,Inter,18,2003,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,875d65d1
619,Duván Zapata,co COL,FW,Atalanta,30,1991,19.1,10,81,34,42.0,4.23,1.78,0.12,0.29,3,3,Matches,d3de9af0
620,Gabriele Zappa,it ITA,MFDF,Cagliari,21,1999,12.7,0,6,2,33.3,0.47,0.16,0.00,0.00,0,0,Matches,ca3db240
621,Davide Zappacosta,it ITA,MFDF,Atalanta,29,1992,26.1,1,37,5,13.5,1.42,0.19,0.03,0.20,0,0,Matches,7fe90ccd
622,Simone Zaza,it ITA,FW,Torino,30,1991,1.4,0,8,3,37.5,5.58,2.09,0.00,0.00,0,0,Matches,9592289a
623,Marvin Zeegelaar,nl NED,DFMF,Udinese,30,1990,7.1,0,3,0,0.0,0.42,0.00,0.00,,0,0,Matches,8abd0c03
624,Piotr Zieliński,pl POL,MF,Napoli,27,1994,23.2,6,43,15,34.9,1.86,0.65,0.14,0.40,0,0,Matches,a5296e55
625,David Zima,cz CZE,DF,Torino,20,2000,14.6,0,5,3,60.0,0.34,0.21,0.00,0.00,0,0,Matches,acf7e795
626,Jeroen Zoet,nl NED,GK,Spezia,30,1991,7.0,0,0,0,,0.00,0.00,,,0,0,Matches,cc1a0c57
627,Nadir Zortea,it ITA,MFDF,Salernitana,22,1999,15.7,1,16,4,25.0,1.02,0.26,0.06,0.25,0,0,Matches,82598b71
628,Petar Zovko,ba BIH,GK,Spezia,19,2002,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,54f6afe3
629,Szymon Żurkowski,pl POL,MF,Empoli,23,1997,25.6,6,47,17,36.2,1.83,0.66,0.13,0.35,0,0,Matches,4e1d5e59
630,Leo Østigård,no NOR,DF,Genoa,21,1999,13.0,0,7,2,28.6,0.54,0.15,0.00,0.00,0,0,Matches,b35a7399
631,Milan Đurić,ba BIH,FW,Salernitana,31,1990,24.1,5,50,17,34.0,2.08,0.71,0.10,0.29,1,1,Matches,405f6586
632,Filip Đuričić,rs SRB,MF,Sassuolo,29,1992,7.5,2,17,6,35.3,2.28,0.80,0.12,0.33,0,0,Matches,eccbe56a


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2021-2022/shooting/2021-2022-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_shooting">View Original Table</a><br>Generated 8/25/2026.
