--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Emil Audero,id IDN,GK,Sampdoria,24,1997,29,29,2560,28.4,48,1.69,130,83,63.1,8,5,16,5,17.2,2,1,1,0,50.0,Matches,649b01d8
2,Nicola Bagnolini,it ITA,GK,Bologna,17,2004,1,0,3,0.0,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches,ad263695
3,Francesco Bardi,it ITA,GK,Bologna,29,1992,2,2,177,2.0,2,1.02,9,7,77.8,1,1,0,1,50.0,0,0,0,0,,Matches,0acda699
4,Vid Belec,si SVN,GK,Salernitana,31,1990,23,21,1938,21.5,49,2.28,138,89,64.5,3,2,16,1,4.8,5,3,1,1,25.0,Matches,4f8ce0e1
5,Alessandro Berardi,it ITA,GK,Hellas Verona,30,1991,1,1,90,1.0,3,3.00,7,4,57.1,0,1,0,0,0.0,0,0,0,0,,Matches,ec1f737d
6,Etrit Berisha,al ALB,GK,Torino,32,1989,10,10,900,10.0,8,0.80,40,32,80.0,3,4,3,4,40.0,3,2,1,0,33.3,Matches,ee833569
7,Andrea Consigli,it ITA,GK,Sassuolo,34,1987,37,37,3322,36.9,63,1.71,176,113,64.2,13,11,13,3,8.1,9,8,1,0,11.1,Matches,8cabdc1e
8,Alessio Cragno,it ITA,GK,Cagliari,27,1994,35,35,3150,35.0,63,1.80,166,103,62.0,6,10,19,2,5.7,8,6,2,0,25.0,Matches,f554e29b
9,Bartłomiej Drągowski,pl POL,GK,Fiorentina,23,1997,7,7,556,6.2,8,1.29,25,17,68.0,3,0,4,2,28.6,2,1,1,0,50.0,Matches,085e71a7
10,Wladimiro Falcone,it ITA,GK,Sampdoria,26,1995,10,9,855,9.5,14,1.47,56,42,75.0,2,1,6,2,22.2,1,1,0,0,0.0,Matches,9f5a610b
11,Vincenzo Fiorillo,it ITA,GK,Salernitana,31,1990,1,1,90,1.0,5,5.00,8,3,37.5,0,0,1,0,0.0,0,0,0,0,,Matches,a2565f79
12,Luca Gemello,it ITA,GK,Torino,21,2000,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,53e494ec
13,Samir Handanović,si SVN,GK,Inter,37,1984,37,37,3330,37.0,30,0.81,126,96,76.2,25,9,3,15,40.5,4,4,0,0,0.0,Matches,74419746
14,Luca Lezzerini,it ITA,GK,Venezia,26,1995,6,6,495,5.5,9,1.64,39,30,76.9,2,1,3,0,0.0,0,0,0,0,,Matches,c9c32262
15,Niki Mäenpää,fi FIN,GK,Venezia,36,1985,17,16,1485,16.5,27,1.64,85,58,68.2,1,4,11,1,6.3,6,5,0,1,0.0,Matches,14a96e1c
16,Mike Maignan,fr FRA,GK,Milan,26,1995,32,32,2880,32.0,21,0.66,101,81,79.2,22,7,3,17,53.1,2,2,0,0,0.0,Matches,fcb38f57
17,Davide Marfella,it ITA,GK,Napoli,21,1999,1,0,11,0.1,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches,880fcdbb
18,Alex Meret,it ITA,GK,Napoli,24,1997,7,7,619,6.9,6,0.87,30,24,80.0,5,1,1,3,42.9,0,0,0,0,,Matches,9413b19f
19,Vanja Milinković-Savić,rs SRB,GK,Torino,24,1997,27,27,2430,27.0,33,1.22,80,47,58.8,9,7,11,4,14.8,8,7,1,0,12.5,Matches,9fa26bc2
