--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,,-additional
20,Lorenzo Montipò,it ITA,GK,Hellas Verona,25,1996,34,34,3060,34.0,50,1.47,140,90,64.3,13,10,11,4,11.8,3,2,1,0,33.3,Matches,c1d95617
21,Juan Musso,ar ARG,GK,Atalanta,27,1994,33,33,2932,32.6,42,1.29,123,81,65.9,16,8,9,8,24.2,4,3,0,1,0.0,Matches,a111cf41
22,David Ospina,co COL,GK,Napoli,32,1988,31,31,2790,31.0,25,0.81,107,82,76.6,19,6,6,13,41.9,1,1,0,0,0.0,Matches,82b1198a
23,Daniele Padelli,it ITA,GK,Udinese,35,1985,3,3,270,3.0,8,2.67,22,13,63.6,1,0,2,1,33.3,0,0,0,0,,Matches,cf1c23d8
24,Ivor Pandur,hr CRO,GK,Hellas Verona,21,2000,3,3,270,3.0,6,2.00,15,9,60.0,1,0,2,0,0.0,1,1,0,0,0.0,Matches,457cb02f
25,Rui Patrício,pt POR,GK,Roma,33,1988,38,38,3420,38.0,43,1.13,148,105,70.9,18,9,11,15,39.5,6,5,1,0,16.7,Matches,79b0d6a0
26,Gianluca Pegolo,it ITA,GK,Sassuolo,40,1981,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,Matches,f058ed1f
27,Mattia Perin,it ITA,GK,Juventus,28,1992,5,5,405,4.5,7,1.56,17,10,58.8,2,1,2,1,20.0,0,0,0,0,,Matches,4c62d0c8
28,Carlo Pinsoglio,it ITA,GK,Juventus,31,1990,1,0,45,0.5,1,2.00,2,1,50.0,0,0,0,0,,1,1,0,0,0.0,Matches,f6a06749
29,Ivan Provedel,it ITA,GK,Spezia,27,1994,31,31,2761,30.7,52,1.70,167,115,68.9,9,5,17,7,22.6,12,9,1,2,10.0,Matches,277da414
30,Ionuț Radu,ro ROU,GK,Inter,24,1997,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches,67f649be
31,Boris Radunović,rs SRB,GK,Cagliari,25,1996,3,3,270,3.0,5,1.67,16,11,68.8,0,2,1,1,33.3,2,1,1,0,50.0,Matches,0dfce079
32,Nicola Ravaglia,it ITA,GK,Sampdoria,32,1988,1,0,5,0.1,1,18.00,1,0,0.0,0,0,0,0,,1,1,0,0,0.0,Matches,d7a35008
33,Pepe Reina,es ESP,GK,Lazio,38,1982,15,15,1350,15.0,29,1.93,60,31,51.7,6,4,5,2,13.3,5,4,0,1,0.0,Matches,e358587b
34,Sergio Romero,ar ARG,GK,Venezia,34,1987,16,16,1440,16.0,33,2.06,107,74,69.2,3,4,9,3,18.8,6,6,0,0,0.0,Matches,1e26e376
35,Francesco Rossi,it ITA,GK,Atalanta,30,1991,1,0,37,0.4,1,2.43,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches,7b5f516f
36,Giacomo Satalino,it ITA,GK,Sassuolo,22,1999,1,0,8,0.1,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches,b1f0b916
37,Adrian Šemper,hr CRO,GK,Genoa,23,1998,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,Matches,f02dde20
38,Luigi Sepe,it ITA,GK,Salernitana,30,1991,16,16,1392,15.5,24,1.55,78,54,69.2,4,8,4,1,6.3,3,3,0,0,0.0,Matches,343f753a
39,Marco Silvestri,it ITA,GK,Udinese,30,1991,35,35,3150,35.0,50,1.43,142,92,64.8,10,14,11,7,20.0,7,5,0,2,0.0,Matches,0d422df7
40,Salvatore Sirigu,it ITA,GK,Genoa,34,1987,37,37,3330,37.0,59,1.59,181,122,67.4,4,16,17,10,27.0,5,4,1,0,20.0,Matches,10dc46f0
41,Łukasz Skorupski,pl POL,GK,Bologna,30,1991,36,36,3240,36.0,53,1.47,170,124,68.8,11,9,16,12,33.3,9,8,1,0,11.1,Matches,ab4449d6
42,Marco Sportiello,it ITA,GK,Atalanta,29,1992,5,5,450,5.0,5,1.00,18,13,72.2,0,3,2,2,40.0,2,2,0,0,0.0,Matches,ac4003af
43,Thomas Strakosha,al ALB,GK,Lazio,26,1995,23,23,2070,23.0,29,1.26,87,58,66.7,12,6,5,7,30.4,1,1,0,0,0.0,Matches,339fe0e8
44,Wojciech Szczęsny,pl POL,GK,Juventus,31,1990,33,33,2970,33.0,29,0.88,104,75,72.1,18,9,6,12,36.4,6,3,3,0,50.0,Matches,01b8a2b2
45,Ciprian Tătărușanu,ro ROU,GK,Milan,35,1986,6,6,540,6.0,10,1.67,23,14,56.5,4,1,1,1,16.7,3,2,1,0,33.3,Matches,b056e3da
46,Pietro Terracciano,it ITA,GK,Fiorentina,31,1990,32,31,2862,31.8,43,1.35,101,58,57.4,16,5,10,9,29.0,3,2,1,0,33.3,Matches,e1b0a70d
47,Guglielmo Vicario,it ITA,GK,Empoli,24,1996,38,38,3420,38.0,70,1.84,220,150,68.2,10,11,17,7,18.4,10,5,2,3,28.6,Matches,77d6fd4d
48,Jeroen Zoet,nl NED,GK,Spezia,30,1991,7,7,630,7.0,19,2.71,42,23,54.8,1,1,5,0,0.0,2,1,1,0,50.0,Matches,cc1a0c57
49,Petar Zovko,ba BIH,GK,Spezia,19,2002,1,0,29,0.3,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches,54f6afe3


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2021-2022/keepers/2021-2022-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_keeper">View Original Table</a><br>Generated 8/25/2026.
