--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Atalanta,27,26.7,55.2,38,418,3420,38.0,50,33,83,47,3,3,60,2,1.32,0.87,2.18,1.24,2.11
Bologna,30,26.5,55.2,38,418,3420,38.0,47,30,77,42,5,7,67,6,1.24,0.79,2.03,1.11,1.89
Cagliari,31,24.8,45.6,38,418,3420,38.0,40,30,70,38,2,2,81,2,1.05,0.79,1.84,1.00,1.79
Como,24,25.4,61.6,38,418,3420,38.0,64,47,111,59,5,8,81,3,1.68,1.24,2.92,1.55,2.79
Cremonese,32,28.1,46.6,38,418,3420,38.0,32,22,54,28,4,4,73,6,0.84,0.58,1.42,0.74,1.32
Fiorentina,34,26.8,51.1,38,418,3420,38.0,40,23,63,34,6,6,82,3,1.05,0.61,1.66,0.89,1.50
Genoa,36,25.9,48.8,38,418,3420,38.0,41,21,62,36,5,9,62,3,1.08,0.55,1.63,0.95,1.50
Hellas Verona,34,26.3,40.2,38,418,3420,38.0,24,15,39,21,3,3,89,5,0.63,0.39,1.03,0.55,0.95
Inter,29,28.6,59.8,38,418,3420,38.0,85,64,149,80,5,6,64,0,2.24,1.68,3.92,2.11,3.79
Juventus,27,26.0,57.6,38,418,3420,38.0,59,41,100,57,2,5,52,2,1.55,1.08,2.63,1.50,2.58
Lazio,30,27.8,50.4,38,418,3420,38.0,39,28,67,35,4,5,78,9,1.03,0.74,1.76,0.92,1.66
Lecce,30,25.5,41.7,38,418,3420,38.0,28,20,48,27,1,2,69,2,0.74,0.53,1.26,0.71,1.24
Milan,26,27.2,51.8,38,418,3420,38.0,53,37,90,46,7,9,64,3,1.39,0.97,2.37,1.21,2.18
Napoli,29,28.4,59.0,38,418,3420,38.0,57,39,96,53,4,5,49,2,1.50,1.03,2.53,1.39,2.42
Parma,32,24.1,44.2,38,418,3420,38.0,26,17,43,24,2,2,65,5,0.68,0.45,1.13,0.63,1.08
Pisa,35,27.0,40.2,38,418,3420,38.0,25,13,38,19,6,7,78,5,0.66,0.34,1.00,0.50,0.84
Roma,29,26.3,56.3,38,418,3420,38.0,59,41,100,54,5,7,68,3,1.55,1.08,2.63,1.42,2.50
Sassuolo,34,26.1,46.2,38,418,3420,38.0,45,35,80,43,2,4,83,4,1.18,0.92,2.11,1.13,2.05
Torino,30,27.2,44.1,38,418,3420,38.0,42,25,67,37,5,7,71,1,1.11,0.66,1.76,0.97,1.63
Udinese,30,26.5,45.6,38,418,3420,38.0,44,30,74,39,5,5,71,2,1.16,0.79,1.95,1.03,1.82


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2025-2026/2025-2026-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_standard_for">View Original Table</a><br>Generated 8/26/2026.
