--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Standard,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Atalanta,27,38.0,50,563,175,31.1,14.82,4.61,0.09,0.29,3,3
Bologna,30,38.0,47,490,144,29.4,12.89,3.79,0.10,0.33,5,7
Cagliari,31,38.0,40,415,132,31.8,10.92,3.47,0.10,0.30,2,2
Como,24,38.0,64,550,194,35.3,14.47,5.11,0.12,0.33,5,8
Cremonese,32,38.0,32,346,125,36.1,9.11,3.29,0.09,0.26,4,4
Fiorentina,34,38.0,40,489,131,26.8,12.87,3.45,0.08,0.31,6,6
Genoa,36,38.0,41,434,143,32.9,11.42,3.76,0.09,0.29,5,9
Hellas Verona,34,38.0,24,421,141,33.5,11.08,3.71,0.06,0.17,3,3
Inter,29,38.0,85,650,229,35.2,17.11,6.03,0.13,0.37,5,6
Juventus,27,38.0,59,639,227,35.5,16.82,5.97,0.09,0.26,2,5
Lazio,30,38.0,39,417,156,37.4,10.97,4.11,0.09,0.25,4,5
Lecce,30,38.0,28,373,97,26.0,9.82,2.55,0.08,0.29,1,2
Milan,26,38.0,53,503,166,33.0,13.24,4.37,0.11,0.32,7,9
Napoli,29,38.0,57,502,179,35.7,13.21,4.71,0.11,0.32,4,5
Parma,32,38.0,26,407,104,25.6,10.71,2.74,0.06,0.25,2,2
Pisa,35,38.0,25,364,106,29.1,9.58,2.79,0.07,0.24,6,7
Roma,29,38.0,59,503,178,35.4,13.24,4.68,0.12,0.33,5,7
Sassuolo,34,38.0,45,406,143,35.2,10.68,3.76,0.11,0.31,2,4
Torino,30,38.0,42,449,151,33.6,11.82,3.97,0.09,0.28,5,7
Udinese,30,38.0,44,439,146,33.3,11.55,3.84,0.10,0.30,5,5


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2025-2026/2025-2026-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_shooting_for">View Original Table</a><br>Generated 8/26/2026.
