--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Performance,,,,,,,,,,,
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Atalanta,27,38.0,60,2,1,450,365,73,711,313,361,,,1
Bologna,30,38.0,67,6,2,500,528,73,671,279,311,,,1
Cagliari,31,38.0,81,2,2,524,530,61,543,334,359,,,0
Como,24,38.0,81,3,1,509,449,43,617,263,374,,,0
Cremonese,32,38.0,73,6,0,514,463,63,685,267,300,,,2
Fiorentina,34,38.0,82,3,1,475,569,62,717,269,273,,,2
Genoa,36,38.0,62,3,1,470,537,50,643,274,427,,,2
Hellas Verona,34,38.0,89,5,3,598,336,63,585,397,439,,,4
Inter,29,38.0,64,0,0,499,396,61,875,248,356,,,1
Juventus,27,38.0,52,2,1,461,365,65,745,245,366,,,2
Lazio,30,38.0,78,9,1,402,522,37,511,295,304,,,0
Lecce,30,38.0,69,2,0,480,493,46,643,261,391,,,1
Milan,26,38.0,64,3,2,384,424,71,639,242,315,,,1
Napoli,29,38.0,49,2,1,425,438,56,668,234,269,,,0
Parma,32,38.0,65,5,4,413,483,50,640,259,317,,,1
Pisa,35,38.0,78,5,1,501,415,62,649,354,376,,,1
Roma,29,38.0,68,3,1,523,506,64,694,360,339,,,0
Sassuolo,34,38.0,83,4,1,455,462,66,445,299,308,,,2
Torino,30,38.0,71,1,0,530,377,63,665,309,337,,,0
Udinese,30,38.0,71,2,0,514,407,54,560,321,375,,,1


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2025-2026/2025-2026-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_misc_for">View Original Table</a><br>Generated 8/26/2026.
