--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Atalanta,27,26.7,38,3420,90,100,38.0,418,79,237,181,25,261,1.55,51,36,+15,+0.39
Bologna,30,26.5,38,3420,90,100,38.0,418,80,226,188,22,312,1.47,49,46,+3,+0.08
Cagliari,31,24.8,38,3420,90,100,38.0,418,81,242,176,21,315,1.13,40,53,-13,-0.34
Como,24,25.4,38,3420,90,100,38.0,418,80,229,188,23,297,1.87,65,29,+36,+0.95
Cremonese,32,28.1,38,3420,90,100,38.0,418,80,236,181,24,273,0.89,32,57,-25,-0.66
Fiorentina,34,26.8,38,3420,90,100,38.0,418,81,241,175,21,291,1.11,41,50,-9,-0.24
Genoa,36,25.9,38,3420,90,100,38.0,418,81,242,173,20,331,1.08,41,51,-10,-0.26
Hellas Verona,34,26.3,38,3420,90,100,38.0,418,81,242,173,21,326,0.55,25,61,-36,-0.95
Inter,29,28.6,38,3420,90,100,38.0,418,81,231,187,21,293,2.29,89,35,+54,+1.42
Juventus,27,26.0,38,3420,90,100,38.0,418,82,231,185,19,244,1.82,61,34,+27,+0.71
Lazio,30,27.8,38,3420,90,100,38.0,418,79,232,178,24,269,1.42,41,40,+1,+0.03
Lecce,30,25.5,38,3420,90,100,38.0,418,81,243,173,21,339,1.00,28,50,-22,-0.58
Milan,26,27.2,38,3420,90,100,38.0,418,82,258,159,22,214,1.84,53,35,+18,+0.47
Napoli,29,28.4,38,3420,90,100,38.0,418,82,253,166,21,238,2.00,58,36,+22,+0.58
Parma,32,24.1,38,3420,90,100,38.0,418,81,249,169,20,307,1.18,28,46,-18,-0.47
Pisa,35,27.0,38,3420,90,100,38.0,418,79,230,183,24,345,0.47,26,71,-45,-1.18
Roma,29,26.3,38,3420,90,100,38.0,418,80,241,178,22,261,1.92,59,31,+28,+0.74
Sassuolo,34,26.1,38,3420,90,100,38.0,418,81,234,181,19,330,1.29,46,50,-4,-0.11
Torino,30,27.2,38,3420,90,100,38.0,418,80,231,187,22,309,1.18,44,63,-19,-0.50
Udinese,30,26.5,38,3420,90,100,38.0,418,81,232,185,20,291,1.32,45,48,-3,-0.08


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2025-2026/2025-2026-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_playing_time_for">View Original Table</a><br>Generated 8/26/2026.
