--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,,-additional
29,Ivan Provedel,it ITA,GK,Lazio,30,1994,29,29,2610,29.0,42,1.45,95,53,55.8,15,6,8,5,17.2,4,4,0,0,0.0,Matches,277da414
30,Ionuț Radu,ro ROU,GK,Venezia,27,1997,15,15,1350,15.0,18,1.20,63,47,71.4,2,7,6,4,26.7,3,3,0,0,0.0,Matches,67f649be
31,Federico Ravaglia,it ITA,GK,Bologna,24,1999,12,11,1056,11.7,14,1.19,24,10,41.7,5,2,4,4,36.4,1,1,0,0,0.0,Matches,6662d731
32,Pepe Reina,es ESP,GK,Como,41,1982,12,12,1034,11.5,14,1.22,42,28,66.7,3,4,5,2,16.7,1,1,0,0,0.0,Matches,e358587b
33,Razvan Sava,ro ROU,GK,Udinese,22,2002,12,12,1080,12.0,16,1.33,54,38,70.4,5,4,3,4,33.3,3,3,0,0,0.0,Matches,41efbd34
34,Simone Scuffet,it ITA,GK,Cagliari,28,1996,13,13,1170,13.0,23,1.77,56,33,58.9,3,3,7,1,7.7,5,5,0,0,0.0,Matches,41bd99ea
35,Simone Scuffet,it ITA,GK,Napoli,28,1996,1,1,90,1.0,1,1.00,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,Matches,41bd99ea
36,Jacopo Seghetti,it ITA,GK,Empoli,19,2005,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,,Matches,70a10677
37,Alen Sherri,al ALB,GK,Cagliari,26,1997,7,7,621,6.9,11,1.59,31,20,64.5,1,2,4,1,14.3,0,0,0,0,,Matches,eebf35b6
38,Benjamin Siegrist,ch SUI,GK,Genoa,32,1992,2,2,152,1.7,2,1.18,12,10,83.3,1,1,0,0,0.0,0,0,0,0,,Matches,46912ffe
39,Marco Silvestri,it ITA,GK,Empoli,33,1991,5,5,450,5.0,11,2.20,27,16,59.3,0,1,4,0,0.0,0,0,0,0,,Matches,0d422df7
40,Łukasz Skorupski,pl POL,GK,Bologna,33,1991,27,27,2364,26.3,33,1.26,83,51,60.2,11,12,4,8,29.6,2,1,1,0,50.0,Matches,ab4449d6
41,Daniele Sommariva,it ITA,GK,Genoa,27,1997,1,0,28,0.3,1,3.21,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches,a8e7f7e9
42,Yann Sommer,ch SUI,GK,Inter,35,1988,33,33,2970,33.0,32,0.97,116,84,72.4,20,8,5,13,39.4,4,3,1,0,25.0,Matches,420c18a1
43,Marco Sportiello,it ITA,GK,Milan,32,1992,2,1,126,1.4,2,1.43,6,4,66.7,1,0,0,1,100.0,0,0,0,0,,Matches,ac4003af
44,Filip Stankovic,rs SRB,GK,Venezia,22,2002,16,16,1367,15.2,23,1.51,84,61,72.6,2,6,8,0,0.0,5,4,1,0,20.0,Matches,d34d8ed2
45,Zion Suzuki,jp JPN,GK,Parma,21,2002,36,36,3240,36.8,53,1.47,148,95,64.2,7,15,14,7,19.4,5,5,0,0,0.0,Matches,51e1f4f5
46,Mile Svilar,rs SRB,GK,Roma,24,1999,38,38,3420,38.0,35,0.92,153,118,77.1,20,9,9,16,42.1,4,4,0,0,0.0,Matches,bcf5058a
47,Pietro Terracciano,it ITA,GK,Fiorentina,34,1990,3,3,270,3.0,3,1.00,14,10,78.6,0,3,0,1,33.3,0,0,0,0,,Matches,e1b0a70d
48,Stefano Turati,it ITA,GK,Monza,22,2001,30,30,2676,29.7,52,1.75,145,93,64.1,2,7,21,2,6.7,4,2,2,0,50.0,Matches,bf168004
49,Devis Vásquez,co COL,GK,Empoli,26,1998,32,32,2880,32.0,45,1.41,127,82,64.6,6,12,14,6,18.8,2,1,1,0,50.0,Matches,fac1f795


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2024-2025/keepers/2024-2025-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_keeper">View Original Table</a><br>Generated 8/25/2026.
