--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Emil Audero,id IDN,GK,Como,27,1997,8,8,720,8.0,18,2.25,35,17,48.6,2,2,4,0,0.0,4,4,0,0,0.0,Matches,649b01d8
2,Jean Butez,fr FRA,GK,Como,29,1995,19,18,1666,18.5,20,1.08,69,49,71.0,8,4,6,5,27.8,2,2,0,0,0.0,Matches,7f40333d
3,Elia Caprile,it ITA,GK,Napoli,22,2001,4,3,325,3.6,1,0.28,8,7,87.5,3,0,0,3,100.0,0,0,0,0,,Matches,97d7afbd
4,Elia Caprile,it ITA,GK,Cagliari,22,2001,18,18,1620,18.0,22,1.22,68,46,67.6,5,4,9,5,27.8,1,1,0,0,0.0,Matches,97d7afbd
5,Marco Carnesecchi,it ITA,GK,Atalanta,24,2000,34,34,3060,34.0,34,1.00,132,98,74.2,19,7,8,13,38.2,2,2,0,0,0.0,Matches,8ec56e62
6,Leandro Chichizola,ar ARG,GK,Parma,34,1990,1,1,90,1.0,3,3.00,7,4,57.1,0,0,1,0,0.0,0,0,0,0,,Matches,8d957256
7,Giuseppe Ciocci,it ITA,GK,Cagliari,22,2002,1,0,9,0.1,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches,d6416327
8,Michele Di Gregorio,it ITA,GK,Juventus,27,1997,33,33,2970,33.0,32,0.97,99,71,67.7,16,13,4,14,42.4,5,5,0,0,0.0,Matches,4e0c8d66
9,Wladimiro Falcone,it ITA,GK,Lecce,29,1995,38,38,3420,38.0,58,1.53,177,127,67.2,8,10,20,9,23.7,10,8,1,1,11.1,Matches,9f5a610b
10,David de Gea,es ESP,GK,Fiorentina,33,1990,35,35,3150,35.0,38,1.09,134,96,71.6,19,5,11,11,31.4,3,1,2,0,66.7,Matches,7ba6d84e
11,Pierluigi Gollini,it ITA,GK,Genoa,29,1995,7,7,630,7.0,15,2.14,32,17,53.1,1,2,4,1,14.3,4,3,1,0,25.0,Matches,f0f7f62f
12,Jesse Joronen,fi FIN,GK,Venezia,31,1993,8,7,703,7.8,15,1.92,42,27,64.3,1,1,5,2,28.6,3,3,0,0,0.0,Matches,7f66ea09
13,Nicola Leali,it ITA,GK,Genoa,31,1993,29,29,2610,29.0,31,1.07,112,83,72.3,8,10,11,10,34.5,4,3,1,0,25.0,Matches,5f9970a0
14,Mike Maignan,fr FRA,GK,Milan,29,1995,37,37,3294,36.6,41,1.12,139,98,70.5,17,9,11,13,35.1,2,1,1,0,50.0,Matches,fcb38f57
15,Christos Mandas,gr GRE,GK,Lazio,22,2001,9,9,810,9.0,7,0.78,27,20,74.1,3,5,1,4,44.4,0,0,0,0,,Matches,f794e9ab
16,Josep Martinez,es ESP,GK,Inter,26,1998,5,5,450,5.0,3,0.60,15,12,80.0,4,1,0,3,60.0,0,0,0,0,,Matches,11d8aff0
17,Andrea Mazza,it ITA,GK,Monza,20,2004,1,0,8,0.1,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches,f93a544c
18,Alex Meret,it ITA,GK,Napoli,27,1997,34,34,3005,33.4,25,0.75,84,59,70.2,21,9,4,17,50.0,4,1,2,1,66.7,Matches,9413b19f
19,Vanja Milinković-Savić,rs SRB,GK,Torino,27,1997,37,37,3330,37.0,42,1.14,173,131,75.7,10,14,13,10,27.0,7,3,4,0,57.1,Matches,9fa26bc2
20,Lorenzo Montipò,it ITA,GK,Hellas Verona,28,1996,36,36,3240,36.0,64,1.78,164,100,61.0,9,7,20,8,22.2,4,2,1,1,33.3,Matches,c1d95617
21,Juan Musso,ar ARG,GK,Atalanta,30,1994,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,a111cf41
22,Maduka Okoye,ng NGA,GK,Udinese,24,1999,25,25,2250,25.0,40,1.60,113,73,64.6,6,4,15,4,16.0,5,4,0,1,0.0,Matches,ab5c36dd
23,Daniele Padelli,it ITA,GK,Udinese,38,1985,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,cf1c23d8
24,Alberto Paleari,it ITA,GK,Torino,31,1992,1,1,90,1.0,3,3.00,7,4,57.1,0,0,1,0,0.0,0,0,0,0,,Matches,94a3606c
25,Rui Patrício,pt POR,GK,Atalanta,36,1988,3,3,270,3.0,3,1.00,14,11,78.6,2,1,0,1,33.3,0,0,0,0,,Matches,79b0d6a0
26,Simone Perilli,it ITA,GK,Hellas Verona,29,1995,2,2,180,2.0,2,1.00,11,9,81.8,1,0,1,0,0.0,0,0,0,0,,Matches,b9e11c1d
27,Mattia Perin,it ITA,GK,Juventus,31,1992,5,5,450,5.0,3,0.60,16,13,81.3,2,3,0,3,60.0,0,0,0,0,,Matches,4c62d0c8
28,Semuel Pizzignacco,it ITA,GK,Monza,22,2001,9,8,736,8.2,17,2.08,40,23,57.5,1,2,5,1,12.5,0,0,0,0,,Matches,4f537cf7
