--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
1,James Abankwah,ie IRL,DF,Udinese,20,2004,1.0,0,1,0,0.0,1.02,0.00,0.00,,0,0,Matches,4b7a9fcc
2,Saud Abdulhamid,sa KSA,MF,Roma,25,1999,2.3,0,1,0,0.0,0.44,0.00,0.00,,0,0,Matches,caa254e4
3,Oliver Abildgaard,dk DEN,DFMF,Como,28,1996,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,8f5cdf66
4,Tammy Abraham,eng ENG,FW,Roma,26,1997,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,f586779e
5,Tammy Abraham,eng ENG,FW,Milan,26,1997,13.1,3,28,13,46.4,2.13,0.99,0.11,0.23,1,2,Matches,f586779e
6,Federico Accornero,it ITA,MF,Genoa,20,2004,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,83763653
7,Francesco Acerbi,it ITA,DF,Inter,36,1988,19.0,0,5,1,20.0,0.26,0.05,0.00,0.00,0,0,Matches,b96b595c
8,Ché Adams,sct SCO,FW,Torino,28,1996,29.5,9,64,26,40.6,2.17,0.88,0.14,0.35,0,1,Matches,f2bf1b0f
9,Yacine Adli,fr FRA,MF,Fiorentina,24,2000,13.7,4,14,5,35.7,1.02,0.36,0.29,0.80,0,0,Matches,26777636
10,Vasilije Adžić,me MNE,MF,Juventus,18,2006,0.5,0,1,1,100.0,2.14,2.14,0.00,0.00,0,0,Matches,8b0f9fb8
11,Michel Aebischer,ch SUI,MF,Bologna,27,1997,8.0,0,10,5,50.0,1.24,0.62,0.00,0.00,0,0,Matches,f9c927de
12,Honest Ahanor,it ITA,MFDF,Genoa,16,2008,3.0,0,3,1,33.3,1.00,0.33,0.00,0.00,0,0,Matches,42ff58c3
13,Junior Ajayi,ci CIV,FW,Hellas Verona,19,2004,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,cab600a8
14,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,31,1992,10.7,0,4,2,50.0,0.37,0.19,0.00,0.00,0,0,Matches,fdf4b948
15,David Akpan Ankeye,ng NGA,FW,Genoa,22,2002,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,8c4b95af
16,Faride Alidou,de GER,FW,Hellas Verona,23,2001,0.8,0,1,0,0.0,1.27,0.00,0.00,,0,0,Matches,00f518d8
17,Dele Alli,eng ENG,FWMF,Como,28,1996,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,cea4ee8f
18,Pontus Almqvist,se SWE,FWMF,Parma,25,1999,12.4,1,26,10,38.5,2.10,0.81,0.04,0.10,0,0,Matches,0917188a
19,Giorgio Altare,it ITA,DF,Venezia,25,1998,8.4,0,3,1,33.3,0.36,0.12,0.00,0.00,0,0,Matches,aa5322d5
