--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
1,James Abankwah,ie IRL,DF,Udinese,20,2004,1.0,1,0,0,4,3,0,0,1,1,,,0,Matches,4b7a9fcc
2,Saud Abdulhamid,sa KSA,MF,Roma,25,1999,2.3,0,0,0,2,5,0,7,2,2,,,0,Matches,caa254e4
3,Oliver Abildgaard,dk DEN,DFMF,Como,28,1996,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches,8f5cdf66
4,Tammy Abraham,eng ENG,FW,Roma,26,1997,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,f586779e
5,Tammy Abraham,eng ENG,FW,Milan,26,1997,13.1,1,0,0,23,12,6,3,2,11,,,0,Matches,f586779e
6,Federico Accornero,it ITA,MF,Genoa,20,2004,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches,83763653
7,Francesco Acerbi,it ITA,DF,Inter,36,1988,19.0,0,0,0,11,18,2,10,28,17,,,0,Matches,b96b595c
8,Ché Adams,sct SCO,FW,Torino,28,1996,29.5,2,0,0,29,40,23,10,1,6,,,0,Matches,f2bf1b0f
9,Yacine Adli,fr FRA,MF,Fiorentina,24,2000,13.7,3,1,1,9,20,0,62,5,20,,,0,Matches,26777636
10,Vasilije Adžić,me MNE,MF,Juventus,18,2006,0.5,0,0,0,1,1,0,0,0,2,,,0,Matches,8b0f9fb8
11,Michel Aebischer,ch SUI,MF,Bologna,27,1997,8.0,2,0,0,16,16,0,13,7,13,,,0,Matches,f9c927de
12,Honest Ahanor,it ITA,MFDF,Genoa,16,2008,3.0,0,0,0,2,8,0,4,1,4,,,0,Matches,42ff58c3
13,Junior Ajayi,ci CIV,FW,Hellas Verona,19,2004,0.1,0,0,0,1,1,0,0,0,0,,,0,Matches,cab600a8
14,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,31,1992,10.7,4,0,0,24,18,0,6,11,19,,,0,Matches,fdf4b948
15,David Akpan Ankeye,ng NGA,FW,Genoa,22,2002,0.5,0,0,0,3,1,0,0,0,0,,,0,Matches,8c4b95af
16,Faride Alidou,de GER,FW,Hellas Verona,23,2001,0.8,0,0,0,1,0,0,3,1,0,,,0,Matches,00f518d8
17,Dele Alli,eng ENG,FWMF,Como,28,1996,0.1,0,1,0,1,0,0,0,0,0,,,0,Matches,cea4ee8f
18,Pontus Almqvist,se SWE,FWMF,Parma,25,1999,12.4,5,0,0,15,15,2,11,20,14,,,0,Matches,0917188a
19,Giorgio Altare,it ITA,DF,Venezia,25,1998,8.4,2,0,0,10,2,0,7,18,12,,,1,Matches,aa5322d5
20,Sofyan Amrabat,ma MAR,MF,Fiorentina,27,1996,2.0,0,0,0,4,1,0,3,0,2,,,0,Matches,5a2cb25d
21,Angeliño,es ESP,MFDF,Roma,27,1997,35.3,1,0,0,32,33,5,119,28,24,,,0,Matches,30941e96
22,Lorenzo Anghelè,it ITA,FW,Juventus,19,2005,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,b2f3d550
23,Frank Anguissa,cm CMR,MF,Napoli,28,1995,31.7,5,0,0,39,36,2,23,34,26,,,0,Matches,6bb2c084
24,Faustino Anjorin,eng ENG,MF,Empoli,22,2001,12.4,3,0,0,24,19,0,17,13,15,,,0,Matches,b105919e
25,Marko Arnautović,at AUT,FW,Inter,35,1989,6.1,1,0,0,4,6,8,5,1,6,,,0,Matches,00459419
