--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Atalanta,16,26.8,1,90,90,100,1.0,11,79,6,5,24,7,3.00,2,1,+1,+1.00
Bologna,16,27.2,1,90,90,100,1.0,11,78,6,5,25,8,0.00,0,1,-1,-1.00
Cagliari,16,25.2,1,90,90,100,1.0,11,82,6,5,17,10,3.00,1,0,+1,+1.00
Como,16,25.0,1,90,90,100,1.0,11,80,6,5,23,10,1.00,1,1,0,0.00
Fiorentina,16,25.8,1,90,90,100,1.0,11,80,6,5,23,9,0.00,0,4,-4,-4.00
Frosinone,16,24.0,1,90,90,100,1.0,11,78,6,5,25,7,0.00,0,1,-1,-1.00
Genoa,16,25.2,1,90,90,100,1.0,11,82,6,5,17,7,0.00,0,2,-2,-2.00
Inter,16,27.5,1,90,90,100,1.0,11,80,6,5,23,7,3.00,4,1,+3,+3.00
Juventus,16,27.5,1,90,90,100,1.0,11,83,6,5,16,10,3.00,1,0,+1,+1.00
Lazio,16,26.6,1,90,90,100,1.0,11,74,6,5,36,9,3.00,1,0,+1,+1.00
Lecce,16,26.1,1,90,90,100,1.0,11,80,6,5,22,5,3.00,2,0,+2,+2.00
Milan,16,26.6,1,90,90,100,1.0,11,78,6,5,27,9,3.00,2,1,+1,+1.00
Monza,16,23.7,1,90,90,100,1.0,11,83,6,5,15,4,0.00,1,4,-3,-3.00
Napoli,16,29.6,1,90,90,100,1.0,11,81,6,5,19,8,3.00,2,0,+2,+2.00
Parma,16,23.9,1,90,90,100,1.0,11,84,6,5,14,9,0.00,0,1,-1,-1.00
Roma,16,26.4,1,90,90,100,1.0,11,80,6,5,21,6,3.00,4,0,+4,+4.00
Sassuolo,16,24.7,1,90,90,100,1.0,11,84,6,5,13,10,0.00,1,2,-1,-1.00
Torino,16,24.8,1,90,90,100,1.0,11,83,6,5,16,9,0.00,1,2,-1,-1.00
Udinese,16,27.0,1,90,90,100,1.0,11,82,6,5,18,9,1.00,1,1,0,0.00
Venezia,15,26.2,1,90,90,100,1.0,11,85,7,4,15,11,0.00,0,2,-2,-2.00


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_playing_time_for">View Original Table</a><br>Generated 8/26/2026.
