--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Standard,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Atalanta,16,1.0,2,14,7,50.0,14.00,7.00,0.14,0.29,0,0
Bologna,16,1.0,0,14,5,35.7,14.00,5.00,0.00,0.00,0,0
Cagliari,16,1.0,1,14,5,35.7,14.00,5.00,0.07,0.20,0,0
Como,16,1.0,1,20,6,30.0,20.00,6.00,0.05,0.17,0,0
Fiorentina,16,1.0,0,9,4,44.4,9.00,4.00,0.00,0.00,0,0
Frosinone,16,1.0,0,11,2,18.2,11.00,2.00,0.00,0.00,0,0
Genoa,16,1.0,0,11,2,18.2,11.00,2.00,0.00,0.00,0,0
Inter,16,1.0,4,13,5,38.5,13.00,5.00,0.31,0.80,0,0
Juventus,16,1.0,1,20,5,25.0,20.00,5.00,0.05,0.20,0,0
Lazio,16,1.0,1,10,3,30.0,10.00,3.00,0.10,0.33,0,0
Lecce,16,1.0,2,12,5,41.7,12.00,5.00,0.17,0.40,0,0
Milan,16,1.0,2,19,4,21.1,19.00,4.00,0.11,0.50,0,0
Monza,16,1.0,1,7,3,42.9,7.00,3.00,0.14,0.33,0,0
Napoli,16,1.0,2,13,4,30.8,13.00,4.00,0.15,0.50,0,0
Parma,16,1.0,0,13,2,15.4,13.00,2.00,0.00,0.00,0,0
Roma,16,1.0,4,17,8,47.1,17.00,8.00,0.24,0.50,0,0
Sassuolo,16,1.0,1,22,8,36.4,22.00,8.00,0.05,0.13,0,0
Torino,16,1.0,1,8,1,12.5,8.00,1.00,0.13,1.00,0,0
Udinese,16,1.0,1,17,3,17.6,17.00,3.00,0.06,0.33,0,0
Venezia,15,1.0,0,19,7,36.8,19.00,7.00,0.00,0.00,0,0


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_shooting_for">View Original Table</a><br>Generated 8/26/2026.
