--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Performance,,,,,,,,,,,
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Atalanta,16,1.0,0,0,0,9,10,0,10,6,10,,,
Bologna,16,1.0,4,0,0,18,19,2,21,3,8,,,
Cagliari,16,1.0,2,0,0,20,5,0,16,14,8,,,
Como,16,1.0,0,0,0,11,13,0,18,9,8,,,
Fiorentina,16,1.0,2,0,0,11,15,1,11,5,8,,,
Frosinone,16,1.0,2,0,0,15,18,4,10,6,14,,,
Genoa,16,1.0,2,0,0,10,8,1,18,5,12,,,
Inter,16,1.0,2,0,0,5,12,0,14,9,8,,,
Juventus,16,1.0,2,0,0,18,15,1,15,13,5,,,
Lazio,16,1.0,4,0,0,19,17,3,14,7,8,,,
Lecce,16,1.0,3,0,0,12,7,2,12,12,15,,,
Milan,16,1.0,1,0,0,9,10,0,20,6,12,,,
Monza,16,1.0,2,0,0,14,5,8,8,23,5,,,
Napoli,16,1.0,1,0,0,8,10,2,23,9,15,,,
Parma,16,1.0,0,0,0,6,20,1,15,6,15,,,
Roma,16,1.0,2,0,0,15,11,1,15,9,15,,,
Sassuolo,16,1.0,0,0,0,10,9,1,16,6,7,,,
Torino,16,1.0,0,0,0,10,8,2,14,6,11,,,
Udinese,16,1.0,3,0,0,13,11,0,12,10,12,,,
Venezia,15,1.0,1,0,0,8,10,2,28,5,6,,,


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_misc_for">View Original Table</a><br>Generated 8/26/2026.
