--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Nícolas Andrade,br BRA,GK,Udinese,32,1988,2,2,180,2.0,5,2.50,6,1,16.7,1,0,1,0,0.0,0,0,0,0,,Matches,326d09ef
2,Emil Audero,id IDN,GK,Sampdoria,23,1997,37,37,3330,37.0,54,1.46,174,120,69.0,14,7,16,6,16.2,9,7,2,0,22.2,Matches,649b01d8
3,Alessandro Berardi,it ITA,GK,Hellas Verona,29,1991,1,0,28,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches,ec1f737d
4,Gianluigi Buffon,it ITA,GK,Juventus,42,1978,8,8,720,8.0,5,0.62,20,15,75.0,7,1,0,3,37.5,3,2,1,0,33.3,Matches,e40d028b
5,Simone Colombi,it ITA,GK,Parma,29,1991,2,2,180,2.0,7,3.50,10,3,30.0,0,0,2,0,0.0,1,1,0,0,0.0,Matches,72be9309
6,Andrea Consigli,it ITA,GK,Sassuolo,33,1987,37,37,3330,37.0,56,1.51,186,130,69.9,17,10,10,7,18.9,5,4,1,0,20.0,Matches,8cabdc1e
7,Alex Cordaz,it ITA,GK,Crotone,37,1983,36,36,3240,36.0,91,2.53,209,118,56.5,6,3,27,2,5.6,5,5,0,0,0.0,Matches,e66ebabb
8,Angelo da Costa Júnior,br BRA,GK,Bologna,36,1983,6,6,540,6.0,9,1.50,27,18,66.7,0,5,1,1,16.7,1,1,0,0,0.0,Matches,18736214
9,Alessio Cragno,it ITA,GK,Cagliari,26,1994,34,34,3060,34.0,53,1.56,185,132,71.4,6,10,18,6,17.6,5,5,0,0,0.0,Matches,f554e29b
10,Gian Crespi,it ITA,GK,Crotone,19,2001,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches,4dea2f2c
11,Gianluigi Donnarumma,it ITA,GK,Milan,21,1999,37,37,3330,37.0,38,1.03,128,92,70.3,24,6,7,14,37.8,4,2,1,1,33.3,Matches,08f5afaa
12,Bartłomiej Drągowski,pl POL,GK,Fiorentina,22,1997,36,36,3148,35.0,55,1.57,140,85,60.7,9,12,15,8,22.2,10,8,2,0,20.0,Matches,085e71a7
13,Marco Festa,it ITA,GK,Crotone,28,1992,1,1,90,1.0,1,1.00,8,7,87.5,0,1,0,0,0.0,0,0,0,0,,Matches,c195ae4a
14,Daniel Fuzato,br BRA,GK,Roma,23,1997,5,5,450,5.0,7,1.40,26,19,73.1,2,1,2,2,40.0,0,0,0,0,,Matches,82328faf
15,Manuel Gasparini,it ITA,GK,Udinese,18,2002,1,0,3,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches,7033ca08
