--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
43,Ahmad Benali,ly LBY,MF,Crotone,28,1992,13.5,0,10,4,40.0,0.74,0.30,0.00,0.00,0,0,Matches,a128b07e
44,Ismaël Bennacer,dz ALG,MF,Milan,22,1997,14.7,0,12,1,8.3,0.81,0.07,0.00,0.00,0,0,Matches,db092d3b
45,Rodrigo Bentancur,uy URU,MF,Juventus,23,1997,25.8,0,15,5,33.3,0.58,0.19,0.00,0.00,0,0,Matches,3b8674e6
46,Alessandro Berardi,it ITA,GK,Hellas Verona,29,1991,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,ec1f737d
47,Domenico Berardi,it ITA,MF,Sassuolo,25,1994,27.5,17,112,41,36.6,4.07,1.49,0.15,0.41,7,8,Matches,53a0e358
48,Álex Berenguer,es ESP,MF,Torino,25,1995,1.5,0,2,2,100.0,1.37,1.37,0.00,0.00,0,0,Matches,dc1c2fce
49,Bartosz Bereszyński,pl POL,DF,Sampdoria,28,1992,29.0,1,3,1,33.3,0.10,0.03,0.33,1.00,0,0,Matches,61b3978f
50,Federico Bernardeschi,it ITA,MFDF,Juventus,26,1994,10.8,0,13,6,46.2,1.20,0.56,0.00,0.00,0,0,Matches,ee93c1a9
51,Marco Bertini,it ITA,MF,Lazio,17,2002,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,4b520f96
52,Daniel Bessa,it ITA,MF,Hellas Verona,27,1993,6.8,0,8,4,50.0,1.17,0.59,0.00,0.00,0,0,Matches,88895312
53,Cristiano Biraghi,it ITA,MFDF,Fiorentina,27,1992,31.1,1,26,7,26.9,0.83,0.22,0.04,0.14,0,0,Matches,9e1577aa
54,Davide Biraschi,it ITA,DFMF,Genoa,26,1994,10.2,0,2,0,0.0,0.20,0.00,0.00,,0,0,Matches,64cd167d
55,Jeremie Boga,ci CIV,MF,Sassuolo,23,1997,19.8,4,32,15,46.9,1.61,0.76,0.13,0.27,0,0,Matches,fe012aca
56,Giacomo Bonaventura,it ITA,MF,Fiorentina,30,1989,25.1,3,43,12,27.9,1.72,0.48,0.07,0.25,0,0,Matches,d995ed27
57,Federico Bonazzoli,it ITA,FW,Torino,23,1997,6.3,2,21,5,23.8,3.35,0.80,0.10,0.40,0,0,Matches,bf57eaab
58,Federico Bonazzoli,it ITA,FW,Sampdoria,23,1997,1.5,0,4,0,0.0,2.75,0.00,0.00,,0,0,Matches,bf57eaab
59,Kevin Bonifazi,it ITA,DF,Udinese,24,1996,27.4,0,17,1,5.9,0.62,0.04,0.00,0.00,0,0,Matches,fb77bfef
60,Leonardo Bonucci,it ITA,DF,Juventus,33,1987,22.5,2,16,3,18.8,0.71,0.13,0.13,0.67,0,0,Matches,52ec54d0
