--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
1,Basit Abdallah,gh GHA,MF,Benevento,20,1999,0,,,,,0,,0,0,,13,,,,,,,Matches,13a0ff99
2,Gennaro Acampora,it ITA,MFFW,Spezia,26,1994,14,441,32,12.9,4.9,2,90,1,12,22,9,0.86,8,12,-4,-0.82,-0.33,Matches,01040647
3,Francesco Acerbi,it ITA,DF,Lazio,32,1988,32,2813,88,82.3,31.3,32,88,30,0,,0,1.88,51,44,+7,+0.22,+0.37,Matches,b96b595c
4,Enzo Adeagbo,ch SUI,DF,Lazio,18,2002,0,,,,,0,,0,0,,3,,,,,,,Matches,b911a881
5,Bobby Adekanye,nl NED,FWMF,Lazio,21,1999,0,,,,,0,,0,0,,2,,,,,,,Matches,3ed84b2c
6,Andrea Adorante,it ITA,FW,Parma,20,2000,1,10,10,0.3,0.1,0,,0,1,10,5,0.00,0,1,-1,-9.00,-7.87,Matches,7005ac66
7,Giuseppe Agostino,it ITA,GK,Genoa,17,2002,0,,,,,0,,0,0,,1,,,,,,,Matches,98179242
8,Lucien Agoume,fr FRA,MF,Spezia,18,2002,12,800,67,23.4,8.9,9,84,6,3,13,22,1.08,14,14,0,0.00,+0.69,Matches,8bc8829a
9,Kevin Agudelo,co COL,FW,Spezia,21,1998,29,1356,47,39.6,15.1,14,72,4,15,23,8,1.03,26,26,0,0.00,+0.87,Matches,46fa7204
10,Marley Aké,fr FRA,FWMF,Juventus,19,2001,0,,,,,0,,0,0,,3,,,,,,,Matches,414e1f69
11,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,27,1992,32,1056,33,30.9,11.7,6,83,2,26,22,4,2.00,18,14,+4,+0.34,+0.26,Matches,fdf4b948
12,Fabrizio Alastra,it ITA,GK,Parma,22,1997,0,,,,,0,,0,0,,2,,,,,,,Matches,cfed4243
