--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
46,Alessandro Berardi,it ITA,GK,Hellas Verona,29,1991,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches,ec1f737d
47,Domenico Berardi,it ITA,MF,Sassuolo,25,1994,27.5,4,0,0,43,59,3,116,29,24,,,0,Matches,53a0e358
48,Álex Berenguer,es ESP,MF,Torino,25,1995,1.5,0,0,0,2,3,1,6,0,0,,,0,Matches,dc1c2fce
49,Bartosz Bereszyński,pl POL,DF,Sampdoria,28,1992,29.0,2,0,0,28,28,0,48,47,46,,,0,Matches,61b3978f
50,Federico Bernardeschi,it ITA,MFDF,Juventus,26,1994,10.8,3,0,0,13,18,2,85,13,6,,,0,Matches,ee93c1a9
51,Marco Bertini,it ITA,MF,Lazio,17,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,4b520f96
52,Daniel Bessa,it ITA,MF,Hellas Verona,27,1993,6.8,1,0,0,16,6,3,16,2,9,,,0,Matches,88895312
53,Cristiano Biraghi,it ITA,MFDF,Fiorentina,27,1992,31.1,8,0,0,27,24,4,284,29,25,,,0,Matches,9e1577aa
54,Davide Biraschi,it ITA,DFMF,Genoa,26,1994,10.2,2,0,0,16,8,0,13,20,10,,,0,Matches,64cd167d
55,Jeremie Boga,ci CIV,MF,Sassuolo,23,1997,19.8,0,0,0,10,35,9,12,9,10,,,0,Matches,fe012aca
56,Giacomo Bonaventura,it ITA,MF,Fiorentina,30,1989,25.1,5,0,0,40,41,7,39,42,19,,,0,Matches,d995ed27
57,Federico Bonazzoli,it ITA,FW,Torino,23,1997,6.3,2,0,0,11,19,4,1,3,3,,,0,Matches,bf57eaab
58,Federico Bonazzoli,it ITA,FW,Sampdoria,23,1997,1.5,0,0,0,3,2,0,1,0,1,,,0,Matches,bf57eaab
59,Kevin Bonifazi,it ITA,DF,Udinese,24,1996,27.4,4,0,0,26,14,0,4,50,21,,,0,Matches,fb77bfef
60,Leonardo Bonucci,it ITA,DF,Juventus,33,1987,22.5,4,0,0,21,16,3,4,32,14,,,0,Matches,52ec54d0
61,Mehdi Bourabia,ma MAR,MF,Sassuolo,28,1991,5.9,2,0,0,16,6,0,4,15,5,,,0,Matches,0d077b88
62,Edoardo Bove,it ITA,MF,Roma,18,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,ae94a6c5
63,Jayden Braaf,nl NED,FW,Udinese,17,2002,1.3,0,0,0,2,1,0,1,0,0,,,0,Matches,c609e90e
64,Gleison Bremer,br BRA,DF,Torino,23,1997,32.6,2,0,0,30,16,0,2,72,35,,,0,Matches,5fd5ed86
65,Marcelo Brozović,hr CRO,MF,Inter,27,1992,28.7,9,1,1,34,13,0,86,44,30,,,0,Matches,33b8d077
66,Gastón Brugman,uy URU,MF,Parma,27,1992,18.0,7,0,0,27,22,1,56,45,21,,,0,Matches,e947ee4a
67,Juan Brunetta,ar ARG,FWMF,Parma,23,1997,5.3,3,0,0,11,16,1,24,1,2,,,0,Matches,d60099bc
68,Gianluigi Buffon,it ITA,GK,Juventus,42,1978,8.0,0,0,0,0,1,0,0,0,0,,,0,Matches,e40d028b
69,Alessandro Buongiorno,it ITA,DF,Torino,21,1999,9.5,4,0,0,17,11,1,1,10,5,,,0,Matches,4ae67f27
70,Maxime Busi,be BEL,DFMF,Parma,20,1999,13.3,3,0,0,23,9,1,31,15,13,,,0,Matches,7b082ec2
71,Martín Cáceres,uy URU,DFMF,Fiorentina,33,1987,24.9,4,0,0,19,18,0,46,16,12,,,0,Matches,e94d79e3
