--- When using SR data, please cite us and provide a link and/or a mention.


 
,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Atalanta,3,38,38,3420,38.0,47,1.24,151,104,68.9,11,12,15,11,28.9,,,,,
Bologna,2,38,38,3420,38.0,45,1.18,153,108,70.6,11,9,18,13,34.2,,,,,
Carpi,4,38,38,3420,38.0,57,1.50,165,108,65.5,9,11,18,8,21.1,,,,,
Chievo,2,38,38,3420,38.0,45,1.18,175,130,74.3,13,11,14,12,31.6,,,,,
Empoli,3,38,38,3420,38.0,49,1.29,164,115,70.1,12,10,16,12,31.6,,,,,
Fiorentina,2,38,38,3420,38.0,42,1.11,111,69,62.2,18,10,10,14,36.8,,,,,
Frosinone,3,38,38,3420,38.0,76,2.00,223,147,65.9,8,7,23,7,18.4,,,,,
Genoa,2,38,38,3420,38.0,48,1.26,170,122,71.8,13,7,18,12,31.6,,,,,
Hellas Verona,3,38,38,3420,38.0,63,1.66,161,98,60.9,5,13,20,3,7.9,,,,,
Inter,3,38,38,3420,38.0,38,1.00,153,115,75.2,20,7,11,15,39.5,,,,,
Juventus,2,38,38,3420,38.0,20,0.53,94,74,78.7,29,4,5,22,57.9,,,,,
Lazio,2,38,38,3420,38.0,52,1.37,155,103,66.5,15,9,14,12,31.6,,,,,
Milan,3,38,38,3420,38.0,43,1.13,142,99,69.7,15,12,11,11,28.9,,,,,
Napoli,2,38,38,3420,38.0,34,0.89,94,60,63.8,25,7,6,15,39.5,,,,,
Palermo,4,38,38,3420,38.0,65,1.71,199,134,67.3,10,9,19,10,26.3,,,,,
Roma,2,38,38,3420,38.0,41,1.08,147,106,72.1,23,11,4,8,21.1,,,,,
Sampdoria,2,38,38,3420,38.0,61,1.61,206,145,70.4,10,10,18,7,18.4,,,,,
Sassuolo,2,38,38,3420,38.0,40,1.05,140,100,71.4,16,13,9,11,28.9,,,,,
Torino,2,38,38,3420,38.0,55,1.45,148,93,62.8,12,9,17,6,15.8,,,,,
Udinese,1,38,38,3420,38.0,60,1.58,169,109,64.5,10,9,19,8,21.1,,,,,


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2015-2016/2015-2016-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_keeper_for">View Original Table</a><br>Generated 8/26/2026.
