--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Performance,,,,,,,,,,,
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Atalanta,33,38.0,114,0,,643,,,,,,,,
Bologna,31,38.0,98,0,,531,,,,,,,,
Carpi,35,38.0,115,0,,631,,,,,,,,
Chievo,26,38.0,108,0,,638,,,,,,,,
Empoli,29,38.0,101,0,,509,,,,,,,,
Fiorentina,26,38.0,102,0,,535,,,,,,,,
Frosinone,28,38.0,116,0,,640,,,,,,,,
Genoa,30,38.0,91,0,,645,,,,,,,,
Hellas Verona,32,38.0,97,0,,625,,,,,,,,
Inter,28,38.0,104,0,,514,,,,,,,,
Juventus,28,38.0,97,0,,570,,,,,,,,
Lazio,27,38.0,107,0,,592,,,,,,,,
Milan,30,38.0,96,0,,554,,,,,,,,
Napoli,22,38.0,72,0,,464,,,,,,,,
Palermo,31,38.0,103,0,,644,,,,,,,,
Roma,32,38.0,87,0,,533,,,,,,,,
Sampdoria,35,38.0,111,0,,578,,,,,,,,
Sassuolo,26,38.0,98,0,,585,,,,,,,,
Torino,27,38.0,99,0,,652,,,,,,,,
Udinese,28,38.0,105,0,,579,,,,,,,,


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2015-2016/2015-2016-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_misc_for">View Original Table</a><br>Generated 8/26/2026.
