--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Atalanta,33,27.8,38,3420,90,100,38.0,418,,,114,0,329,1.18,41,47,-6,-0.16
Bologna,31,27.0,38,3420,90,100,38.0,418,,,114,0,335,1.11,33,45,-12,-0.32
Carpi,35,25.9,38,3420,90,100,38.0,418,,,113,0,277,1.00,37,57,-20,-0.53
Chievo,26,30.5,38,3420,90,100,38.0,418,,,114,0,280,1.32,43,45,-2,-0.05
Empoli,29,25.4,38,3420,90,100,38.0,418,,,112,0,324,1.21,40,49,-9,-0.24
Fiorentina,26,27.6,38,3420,90,100,38.0,418,,,111,0,262,1.68,60,42,+18,+0.47
Frosinone,28,26.5,38,3420,90,100,38.0,418,,,113,0,301,0.82,35,76,-41,-1.08
Genoa,30,26.7,38,3420,90,100,38.0,418,,,113,0,265,1.21,45,48,-3,-0.08
Hellas Verona,32,27.5,38,3420,90,100,38.0,418,,,113,0,282,0.74,34,63,-29,-0.76
Inter,28,26.7,38,3420,90,100,38.0,418,,,112,0,324,1.76,50,38,+12,+0.32
Juventus,28,28.3,38,3420,90,100,38.0,418,,,111,0,282,2.39,75,20,+55,+1.45
Lazio,27,27.6,38,3420,90,100,38.0,418,,,112,0,304,1.42,52,52,0,0.00
Milan,30,26.4,38,3420,90,100,38.0,418,,,104,0,345,1.50,49,43,+6,+0.16
Napoli,22,26.5,38,3420,90,100,38.0,418,,,112,0,340,2.16,80,32,+48,+1.26
Palermo,31,26.8,38,3420,90,100,38.0,418,,,108,0,341,1.03,38,65,-27,-0.71
Roma,32,26.2,38,3420,90,100,38.0,418,,,111,0,333,2.11,83,41,+42,+1.11
Sampdoria,35,27.5,38,3420,90,100,38.0,418,,,113,0,315,1.05,48,61,-13,-0.34
Sassuolo,26,27.0,38,3420,90,100,38.0,418,,,114,0,312,1.61,49,40,+9,+0.24
Torino,27,27.6,38,3420,90,100,38.0,418,,,109,0,277,1.18,52,55,-3,-0.08
Udinese,28,27.6,38,3420,90,100,38.0,418,,,113,0,341,1.03,35,60,-25,-0.66


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2015-2016/2015-2016-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_playing_time_for">View Original Table</a><br>Generated 8/26/2026.
