giocatore_id,categoria,posizione
6682,Outsider,422
4867,Outsider,423
7580,Quarta fascia,424
4664,Scommesse,425
7012,Scommesse,426
6021,Scommesse,427
7564,Titolari scarsi,428
5757,Titolari scarsi,429
7326,Titolari scarsi,430
7154,Titolari scarsi,431
7476,Titolari scarsi,432
7573,Titolari scarsi,433
7069,Outsider,434
6925,Outsider,435
5812,Outsider,436
5507,Quarta fascia,437
7248,Quarta fascia,438
4479,Scommesse,439
5735,Scommesse,440
7575,Scommesse,441
7146,Outsider,442
7473,Outsider,443
6592,Outsider,444
7574,Outsider,445
7571,Outsider,446
2012,Scommesse,447
7600,Outsider,448
7453,Outsider,449
