--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
1,Zakaria Aboukhlal,ma MAR,MF,Torino,25,2000,5.7,0,7,2,28.6,1.23,0.35,0.00,0.00,0,0,Matches,c2a6033c
2,Francesco Acerbi,it ITA,DF,Inter,37,1988,15.3,0,3,1,33.3,0.20,0.07,0.00,0.00,0,0,Matches,b96b595c
3,Ché Adams,sct SCO,FW,Torino,29,1996,21.0,6,53,18,34.0,2.52,0.86,0.11,0.33,0,0,Matches,f2bf1b0f
4,Jayden Addai,nl NED,MF,Como,19,2005,7.6,3,13,6,46.2,1.71,0.79,0.23,0.50,0,0,Matches,662ffe3d
5,Vasilije Adžić,me MNE,MF,Juventus,19,2006,1.9,1,6,4,66.7,3.16,2.11,0.17,0.25,0,0,Matches,8b0f9fb8
6,Michel Aebischer,ch SUI,MF,Pisa,28,1997,32.1,1,19,5,26.3,0.59,0.16,0.05,0.20,0,0,Matches,f9c927de
7,Honest Ahanor,it ITA,DF,Atalanta,17,2008,15.3,0,13,4,30.8,0.85,0.26,0.00,0.00,0,0,Matches,42ff58c3
8,Junior Ajayi,ci CIV,FW,Hellas Verona,20,2004,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,cab600a8
9,Manuel Akanji,ch SUI,DF,Inter,30,1995,31.3,2,23,6,26.1,0.73,0.19,0.09,0.33,0,0,Matches,89ac64a6
10,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,20,2004,16.0,0,13,3,23.1,0.81,0.19,0.00,0.00,0,0,Matches,3ad34015
11,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,32,1992,16.7,1,13,4,30.8,0.78,0.24,0.08,0.25,0,0,Matches,fdf4b948
12,Al-Musrati,ly LBY,MF,Hellas Verona,29,1996,9.4,0,9,1,11.1,0.96,0.11,0.00,0.00,0,0,Matches,cd6a1a59
13,Agustín Albarracín,uy URU,FW,Cagliari,19,2005,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,54d8e26a
14,Raúl Albiol,es ESP,DF,Pisa,39,1985,5.6,0,1,0,0.0,0.18,0.00,0.00,,0,0,Matches,4bd414c1
15,Pontus Almqvist,se SWE,MF,Parma,26,1999,5.1,0,5,2,40.0,0.98,0.39,0.00,0.00,0,0,Matches,0917188a
16,Giuseppe Ambrosino,it ITA,FW,Napoli,21,2003,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,282947c7
17,Amorim,br BRA,MF,Genoa,20,2005,6.1,0,2,0,0.0,0.33,0.00,0.00,,0,0,Matches,87c4d798
18,Nícolas Andrade,br BRA,GK,Pisa,37,1988,6.0,0,0,0,,0.00,0.00,,,0,0,Matches,326d09ef
19,Angeliño,es ESP,MF,Roma,28,1997,4.6,0,5,2,40.0,1.08,0.43,0.00,0.00,0,0,Matches,30941e96
20,Samuele Angori,it ITA,MF,Pisa,21,2003,28.9,0,14,3,21.4,0.48,0.10,0.00,0.00,0,0,Matches,9ee1d39e
21,Frank Anguissa,cm CMR,MF,Napoli,29,1995,14.0,4,23,9,39.1,1.65,0.64,0.17,0.44,0,0,Matches,6bb2c084
22,Faustino Anjorin,eng ENG,MF,Torino,23,2001,3.2,0,4,1,25.0,1.25,0.31,0.00,0.00,0,0,Matches,b105919e
23,Antonio Arena,it ITA,FW,Roma,16,2009,0.3,0,2,0,0.0,7.83,0.00,0.00,,0,0,Matches,b4e9e1e3
24,Juan Arizala,co COL,MF,Udinese,19,2005,2.1,0,1,1,100.0,0.47,0.47,0.00,0.00,0,0,Matches,82f2e5c8
25,Kristjan Asllani,al ALB,MF,Torino,23,2002,12.5,0,20,4,20.0,1.59,0.32,0.00,0.00,0,1,Matches,0fdcef0e
26,Zachary Athekame,ch SUI,MFDF,Milan,20,2004,9.3,2,13,4,30.8,1.40,0.43,0.15,0.50,0,0,Matches,c1356739
27,Arthur Atta,fr FRA,MF,Udinese,22,2003,28.4,5,57,20,35.1,2.01,0.70,0.09,0.25,0,0,Matches,d3ddf88b
28,Emil Audero,id IDN,GK,Cremonese,28,1997,34.0,0,0,0,,0.00,0.00,,,0,0,Matches,649b01d8
29,Carlos Augusto,br BRA,MFDF,Inter,26,1999,19.6,1,20,6,30.0,1.02,0.31,0.05,0.17,0,0,Matches,8d3cd59d
30,Yann Aurel Bisseck,de GER,DF,Inter,24,2000,21.4,3,25,12,48.0,1.17,0.56,0.12,0.25,0,0,Matches,3963c25b
31,Neil El Aynaoui,ma MAR,MF,Roma,24,2001,11.1,1,6,4,66.7,0.54,0.36,0.17,0.25,0,0,Matches,17e1261b
32,Leon Bailey,jm JAM,FW,Roma,27,1997,2.1,0,3,1,33.3,1.45,0.48,0.00,0.00,0,0,Matches,3a233281
33,Mitchel Bakker,nl NED,DFMF,Atalanta,25,2000,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,a8567629
34,Darryl Bakola,fr FRA,MF,Sassuolo,17,2007,1.4,0,3,1,33.3,2.11,0.70,0.00,0.00,0,0,Matches,57de24a3
35,Luís Balbo,ve VEN,DF,Fiorentina,19,2006,2.4,0,0,0,,0.00,0.00,,,0,0,Matches,cdcdb350
36,Tommaso Baldanzi,it ITA,MF,Genoa,22,2003,4.4,0,9,3,33.3,2.03,0.68,0.00,0.00,0,0,Matches,102e2599
37,Tommaso Baldanzi,it ITA,FWMF,Roma,22,2003,4.3,1,11,4,36.4,2.56,0.93,0.09,0.25,0,0,Matches,102e2599
38,Lameck Banda,zm ZAM,MFFW,Lecce,24,2001,19.5,5,38,15,39.5,1.95,0.77,0.13,0.33,0,0,Matches,8a6de8c7
39,Tommaso Barbieri,it ITA,MF,Cremonese,22,2002,19.0,0,16,2,12.5,0.84,0.11,0.00,0.00,0,0,Matches,6f1d7aa8
40,Nicolò Barella,it ITA,MF,Inter,28,1997,28.0,3,35,5,14.3,1.25,0.18,0.09,0.60,0,0,Matches,6928979a
41,Davide Bartesaghi,it ITA,MFDF,Milan,19,2005,27.1,2,22,7,31.8,0.81,0.26,0.09,0.29,0,0,Matches,7e0b6c50
42,Federico Baschirotto,it ITA,DF,Cremonese,28,1996,28.2,2,12,5,41.7,0.43,0.18,0.17,0.40,0,0,Matches,5a08ee41
43,Toma Bašić,hr CRO,MF,Lazio,28,1996,19.3,2,30,12,40.0,1.56,0.62,0.07,0.17,0,0,Matches,80556f08
44,Alessandro Bastoni,it ITA,DF,Inter,26,1999,24.9,1,17,8,47.1,0.68,0.32,0.06,0.13,0,0,Matches,75b86fb3
45,Martin Baturina,hr CRO,MFFW,Como,22,2003,17.4,6,28,9,32.1,1.61,0.52,0.21,0.67,0,0,Matches,d1eda5f0
46,Vakoun Bayo,ci CIV,FW,Udinese,28,1997,5.0,0,14,2,14.3,2.78,0.40,0.00,0.00,0,0,Matches,132f161f
47,Tjaš Begić,si SVN,MF,Parma,22,2003,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,7429c2bf
48,Reda Belahyane,ma MAR,MF,Lazio,21,2004,6.8,0,3,1,33.3,0.44,0.15,0.00,0.00,0,0,Matches,705a1642
49,Rafik Belghali,dz ALG,MF,Hellas Verona,23,2002,21.3,2,21,6,28.6,0.98,0.28,0.10,0.33,0,0,Matches,0abcb968
50,Armel Bella Kotchap,de GER,DF,Hellas Verona,23,2001,15.0,0,3,0,0.0,0.20,0.00,0.00,,0,0,Matches,a39d11bc
51,Raoul Bellanova,it ITA,MF,Atalanta,25,2000,15.3,0,13,5,38.5,0.85,0.33,0.00,0.00,0,0,Matches,e3756e72
52,Andrea Belotti,it ITA,FW,Cagliari,31,1993,2.5,2,6,4,66.7,2.44,1.63,0.33,0.50,1,1,Matches,d705ba44
53,Adrian Benedyczak,pl POL,FW,Parma,24,2000,5.4,1,8,3,37.5,1.47,0.55,0.13,0.33,1,1,Matches,3f448184
54,Domenico Berardi,it ITA,FW,Sassuolo,30,1994,21.8,8,40,21,52.5,1.84,0.97,0.20,0.38,2,3,Matches,53a0e358
55,Medon Berisha,al ALB,MF,Lecce,21,2003,9.7,2,24,5,20.8,2.48,0.52,0.08,0.40,0,0,Matches,9d376bef
56,Adrian Bernabe,es ESP,MF,Parma,24,2001,27.4,3,50,12,24.0,1.82,0.44,0.06,0.25,0,0,Matches,548672b4
57,Federico Bernardeschi,it ITA,MFFW,Bologna,31,1994,13.5,4,39,13,33.3,2.88,0.96,0.10,0.31,1,1,Matches,ee93c1a9
58,Lorenzo Bernasconi,it ITA,MF,Atalanta,21,2003,17.5,0,9,1,11.1,0.52,0.06,0.00,0.00,0,0,Matches,c1041eb7
59,Antoine Bernede,fr FRA,MF,Hellas Verona,26,1999,25.6,1,21,4,19.0,0.82,0.16,0.05,0.25,0,0,Matches,07a821e4
60,Nicolò Bertola,it ITA,DFMF,Udinese,22,2003,19.6,0,13,4,30.8,0.66,0.20,0.00,0.00,0,0,Matches,04b40c58
61,Brando Bettazzi,it ITA,MF,Pisa,17,2007,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,86365b0f
62,Sam Beukema,nl NED,DF,Napoli,26,1998,18.7,2,8,4,50.0,0.43,0.21,0.25,0.50,0,0,Matches,de13cee5
