--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
63,Matteo Bianchetti,it ITA,DF,Cremonese,32,1993,24.4,0,7,1,14.3,0.29,0.04,0.00,0.00,0,0,Matches,b3a20f18
64,Justin Bijlow,nl NED,GK,Genoa,27,1998,15.5,0,0,0,,0.00,0.00,,,0,0,Matches,53d93280
65,Cristiano Biraghi,it ITA,MFDF,Torino,32,1992,5.7,0,2,0,0.0,0.35,0.00,0.00,,0,0,Matches,9e1577aa
66,Jeremie Boga,ci CIV,MFFW,Juventus,28,1997,7.5,4,24,12,50.0,3.18,1.59,0.17,0.33,0,0,Matches,fe012aca
67,Daniel Boloca,ro ROU,MF,Sassuolo,26,1998,1.5,0,2,0,0.0,1.33,0.00,0.00,,0,0,Matches,85f7ed25
68,Federico Bonazzoli,it ITA,FW,Cremonese,28,1997,27.9,10,75,32,42.7,2.69,1.15,0.13,0.31,3,3,Matches,bf57eaab
69,Warren Bondo,fr FRA,MF,Cremonese,21,2003,19.6,0,8,2,25.0,0.41,0.10,0.00,0.00,0,0,Matches,0def2376
70,Giovanni Bonfanti,it ITA,DFMF,Pisa,22,2003,5.5,0,6,1,16.7,1.09,0.18,0.00,0.00,0,0,Matches,938d8a55
71,Ange-Yoan Bonny,ci CIV,FW,Inter,21,2003,12.7,5,22,9,40.9,1.73,0.71,0.23,0.56,0,0,Matches,64629ba4
72,Gennaro Borrelli,it ITA,FW,Cagliari,25,2000,14.2,5,30,12,40.0,2.12,0.85,0.17,0.42,0,0,Matches,04c4edc1
73,Kieron Bowie,sct SCO,FW,Hellas Verona,22,2002,13.3,4,33,11,33.3,2.48,0.82,0.12,0.36,0,0,Matches,6dd87204
74,Rosen Bozhinov,bg BUL,DF,Pisa,20,2005,6.8,0,3,1,33.3,0.44,0.15,0.00,0.00,0,0,Matches,8c053d3c
75,Domagoj Bradarić,hr CRO,MF,Hellas Verona,25,1999,21.8,0,13,6,46.2,0.60,0.27,0.00,0.00,0,0,Matches,8bbe2df5
76,Riccardo Braschi,it ITA,FW,Fiorentina,18,2006,1.2,0,3,0,0.0,2.57,0.00,0.00,,0,0,Matches,74269b2c
77,Iker Bravo,es ESP,FW,Udinese,20,2005,2.3,1,4,1,25.0,1.75,0.44,0.25,1.00,0,0,Matches,db8c8860
78,Gleison Bremer,br BRA,DF,Juventus,28,1997,24.1,4,23,9,39.1,0.95,0.37,0.17,0.44,0,0,Matches,5fd5ed86
79,Marco Brescianini,it ITA,MF,Atalanta,25,2000,2.0,1,3,2,66.7,1.48,0.99,0.33,0.50,0,0,Matches,dfd56738
80,Marco Brescianini,it ITA,MF,Fiorentina,25,2000,9.6,1,10,2,20.0,1.04,0.21,0.10,0.50,0,0,Matches,dfd56738
81,Sascha Britschgi,ch SUI,MFDF,Parma,18,2006,23.3,0,13,3,23.1,0.56,0.13,0.00,0.00,0,0,Matches,a80fd995
82,Louis Buffon,cz CZE,FW,Pisa,17,2007,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,7f4fe346
83,Adam Buksa,pl POL,FW,Udinese,29,1996,10.2,3,12,6,50.0,1.17,0.59,0.25,0.50,0,0,Matches,3b676989
84,Alessandro Buongiorno,it ITA,DF,Napoli,26,1999,28.0,0,8,3,37.5,0.29,0.11,0.00,0.00,0,0,Matches,4ae67f27
85,Jean Butez,fr FRA,GK,Como,30,1995,38.0,0,0,0,,0.00,0.00,,,0,0,Matches,7f40333d
86,Arturo Calabresi,it ITA,DF,Pisa,29,1996,16.8,0,4,1,25.0,0.24,0.06,0.00,0.00,0,0,Matches,34bb6fbd
87,Hakan Çalhanoğlu,tr TUR,MF,Inter,31,1994,18.2,9,50,17,34.0,2.75,0.93,0.18,0.53,4,5,Matches,cd0fa27b
88,Abdoulaye Camara,fr FRA,MF,Udinese,16,2008,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,b1617bd1
89,Francesco Camarda,it ITA,FW,Lecce,17,2008,7.6,1,16,3,18.8,2.10,0.39,0.06,0.33,0,1,Matches,1956a64b
90,Nicolò Cambiaghi,it ITA,MFFW,Bologna,24,2000,16.9,3,24,6,25.0,1.42,0.36,0.13,0.50,0,0,Matches,91ff775f
91,Andrea Cambiaso,it ITA,MFDF,Juventus,25,2000,30.8,3,26,13,50.0,0.85,0.42,0.12,0.23,0,0,Matches,247ed022
92,Matteo Cancellieri,it ITA,FW,Lazio,23,2002,19.2,4,41,17,41.5,2.14,0.89,0.10,0.24,0,0,Matches,b6a1cdf9
93,Fali Candé,gw GNB,DF,Sassuolo,27,1998,5.7,0,3,0,0.0,0.53,0.00,0.00,,0,0,Matches,3cc4bb19
94,Simone Canestrelli,it ITA,DF,Pisa,24,2000,35.6,1,16,3,18.8,0.45,0.08,0.06,0.33,0,0,Matches,d8c54a50
95,Elia Caprile,it ITA,GK,Cagliari,23,2001,38.0,0,0,0,,0.00,0.00,,,0,0,Matches,97d7afbd
96,Maxence Caqueret,fr FRA,MF,Como,25,2000,16.5,2,18,4,22.2,1.09,0.24,0.11,0.50,0,0,Matches,f81ef10d
97,Antonio Caracciolo,it ITA,DF,Pisa,35,1990,34.1,2,25,6,24.0,0.73,0.18,0.08,0.33,0,0,Matches,99d8fc35
98,Filippo Carbone,it ITA,MF,Genoa,18,2006,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,252ac080
99,Franco Carboni,it ITA,MF,Parma,22,2003,1.3,0,0,0,,0.00,0.00,,,0,0,Matches,b033f803
100,Valentin Carboni,ar ARG,MF,Genoa,20,2005,4.0,0,6,2,33.3,1.50,0.50,0.00,0.00,0,0,Matches,707b98f1
101,Alessandro Cardinali,it ITA,FW,Parma,19,2006,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,639f3541
102,Diego Carlos,br BRA,DF,Como,32,1993,21.7,1,8,2,25.0,0.37,0.09,0.13,0.50,0,0,Matches,b4a014b1
103,Marco Carnesecchi,it ITA,GK,Atalanta,25,2000,37.0,0,0,0,,0.00,0.00,,,0,0,Matches,8ec56e62
104,Cesare Casadei,it ITA,MF,Torino,22,2003,22.2,6,35,17,48.6,1.58,0.77,0.17,0.35,0,0,Matches,fb920f3a
105,Nicolò Casale,it ITA,DF,Bologna,27,1998,7.5,0,5,0,0.0,0.66,0.00,0.00,,0,0,Matches,3f5f38fb
106,Valentín Castellanos,ar ARG,FW,Lazio,26,1998,7.7,2,20,8,40.0,2.60,1.04,0.10,0.25,0,0,Matches,da76bab4
107,Santiago Castro,ar ARG,FW,Bologna,20,2004,26.2,7,63,20,31.7,2.40,0.76,0.11,0.35,0,0,Matches,ee5565ae
108,Danilo Cataldi,it ITA,MF,Lazio,30,1994,22.1,3,26,7,26.9,1.18,0.32,0.12,0.43,2,2,Matches,ba3d3bea
109,Nicolò Cavuoti,it ITA,MF,Cagliari,22,2003,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,747701ab
110,Federico Ceccherini,it ITA,DF,Cremonese,33,1992,5.3,0,5,2,40.0,0.95,0.38,0.00,0.00,0,0,Matches,d9624b51
111,Zeki Çelik,tr TUR,MFDF,Roma,28,1997,30.3,1,22,4,18.2,0.73,0.13,0.05,0.25,0,0,Matches,31a62dc7
112,Fallou Cham,gm GAM,MF,Hellas Verona,19,2006,2.5,0,5,2,40.0,1.97,0.79,0.00,0.00,0,0,Matches,aa83c24f
113,Walid Cheddira,ma MAR,FW,Sassuolo,27,1998,2.5,1,8,2,25.0,3.26,0.81,0.13,0.50,0,0,Matches,0545a08e
114,Walid Cheddira,ma MAR,FW,Lecce,27,1998,11.1,3,25,10,40.0,2.25,0.90,0.12,0.30,0,0,Matches,0545a08e
115,Oliver Christensen,dk DEN,GK,Fiorentina,26,1999,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,af104654
116,Samuel Chukwueze,ng NGA,FWMF,Milan,26,1999,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,b8a642fc
117,Alessandro Circati,au AUS,DF,Parma,21,2003,29.6,1,8,1,12.5,0.27,0.03,0.13,1.00,0,0,Matches,1223765c
118,Matteo Cocchi,it ITA,DF,Inter,18,2007,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,2081c175
119,Saúl Coco,gq EQG,DF,Torino,26,1999,34.3,1,15,4,26.7,0.44,0.12,0.07,0.25,0,0,Matches,d0ee1652
120,Michele Collocolo,it ITA,MF,Cremonese,25,1999,4.0,0,2,1,50.0,0.50,0.25,0.00,0.00,0,0,Matches,b7946402
121,Lorenzo Colombo,it ITA,FW,Genoa,23,2002,25.8,7,66,27,40.9,2.55,1.04,0.11,0.26,1,2,Matches,04df29a5
122,Pietro Comuzzo,it ITA,DF,Fiorentina,20,2005,18.8,1,10,2,20.0,0.53,0.11,0.10,0.50,0,0,Matches,5e3ecc35
123,Francisco Conceição,pt POR,MFFW,Juventus,22,2002,23.1,3,73,23,31.5,3.16,1.00,0.04,0.13,0,0,Matches,5ef3d210
124,Nikita Contini,it ITA,GK,Napoli,29,1996,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,e95069bb
125,Francesco Coppola,it ITA,DF,Pisa,20,2005,5.1,0,2,0,0.0,0.39,0.00,0.00,,0,0,Matches,387335e7
126,Maxwel Cornet,ci CIV,MF,Genoa,28,1996,1.3,0,4,2,50.0,3.05,1.53,0.00,0.00,0,1,Matches,beb391dd
127,Edoardo Corvi,it ITA,GK,Parma,24,2001,17.0,0,0,0,,0.00,0.00,,,0,0,Matches,a89398db
128,Lassana Coulibaly,ml MLI,MF,Lecce,29,1996,29.9,3,28,8,28.6,0.94,0.27,0.11,0.38,0,0,Matches,85a44ecc
129,Woyo Coulibaly,ml MLI,DF,Sassuolo,26,1999,11.7,0,6,1,16.7,0.51,0.09,0.00,0.00,0,0,Matches,beb6e3a6
130,Ben Cremaschi,us USA,MF,Parma,20,2005,1.5,0,1,0,0.0,0.68,0.00,0.00,,0,0,Matches,03a446a2
131,Bryan Cristante,it ITA,MF,Roma,30,1995,34.4,2,44,8,18.2,1.28,0.23,0.05,0.25,0,0,Matches,16657b95
132,Juan Cuadrado,co COL,MF,Pisa,37,1988,5.6,1,10,2,20.0,1.78,0.36,0.10,0.50,1,1,Matches,0ab1f153
133,Patrick Cutrone,it ITA,FW,Parma,27,1998,9.9,1,25,7,28.0,2.53,0.71,0.04,0.14,0,0,Matches,a4fe8cda
134,Lucas Da Cunha,fr FRA,MF,Como,24,2001,30.4,6,42,16,38.1,1.38,0.53,0.14,0.38,4,4,Matches,007faf7a
135,Thijs Dallinga,nl NED,FW,Bologna,24,2000,9.0,2,24,5,20.8,2.66,0.55,0.08,0.40,0,0,Matches,b70afb45
136,Matteo Darmian,it ITA,MFDF,Inter,35,1989,2.8,0,0,0,,0.00,0.00,,,0,0,Matches,96e0490d
137,Juan David Cabal,co COL,MF,Juventus,24,2001,3.3,2,5,2,40.0,1.52,0.61,0.40,1.00,0,0,Matches,ef6eef89
138,Jonathan David,ca CAN,FW,Juventus,25,2000,19.8,6,41,16,39.0,2.07,0.81,0.15,0.38,0,1,Matches,ce50fd99
139,Keinan Davis,eng ENG,FW,Udinese,27,1998,22.9,10,50,25,50.0,2.18,1.09,0.20,0.40,4,4,Matches,9deaf2c8
140,Kevin De Bruyne,be BEL,MF,Napoli,34,1991,12.9,5,27,11,40.7,2.09,0.85,0.19,0.45,3,3,Matches,e46012d4
141,Charles De Ketelaere,be BEL,MFFW,Atalanta,24,2001,24.2,3,46,16,34.8,1.90,0.66,0.07,0.19,0,0,Matches,2ef7c612
142,Manuel De Luca,it ITA,FW,Cremonese,27,1998,0.2,1,2,2,100.0,11.25,11.25,0.50,0.50,1,1,Matches,60e3603d
143,Lorenzo De Silvestri,it ITA,DF,Bologna,37,1988,5.5,0,0,0,,0.00,0.00,,,0,0,Matches,e74f0e59
144,Koni De Winter,be BEL,DF,Milan,23,2002,20.0,1,7,1,14.3,0.35,0.05,0.14,1.00,0,0,Matches,f4797849
145,Alessandro Deiola,it ITA,MFDF,Cagliari,29,1995,15.9,0,22,7,31.8,1.38,0.44,0.00,0.00,0,0,Matches,7f267d66
146,Fisayo Dele-Bashiru,ng NGA,MF,Lazio,24,2001,13.2,1,9,2,22.2,0.68,0.15,0.11,0.50,0,0,Matches,121a4fb8
147,Enrico Delprato,it ITA,DFMF,Parma,25,1999,32.8,2,18,9,50.0,0.55,0.27,0.11,0.22,0,0,Matches,4c6f9258
148,Ali Dembélé,fr FRA,DF,Torino,21,2004,0.2,0,1,0,0.0,4.29,0.00,0.00,,0,0,Matches,eb3df7d9
149,Daniel Denoon,ch SUI,DF,Pisa,21,2004,1.4,0,0,0,,0.00,0.00,,,0,0,Matches,030d6f99
150,Raffaele Di Gennaro,it ITA,GK,Inter,31,1993,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,7a4050d5
151,Michele Di Gregorio,it ITA,GK,Juventus,28,1997,29.5,0,0,0,,0.00,0.00,,,0,0,Matches,4e0c8d66
152,Giovanni Di Lorenzo,it ITA,DFMF,Napoli,31,1993,25.3,2,25,9,36.0,0.99,0.36,0.08,0.22,0,0,Matches,230a2fac
153,Alessandro Di Pardo,it ITA,DFMF,Cagliari,26,1999,0.6,0,1,0,0.0,1.67,0.00,0.00,,0,0,Matches,e0ce7038
154,Boulaye Dia,sn SEN,FWMF,Lazio,28,1996,13.9,1,12,7,58.3,0.86,0.50,0.08,0.14,0,0,Matches,244bc2c8
155,Assane Diao,sn SEN,MF,Como,19,2005,11.9,2,31,10,32.3,2.60,0.84,0.06,0.20,0,0,Matches,8ae7d0ec
156,Federico Dimarco,it ITA,MF,Inter,27,1997,30.0,7,65,22,33.8,2.17,0.73,0.11,0.32,0,0,Matches,970b8574
157,Andy Diouf,fr FRA,MF,Inter,22,2003,5.5,1,10,3,30.0,1.83,0.55,0.10,0.33,0,0,Matches,9b5237b1
158,Berat Djimsiti,al ALB,DF,Atalanta,32,1993,28.1,0,16,2,12.5,0.57,0.07,0.00,0.00,0,0,Matches,6eee05f1
159,Dodô,br BRA,DFMF,Fiorentina,26,1998,34.8,1,25,4,16.0,0.72,0.11,0.04,0.25,0,0,Matches,b5f7d10b
160,Josh Doig,sct SCO,DF,Sassuolo,23,2002,21.3,0,11,4,36.4,0.52,0.19,0.00,0.00,0,0,Matches,2f69d881
161,Benjamín Domínguez,ar ARG,MF,Bologna,21,2003,6.1,0,12,2,16.7,1.97,0.33,0.00,0.00,0,0,Matches,a83b47fa
162,Alberto Dossena,it ITA,DF,Cagliari,26,1998,9.5,0,7,2,28.6,0.73,0.21,0.00,0.00,0,0,Matches,61efb926
163,Mamedi Doucouré,fr FRA,DF,Genoa,18,2007,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,7613c133
164,Anastasios Douvikas,gr GRE,FW,Como,25,1999,25.3,14,65,30,46.2,2.57,1.19,0.22,0.47,1,1,Matches,853ca71c
165,Artem Dovbyk,ua UKR,FW,Roma,28,1997,4.4,3,12,6,50.0,2.75,1.37,0.25,0.50,0,0,Matches,5b847bb0
166,Denzel Dumfries,nl NED,MF,Inter,29,1996,14.7,3,23,5,21.7,1.56,0.34,0.13,0.60,0,0,Matches,481c9ece
167,Rafiu Durosinmi,ng NGA,FW,Pisa,22,2003,4.8,1,9,5,55.6,1.87,1.04,0.11,0.20,0,0,Matches,e7173214
168,Paulo Dybala,ar ARG,MFFW,Roma,31,1993,15.0,2,43,18,41.9,2.86,1.20,0.05,0.11,0,1,Matches,e0921a4f
169,Edin Džeko,ba BIH,FW,Fiorentina,39,1986,2.7,0,4,1,25.0,1.48,0.37,0.00,0.00,0,0,Matches,3bb7f478
170,Enzo Ebosse,cm CMR,DF,Hellas Verona,26,1999,2.4,0,1,0,0.0,0.42,0.00,0.00,,0,0,Matches,9ba7b4fa
171,Enzo Ebosse,cm CMR,DF,Torino,26,1999,12.4,0,0,0,,0.00,0.00,,,0,0,Matches,9ba7b4fa
172,Andrias Edmundsson,fo FRO,DF,Hellas Verona,24,2000,14.7,0,4,1,25.0,0.27,0.07,0.00,0.00,0,0,Matches,7131f38f
173,Kingsley Ehizibue,nl NED,MFDF,Udinese,30,1995,20.1,2,9,2,22.2,0.45,0.10,0.22,1.00,0,0,Matches,76b2817e
174,Jeff Ekhator,it ITA,FWMF,Genoa,18,2006,10.6,3,20,5,25.0,1.88,0.47,0.15,0.60,0,0,Matches,faf739d2
175,Jurgen Ekkelenkamp,nl NED,MF,Udinese,25,2000,24.3,5,33,15,45.5,1.36,0.62,0.15,0.33,0,0,Matches,73d6a176
176,Caleb Ekuban,gh GHA,FWMF,Genoa,31,1994,11.0,4,29,10,34.5,2.63,0.91,0.14,0.40,0,0,Matches,7afbd2c3
177,Mikael Ellertsson,is ISL,MF,Genoa,23,2002,30.7,1,26,6,23.1,0.85,0.20,0.04,0.17,0,0,Matches,c55967eb
178,Elif Elmas,mk MKD,MFFW,Napoli,25,1999,19.8,1,27,9,33.3,1.36,0.45,0.04,0.11,0,0,Matches,cf007308
179,Nesta Elphege,fr FRA,FW,Parma,24,2001,3.4,2,6,3,50.0,1.75,0.87,0.33,0.67,0,0,Matches,a3f86b82
180,Francesco Esposito,it ITA,FW,Inter,20,2005,17.5,7,57,23,40.4,3.27,1.32,0.12,0.30,0,0,Matches,041e5f1f
181,Sebastiano Esposito,it ITA,FWMF,Cagliari,23,2002,29.7,7,57,16,28.1,1.92,0.54,0.12,0.44,1,1,Matches,7ff93107
182,Tomás Esteves,pt POR,DFMF,Pisa,23,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,20ffe5b9
183,Nahuel Estévez,ar ARG,MF,Parma,29,1995,11.7,0,9,1,11.1,0.77,0.09,0.00,0.00,0,0,Matches,cec60a2f
184,Pervis Estupiñán,ec ECU,MF,Milan,27,1998,11.5,1,9,1,11.1,0.78,0.09,0.11,1.00,0,0,Matches,d38fdf53
185,Giovanni Fabbian,it ITA,MF,Bologna,22,2003,7.8,2,14,4,28.6,1.79,0.51,0.14,0.50,0,0,Matches,f97f9188
186,Giovanni Fabbian,it ITA,MF,Fiorentina,22,2003,5.2,0,7,2,28.6,1.35,0.38,0.00,0.00,0,0,Matches,f97f9188
187,Alieu Fadera,gm GAM,FW,Sassuolo,23,2001,11.0,2,13,4,30.8,1.19,0.36,0.15,0.50,0,0,Matches,53210e42
188,Nicolò Fagioli,it ITA,MF,Fiorentina,24,2001,28.4,2,33,7,21.2,1.16,0.25,0.06,0.29,0,0,Matches,366be751
