--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
1,Zakaria Aboukhlal,ma MAR,MF,Torino,25,2000,15,511,34,14.9,5.7,6,59,0,9,18,5,0.53,2,11,-9,-1.59,-1.28,Matches,c2a6033c
2,Francesco Acerbi,it ITA,DF,Inter,37,1988,18,1378,77,40.3,15.3,15,88,12,3,22,18,2.11,34,18,+16,+1.04,-0.63,Matches,b96b595c
3,Wisdom Acquah,it ITA,FW,Torino,18,2007,0,,,,,0,,0,0,,4,,,,,,,Matches,d793ca81
4,Ché Adams,sct SCO,FW,Torino,29,1996,33,1893,57,55.4,21.0,19,76,4,14,32,2,1.18,26,30,-4,-0.19,+0.69,Matches,f2bf1b0f
5,Jayden Addai,nl NED,MF,Como,19,2005,12,686,57,20.1,7.6,7,75,2,5,32,6,1.25,11,6,+5,+0.66,-0.36,Matches,662ffe3d
6,Vasilije Adžić,me MNE,MF,Juventus,19,2006,10,171,17,5.0,1.9,1,57,0,9,13,25,1.60,2,3,-1,-0.53,-1.30,Matches,8b0f9fb8
7,Michel Aebischer,ch SUI,MF,Pisa,28,1997,35,2892,83,84.6,32.1,33,85,25,2,45,1,0.51,23,49,-26,-0.81,+2.43,Matches,f9c927de
8,Honest Ahanor,it ITA,DF,Atalanta,17,2008,22,1377,63,40.3,15.3,15,74,10,7,38,14,1.64,17,15,+2,+0.13,-0.44,Matches,42ff58c3
9,Junior Ajayi,ci CIV,FW,Hellas Verona,20,2004,1,1,1,0.0,0.0,0,,0,1,1,22,1.00,0,0,0,0.00,+0.95,Matches,cab600a8
10,Manuel Akanji,ch SUI,DF,Inter,30,1995,33,2821,85,82.5,31.3,31,90,30,2,21,2,2.39,73,26,+47,+1.50,+0.45,Matches,89ac64a6
11,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,20,2004,24,1444,60,42.2,16.0,16,75,7,8,31,6,0.50,10,29,-19,-1.18,0.00,Matches,3ad34015
12,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,32,1992,22,1504,68,44.0,16.7,17,76,7,5,41,1,0.50,10,19,-9,-0.54,+0.73,Matches,fdf4b948
13,Al-Musrati,ly LBY,MF,Hellas Verona,29,1996,18,844,47,24.7,9.4,8,76,3,10,24,11,0.61,7,19,-12,-1.28,-0.44,Matches,cd6a1a59
14,Agustín Albarracín,uy URU,FW,Cagliari,19,2005,2,33,17,1.0,0.4,0,,0,2,17,14,0.00,0,1,-1,-2.73,-2.41,Matches,54d8e26a
15,Raúl Albiol,es ESP,DF,Pisa,39,1985,8,500,63,14.6,5.6,5,73,2,3,45,20,0.88,4,11,-7,-1.26,-0.09,Matches,4bd414c1
16,Christos Alexiou,gr GRE,DF,Inter,20,2005,0,,,,,0,,0,0,,4,,,,,,,Matches,c9b0a6dd
17,Pontus Almqvist,se SWE,MF,Parma,26,1999,13,457,35,13.4,5.1,4,66,0,9,22,11,0.77,4,7,-3,-0.59,-0.14,Matches,0917188a
18,Agustín Álvarez,uy URU,FW,Sassuolo,24,2001,0,,,,,0,,0,0,,1,,,,,,,Matches,ab472696
19,Giuseppe Ambrosino,it ITA,FW,Napoli,21,2003,3,38,13,1.1,0.4,0,,0,3,13,17,2.00,1,0,+1,+2.37,+1.81,Matches,282947c7
20,Peter Amoran,se SWE,DF,Parma,21,2004,0,,,,,0,,0,0,,1,,,,,,,Matches,8860cadd
21,Amorim,br BRA,MF,Genoa,20,2005,11,552,50,16.1,6.1,6,75,0,5,20,4,1.09,5,8,-3,-0.49,-0.27,Matches,87c4d798
22,Nícolas Andrade,br BRA,GK,Pisa,37,1988,6,540,90,15.8,6.0,6,90,6,0,,32,0.50,4,14,-10,-1.67,-0.57,Matches,326d09ef
23,Angeliño,es ESP,MF,Roma,28,1997,7,416,59,12.2,4.6,5,77,0,2,15,20,2.57,4,1,+3,+0.65,-0.10,Matches,30941e96
24,Lorenzo Anghelè,it ITA,FW,Juventus,20,2005,0,,,,,0,,0,0,,1,,,,,,,Matches,b2f3d550
