--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
1,Zakaria Aboukhlal,ma MAR,MF,Torino,25,2000,5.7,4,0,0,12,11,7,18,1,12,,,0,Matches,c2a6033c
2,Francesco Acerbi,it ITA,DF,Inter,37,1988,15.3,3,0,0,17,13,3,3,18,9,,,0,Matches,b96b595c
3,Ché Adams,sct SCO,FW,Torino,29,1996,21.0,0,0,0,18,15,9,14,1,9,,,0,Matches,f2bf1b0f
4,Jayden Addai,nl NED,MF,Como,19,2005,7.6,4,0,0,13,14,2,10,2,2,,,0,Matches,662ffe3d
5,Vasilije Adžić,me MNE,MF,Juventus,19,2006,1.9,0,0,0,3,2,0,4,3,2,,,0,Matches,8b0f9fb8
6,Michel Aebischer,ch SUI,MF,Pisa,28,1997,32.1,8,0,0,44,38,0,43,35,37,,,0,Matches,f9c927de
7,Honest Ahanor,it ITA,DF,Atalanta,17,2008,15.3,2,1,0,24,28,0,2,24,20,,,0,Matches,42ff58c3
8,Junior Ajayi,ci CIV,FW,Hellas Verona,20,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,cab600a8
9,Manuel Akanji,ch SUI,DF,Inter,30,1995,31.3,4,0,0,26,18,2,3,37,24,,,0,Matches,89ac64a6
10,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,20,2004,16.0,2,0,0,30,28,1,9,27,25,,,0,Matches,3ad34015
11,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,32,1992,16.7,9,0,0,39,15,0,17,22,32,,,0,Matches,fdf4b948
12,Al-Musrati,ly LBY,MF,Hellas Verona,29,1996,9.4,6,1,1,15,3,1,2,11,7,,,0,Matches,cd6a1a59
13,Agustín Albarracín,uy URU,FW,Cagliari,19,2005,0.4,0,0,0,0,3,0,2,0,0,,,0,Matches,54d8e26a
14,Raúl Albiol,es ESP,DF,Pisa,39,1985,5.6,1,0,0,6,2,0,1,7,4,,,0,Matches,4bd414c1
15,Pontus Almqvist,se SWE,MF,Parma,26,1999,5.1,0,0,0,6,14,1,7,6,6,,,0,Matches,0917188a
16,Giuseppe Ambrosino,it ITA,FW,Napoli,21,2003,0.4,0,0,0,1,1,0,0,0,0,,,0,Matches,282947c7
17,Amorim,br BRA,MF,Genoa,20,2005,6.1,1,0,0,7,18,1,16,7,6,,,0,Matches,87c4d798
18,Nícolas Andrade,br BRA,GK,Pisa,37,1988,6.0,0,0,0,0,3,0,0,0,0,,,0,Matches,326d09ef
19,Angeliño,es ESP,MF,Roma,28,1997,4.6,2,0,0,5,2,0,18,3,7,,,0,Matches,30941e96
20,Samuele Angori,it ITA,MF,Pisa,21,2003,28.9,2,0,0,17,54,3,165,23,25,,,0,Matches,9ee1d39e
21,Frank Anguissa,cm CMR,MF,Napoli,29,1995,14.0,1,0,0,18,18,0,15,13,14,,,0,Matches,6bb2c084
22,Faustino Anjorin,eng ENG,MF,Torino,23,2001,3.2,1,0,0,8,1,1,1,7,5,,,0,Matches,b105919e
23,Antonio Arena,it ITA,FW,Roma,16,2009,0.3,0,0,0,0,0,1,0,0,0,,,0,Matches,b4e9e1e3
