--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Emil Audero,id IDN,GK,Sampdoria,21,1997,36,36,3240,36.0,51,1.42,147,96,65.3,14,7,15,11,30.6,8,7,1,0,12.5,Matches,649b01d8
2,Francesco Bardi,it ITA,GK,Frosinone,26,1992,3,3,270,3.0,5,1.67,12,7,58.3,0,1,2,1,33.3,0,0,0,0,,Matches,0acda699
3,Etrit Berisha,al ALB,GK,Atalanta,29,1989,18,18,1620,18.0,25,1.39,67,42,62.7,9,3,6,5,27.8,2,1,0,1,0.0,Matches,ee833569
4,Rafael Cabral,br BRA,GK,Sampdoria,28,1990,2,2,180,2.0,0,0.00,3,2,100.0,1,1,0,2,100.0,0,0,0,0,,Matches,806f7a26
5,Andrea Consigli,it ITA,GK,Sassuolo,31,1987,36,36,3213,35.7,56,1.57,149,98,62.4,9,15,12,12,33.3,8,4,3,1,42.9,Matches,8cabdc1e
6,Alessio Cragno,it ITA,GK,Cagliari,24,1994,38,38,3420,38.0,54,1.42,207,153,73.9,10,11,17,7,18.4,10,8,2,0,20.0,Matches,f554e29b
7,Gianluigi Donnarumma,it ITA,GK,Milan,19,1999,36,36,3092,34.3,31,0.90,126,98,75.4,18,11,7,11,30.6,4,3,1,0,25.0,Matches,08f5afaa
8,Bartłomiej Drągowski,pl POL,GK,Empoli,20,1997,14,14,1260,14.0,24,1.71,95,71,74.7,5,2,7,3,21.4,4,3,1,0,25.0,Matches,085e71a7
9,Bartłomiej Drągowski,pl POL,GK,Fiorentina,20,1997,3,2,225,2.5,2,0.80,8,6,75.0,0,1,1,1,50.0,0,0,0,0,,Matches,085e71a7
10,Pierluigi Frattali,it ITA,GK,Parma,32,1985,1,1,90,1.0,2,2.00,9,7,77.8,0,0,1,0,0.0,0,0,0,0,,Matches,71dac2c2
11,Pierluigi Gollini,it ITA,GK,Atalanta,23,1995,20,20,1800,20.0,21,1.05,70,49,70.0,11,6,3,4,20.0,3,3,0,0,0.0,Matches,f0f7f62f
12,Alfred Gomis,sn SEN,GK,SPAL,24,1993,20,19,1723,19.2,27,1.41,76,49,64.5,3,6,10,6,31.6,1,1,0,0,0.0,Matches,cecbce23
13,Guido Guerrieri,it ITA,GK,Lazio,22,1996,1,1,90,1.0,3,3.00,4,1,25.0,0,1,0,0,0.0,0,0,0,0,,Matches,77e401c7
14,Samir Handanović,si SVN,GK,Inter,34,1984,38,38,3420,38.0,33,0.87,130,98,74.6,20,9,9,17,44.7,5,3,0,2,0.0,Matches,74419746
15,Salvador Ichazo,uy URU,GK,Torino,26,1992,3,2,250,2.8,2,0.72,10,8,80.0,1,1,0,1,50.0,1,1,0,0,0.0,Matches,514f0896
16,Jandrei,br BRA,GK,Genoa,25,1993,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches,85ea4399
17,Orestis Karnezis,gr GRE,GK,Napoli,33,1985,9,9,810,9.0,7,0.78,28,21,75.0,6,2,1,4,44.4,1,1,0,0,0.0,Matches,85b011bb
18,Alban Lafont,ci CIV,GK,Fiorentina,19,1999,34,34,3015,33.5,40,1.19,130,90,69.2,8,15,11,9,26.5,6,5,1,0,16.7,Matches,4e7db402
19,Federico Marchetti,it ITA,GK,Genoa,35,1983,4,4,360,4.0,10,2.50,19,9,47.4,2,0,2,1,25.0,0,0,0,0,,Matches,f794b426
20,Alex Meret,it ITA,GK,Napoli,21,1997,14,13,1150,12.8,9,0.70,48,39,81.3,9,1,3,5,38.5,2,2,0,0,0.0,Matches,9413b19f
