--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,,-additional
21,Vanja Milinković-Savić,rs SRB,GK,SPAL,21,1997,2,2,164,1.8,4,2.20,16,12,75.0,1,0,1,1,50.0,0,0,0,0,,Matches,9fa26bc2
22,Antonio Mirante,it ITA,GK,Roma,35,1983,11,11,990,11.0,6,0.55,37,31,83.8,6,4,1,6,54.5,1,0,1,0,100.0,Matches,30223b33
23,Juan Musso,ar ARG,GK,Udinese,24,1994,29,29,2610,29.0,40,1.38,141,108,71.6,9,8,12,7,24.1,8,8,0,0,0.0,Matches,a111cf41
24,Robin Olsen,se SWE,GK,Roma,28,1990,27,27,2430,27.0,42,1.56,125,86,66.4,12,8,7,4,14.8,6,4,0,2,0.0,Matches,e7ee38c3
25,David Ospina,co COL,GK,Napoli,29,1988,17,16,1457,16.2,20,1.24,63,43,68.3,9,4,3,5,31.3,1,1,0,0,0.0,Matches,82b1198a
26,Gianluca Pegolo,it ITA,GK,Sassuolo,37,1981,3,2,202,2.3,4,1.78,13,9,69.2,0,1,1,0,0.0,0,0,0,0,,Matches,f058ed1f
27,Mattia Perin,it ITA,GK,Juventus,25,1992,9,9,810,9.0,8,0.89,28,20,71.4,6,1,2,5,55.6,1,1,0,0,0.0,Matches,4c62d0c8
28,Carlo Pinsoglio,it ITA,GK,Juventus,28,1990,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches,f6a06749
29,Giacomo Poluzzi,it ITA,GK,SPAL,30,1988,1,0,5,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches,07f55871
30,Silvio Proto,be BEL,GK,Lazio,35,1983,2,2,180,2.0,4,2.00,13,9,69.2,1,0,1,0,0.0,0,0,0,0,,Matches,c8a88acd
31,Ivan Provedel,it ITA,GK,Empoli,24,1994,16,16,1440,16.0,36,2.25,104,68,65.4,4,4,8,0,0.0,4,3,0,1,0.0,Matches,277da414
32,Ionuț Radu,ro ROU,GK,Genoa,21,1997,33,33,2970,33.0,46,1.39,145,104,68.3,6,14,13,6,18.2,6,5,1,0,16.7,Matches,67f649be
33,Pepe Reina,es ESP,GK,Milan,35,1982,4,2,328,3.7,5,1.37,14,9,64.3,1,0,1,1,50.0,1,1,0,0,0.0,Matches,e358587b
34,Francesco Rossi,it ITA,GK,Atalanta,27,1991,1,0,,0.0,0,,0,0,,0,0,0,0,,0,0,0,0,,Matches,7b5f516f
35,Simone Scuffet,it ITA,GK,Udinese,22,1996,9,9,810,9.0,13,1.44,39,26,66.7,2,2,5,2,22.2,1,1,0,0,0.0,Matches,41bd99ea
36,Andrea Seculin,it ITA,GK,Chievo,28,1990,2,1,90,1.0,6,6.00,11,5,45.5,0,0,1,0,0.0,0,0,0,0,,Matches,c4f573f4
37,Adrian Šemper,hr CRO,GK,Chievo,20,1998,6,6,540,6.0,8,1.33,34,26,76.5,1,3,2,2,33.3,0,0,0,0,,Matches,f02dde20
38,Luigi Sepe,it ITA,GK,Parma,27,1991,37,37,3330,37.0,59,1.59,194,142,69.6,10,11,16,10,27.0,8,8,0,0,0.0,Matches,343f753a
39,Salvatore Sirigu,it ITA,GK,Torino,31,1987,36,36,3170,35.2,35,0.99,132,100,73.5,15,14,7,14,38.9,4,2,2,0,50.0,Matches,10dc46f0
40,Łukasz Skorupski,pl POL,GK,Bologna,27,1991,38,38,3420,38.0,56,1.47,176,120,68.2,11,11,16,10,26.3,4,4,0,0,0.0,Matches,ab4449d6
41,Stefano Sorrentino,it ITA,GK,Chievo,39,1979,31,31,2790,31.0,61,1.97,166,108,63.3,1,11,19,5,16.1,4,2,2,0,50.0,Matches,048877f5
42,Marco Sportiello,it ITA,GK,Frosinone,26,1992,35,35,3150,35.0,64,1.83,206,142,68.9,5,9,21,8,22.9,5,5,0,0,0.0,Matches,ac4003af
43,Thomas Strakosha,al ALB,GK,Lazio,23,1995,35,35,3150,35.0,39,1.11,138,99,71.7,16,7,12,10,28.6,7,5,2,0,28.6,Matches,339fe0e8
44,Wojciech Szczęsny,pl POL,GK,Juventus,28,1990,28,28,2520,28.0,20,0.71,83,63,75.9,22,5,1,11,39.3,3,1,1,1,50.0,Matches,01b8a2b2
45,Pietro Terracciano,it ITA,GK,Fiorentina,28,1990,2,2,180,2.0,3,1.50,11,8,72.7,0,1,1,0,0.0,0,0,0,0,,Matches,e1b0a70d
46,Pietro Terracciano,it ITA,GK,Empoli,28,1990,8,8,720,8.0,10,1.25,36,26,72.2,1,2,5,2,25.0,0,0,0,0,,Matches,e1b0a70d
47,Emiliano Viviano,it ITA,GK,SPAL,32,1985,17,17,1525,16.9,25,1.48,85,60,70.6,7,3,7,4,23.5,4,4,0,0,0.0,Matches,03760df0


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2018-2019/keepers/2018-2019-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_keeper">View Original Table</a><br>Generated 8/25/2026.
