--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
27,Keita Baldé,sn SEN,FWMF,Inter,23,1995,9.9,5,30,17,56.7,3.04,1.72,0.17,0.29,0,0,Matches,509a4ccb
28,Andrija Balić,hr CRO,MF,Udinese,20,1997,0.3,0,1,0,0.0,3.33,0.00,0.00,,0,0,Matches,9be4ee80
29,Mattia Bani,it ITA,DF,Chievo,24,1993,29.0,0,16,3,18.8,0.55,0.10,0.00,0.00,0,0,Matches,0821331c
30,Antonín Barák,cz CZE,MF,Udinese,23,1994,3.7,0,4,0,0.0,1.09,0.00,0.00,,0,0,Matches,01efac19
31,Federico Barba,it ITA,DF,Chievo,24,1993,27.6,0,9,4,44.4,0.33,0.14,0.00,0.00,0,0,Matches,c010b898
32,Francesco Bardi,it ITA,GK,Frosinone,26,1992,3.0,0,0,0,,0.00,0.00,,,0,0,Matches,0acda699
33,Nicolò Barella,it ITA,MF,Cagliari,21,1997,34.5,1,54,12,22.2,1.56,0.35,0.02,0.08,0,1,Matches,6928979a
34,Antonino Barillà,it ITA,MF,Parma,30,1988,29.1,3,19,8,42.1,0.65,0.28,0.16,0.38,0,0,Matches,a64cbd35
35,Édgar Barreto,py PAR,MF,Sampdoria,34,1984,8.7,0,8,3,37.5,0.92,0.34,0.00,0.00,0,0,Matches,43a1bea5
36,Musa Barrow,gm GAM,FW,Atalanta,19,1998,6.7,1,30,9,30.0,4.49,1.35,0.03,0.11,0,0,Matches,e5bf73f3
37,Andrea Barzagli,it ITA,DF,Juventus,37,1981,2.9,0,0,0,,0.00,0.00,,,0,0,Matches,7c0000fd
38,Daniele Baselli,it ITA,MF,Torino,26,1992,26.4,4,41,11,26.8,1.55,0.42,0.10,0.36,0,0,Matches,ea06dd97
39,Alessandro Bastoni,it ITA,DF,Parma,19,1999,18.8,1,4,2,50.0,0.21,0.11,0.25,0.50,0,0,Matches,75b86fb3
40,Bastos,ao ANG,DF,Lazio,27,1991,12.7,1,11,3,27.3,0.87,0.24,0.09,0.33,0,0,Matches,c01c66d9
41,Andrea Beghetto,it ITA,MF,Frosinone,23,1994,24.7,0,23,4,17.4,0.93,0.16,0.00,0.00,0,0,Matches,438dfc6a
42,Valon Behrami,ch SUI,MF,Udinese,33,1985,15.1,1,9,2,22.2,0.60,0.13,0.11,0.50,0,0,Matches,d3d758d8
43,Nicky Beloko,ch SUI,MF,Fiorentina,18,2000,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,714ffae7
44,Andrea Belotti,it ITA,FW,Torino,24,1993,36.7,15,124,46,37.1,3.38,1.25,0.12,0.33,5,6,Matches,d705ba44
45,Marco Benassi,it ITA,MF,Fiorentina,23,1994,25.4,7,59,21,35.6,2.33,0.83,0.12,0.33,0,0,Matches,0000acda
46,Medhi Benatia,ma MAR,DF,Juventus,31,1987,5.0,0,3,0,0.0,0.60,0.00,0.00,,0,0,Matches,3b15ef2d
47,Ismaël Bennacer,dz ALG,MF,Empoli,20,1997,32.9,0,20,5,25.0,0.61,0.15,0.00,0.00,0,0,Matches,db092d3b
48,Rodrigo Bentancur,uy URU,MF,Juventus,21,1997,22.3,2,21,3,14.3,0.94,0.13,0.10,0.67,0,0,Matches,3b8674e6
49,Domenico Berardi,it ITA,FWMF,Sassuolo,23,1994,31.9,8,126,31,24.6,3.94,0.97,0.06,0.26,1,1,Matches,53a0e358
50,Álex Berenguer,es ESP,MFFW,Torino,23,1995,16.5,2,21,7,33.3,1.27,0.42,0.10,0.29,0,0,Matches,dc1c2fce
51,Bartosz Bereszyński,pl POL,DF,Sampdoria,26,1992,24.4,0,9,2,22.2,0.37,0.08,0.00,0.00,0,0,Matches,61b3978f
52,Etrit Berisha,al ALB,GK,Atalanta,29,1989,18.0,0,0,0,,0.00,0.00,,,0,0,Matches,ee833569
53,Valon Berisha,xk KVX,MF,Lazio,25,1993,2.2,0,1,0,0.0,0.45,0.00,0.00,,0,0,Matches,d5575935
54,Federico Bernardeschi,it ITA,MFFW,Juventus,24,1994,16.4,2,54,16,29.6,3.30,0.98,0.04,0.13,0,0,Matches,ee93c1a9
55,Daniel Bessa,it ITA,MF,Genoa,25,1993,27.1,1,31,14,45.2,1.14,0.52,0.03,0.07,0,0,Matches,88895312
56,Jonathan Biabiany,fr FRA,FW,Parma,30,1988,11.9,0,4,2,50.0,0.34,0.17,0.00,0.00,0,0,Matches,6b99d135
57,Lucas Biglia,ar ARG,MF,Milan,32,1986,12.4,1,7,3,42.9,0.57,0.24,0.14,0.33,0,0,Matches,5710a281
58,Cristiano Biraghi,it ITA,DFMF,Fiorentina,25,1992,35.5,1,35,8,22.9,0.99,0.23,0.03,0.13,0,0,Matches,9e1577aa
59,Davide Biraschi,it ITA,DF,Genoa,24,1994,31.6,0,11,1,9.1,0.35,0.03,0.00,0.00,0,0,Matches,64cd167d
60,Valter Birsa,si SVN,MFFW,Cagliari,31,1986,3.9,0,11,1,9.1,2.80,0.25,0.00,0.00,0,0,Matches,455a2b79
61,Valter Birsa,si SVN,FWMF,Chievo,31,1986,12.2,2,16,5,31.3,1.31,0.41,0.13,0.40,1,1,Matches,455a2b79
62,Kevin-Prince Boateng,gh GHA,FW,Sassuolo,31,1987,10.4,4,28,12,42.9,2.69,1.15,0.14,0.33,2,2,Matches,f4ec4fd0
63,Jeremie Boga,ci CIV,FWMF,Sassuolo,21,1997,16.0,3,27,8,29.6,1.68,0.50,0.11,0.38,0,0,Matches,fe012aca
64,Giacomo Bonaventura,it ITA,MF,Milan,28,1989,7.2,3,27,9,33.3,3.76,1.25,0.11,0.33,0,0,Matches,d995ed27
65,Kevin Bonifazi,it ITA,DF,SPAL,22,1996,25.6,2,12,4,33.3,0.47,0.16,0.17,0.50,0,0,Matches,fb77bfef
66,Leonardo Bonucci,it ITA,DF,Juventus,31,1987,27.5,3,16,5,31.3,0.58,0.18,0.19,0.60,0,0,Matches,52ec54d0
67,Fabio Borini,it ITA,FWMF,Milan,27,1991,11.7,2,30,7,23.3,2.56,0.60,0.07,0.29,0,0,Matches,ef5b337e
68,Mehdi Bourabia,ma MAR,MF,Sassuolo,26,1991,22.3,1,34,6,17.6,1.52,0.27,0.03,0.17,0,0,Matches,0d077b88
69,Filip Bradarić,hr CRO,MF,Cagliari,26,1992,16.6,0,14,0,0.0,0.84,0.00,0.00,,0,0,Matches,605873e1
70,Gleison Bremer,br BRA,DF,Torino,21,1997,2.0,0,1,0,0.0,0.49,0.00,0.00,,0,0,Matches,5fd5ed86
71,Nicolò Brighenti,it ITA,DF,Frosinone,28,1989,11.0,0,3,1,33.3,0.27,0.09,0.00,0.00,0,0,Matches,54c356b0
72,Matteo Brighi,it ITA,MF,Empoli,37,1981,2.6,1,1,1,100.0,0.39,0.39,1.00,1.00,0,0,Matches,d417b306
73,Enrico Brignola,it ITA,MFFW,Sassuolo,19,1999,1.9,1,6,2,33.3,3.09,1.03,0.17,0.50,0,0,Matches,d0643f8f
74,Marcelo Brozović,hr CRO,MF,Inter,25,1992,29.4,2,25,6,24.0,0.85,0.20,0.08,0.33,0,0,Matches,33b8d077
75,Rafael Cabral,br BRA,GK,Sampdoria,28,1990,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,806f7a26
76,Fabrizio Cacciatore,it ITA,DF,Cagliari,31,1986,6.4,0,3,2,66.7,0.47,0.31,0.00,0.00,0,0,Matches,00b0bb87
77,Fabrizio Cacciatore,it ITA,DF,Chievo,31,1986,5.5,0,1,0,0.0,0.18,0.00,0.00,,0,0,Matches,00b0bb87
78,Martín Cáceres,uy URU,DF,Juventus,31,1987,7.0,0,4,1,25.0,0.57,0.14,0.00,0.00,0,0,Matches,e94d79e3
79,Martín Cáceres,uy URU,DFMF,Lazio,31,1987,3.4,0,3,0,0.0,0.88,0.00,0.00,,0,0,Matches,e94d79e3
80,Felipe Caicedo,ec ECU,FW,Lazio,29,1988,15.2,8,42,15,35.7,2.76,0.98,0.19,0.53,1,1,Matches,93b891d1
81,Arturo Calabresi,it ITA,DF,Bologna,22,1996,15.7,1,2,2,100.0,0.13,0.13,0.50,0.50,0,0,Matches,34bb6fbd
82,Davide Calabria,it ITA,DF,Milan,21,1996,21.7,1,10,2,20.0,0.46,0.09,0.10,0.50,0,0,Matches,2146785a
83,Hakan Çalhanoğlu,tr TUR,MFFW,Milan,24,1994,32.0,3,102,26,25.5,3.18,0.81,0.03,0.12,0,0,Matches,cd0fa27b
84,José Callejón,es ESP,MFFW,Napoli,31,1987,29.4,3,62,18,29.0,2.11,0.61,0.05,0.17,0,0,Matches,78841da9
85,Joel Campbell,cr CRC,FWMF,Frosinone,26,1992,9.9,0,14,3,21.4,1.41,0.30,0.00,0.00,0,0,Matches,895ff3ca
86,Emre Can,de GER,MF,Juventus,24,1994,20.1,4,32,9,28.1,1.59,0.45,0.13,0.44,1,1,Matches,a65ce836
87,João Cancelo,pt POR,DFMF,Juventus,24,1994,21.9,1,25,7,28.0,1.14,0.32,0.04,0.14,0,0,Matches,bd6351cd
88,Antonio Candreva,it ITA,MF,Inter,31,1987,5.6,1,21,7,33.3,3.76,1.25,0.05,0.14,0,0,Matches,356c9002
89,Luan Capanni,br BRA,MF,Lazio,18,2000,0.1,0,1,0,0.0,10.00,0.00,0.00,,0,0,Matches,28237d7e
90,Leonardo Capezzi,it ITA,MF,Empoli,23,1995,8.6,0,12,1,8.3,1.40,0.12,0.00,0.00,0,0,Matches,07ea0ef2
91,Gianluca Caprari,it ITA,FWMF,Sampdoria,25,1993,11.5,6,30,14,46.7,2.62,1.22,0.20,0.43,0,0,Matches,54e53b7e
92,Marco Capuano,it ITA,DF,Frosinone,26,1991,25.6,0,7,0,0.0,0.27,0.00,0.00,,0,0,Matches,616aea37
93,Francesco Caputo,it ITA,FW,Empoli,30,1987,38.0,16,96,44,45.8,2.53,1.16,0.17,0.36,3,6,Matches,5bd72174
94,Francesco Cassata,it ITA,MF,Frosinone,21,1997,12.5,2,14,4,28.6,1.12,0.32,0.14,0.50,0,0,Matches,96960855
95,Timothy Castagne,be BEL,MF,Atalanta,22,1995,22.3,4,19,8,42.1,0.85,0.36,0.21,0.50,0,0,Matches,197640fd
96,Samu Castillejo,es ESP,FW,Milan,23,1995,11.4,4,30,13,43.3,2.64,1.14,0.13,0.31,0,0,Matches,130a7a3f
97,Lucas Castro,ar ARG,MF,Cagliari,29,1989,10.0,1,9,2,22.2,0.90,0.20,0.11,0.50,0,0,Matches,56b2957b
98,Danilo Cataldi,it ITA,MFFW,Lazio,23,1994,6.4,2,13,4,30.8,2.02,0.62,0.15,0.50,0,0,Matches,ba3d3bea
99,Federico Ceccherini,it ITA,DF,Fiorentina,26,1992,11.0,0,1,1,100.0,0.09,0.09,0.00,0.00,0,0,Matches,d9624b51
100,Žan Celar,si SVN,FW,Roma,19,1999,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,868c6958
101,Luca Ceppitelli,it ITA,DF,Cagliari,28,1989,22.8,2,16,5,31.3,0.70,0.22,0.13,0.40,0,0,Matches,7d50454d
102,Fabio Ceravolo,it ITA,FW,Parma,31,1987,13.2,2,20,10,50.0,1.52,0.76,0.10,0.20,1,2,Matches,4cc93246
103,Alberto Cerri,it ITA,FW,Cagliari,22,1996,7.4,0,24,4,16.7,3.22,0.54,0.00,0.00,0,0,Matches,1079c685
104,Boštjan Cesar,si SVN,DF,Chievo,36,1982,12.0,1,5,2,40.0,0.42,0.17,0.20,0.50,0,0,Matches,c1d18f10
105,Raman Chibsah,gh GHA,MF,Frosinone,25,1993,29.1,1,32,10,31.3,1.10,0.34,0.03,0.10,0,0,Matches,aa5a409a
106,Giorgio Chiellini,it ITA,DF,Juventus,33,1984,22.1,1,13,4,30.8,0.59,0.18,0.08,0.25,0,0,Matches,e85fb9b8
107,Federico Chiesa,it ITA,FWMF,Fiorentina,20,1997,33.7,6,131,41,31.3,3.89,1.22,0.05,0.15,0,0,Matches,b0f7e36c
108,Vlad Chiricheș,ro ROU,DF,Napoli,28,1989,1.6,0,1,0,0.0,0.61,0.00,0.00,,0,0,Matches,c316607a
109,Camillo Ciano,it ITA,FWMF,Frosinone,28,1990,27.3,7,77,25,32.5,2.82,0.92,0.09,0.28,2,3,Matches,2114abf9
110,Amato Ciciretti,it ITA,FW,Parma,24,1993,1.5,0,1,0,0.0,0.65,0.00,0.00,,0,0,Matches,1ab0b878
111,Luca Cigarini,it ITA,MF,Cagliari,32,1986,18.7,0,20,3,15.0,1.07,0.16,0.00,0.00,0,0,Matches,ae64d449
112,Daniel Ciofani,it ITA,FW,Frosinone,33,1985,18.0,5,53,20,37.7,2.95,1.11,0.09,0.25,2,2,Matches,b09a3ecc
113,Thiago Cionek,pl POL,DF,SPAL,32,1986,28.2,0,16,1,6.3,0.57,0.04,0.00,0.00,0,0,Matches,46f5c54d
114,Omar Colley,gm GAM,DF,Sampdoria,25,1992,19.6,0,7,1,14.3,0.36,0.05,0.00,0.00,0,0,Matches,8b95acda
115,Andrea Consigli,it ITA,GK,Sassuolo,31,1987,35.7,0,0,0,,0.00,0.00,,,0,0,Matches,8cabdc1e
116,Andrea Conti,it ITA,DF,Milan,24,1994,5.6,0,0,0,,0.00,0.00,,,0,0,Matches,8fef5412
117,Gabriele Corbo,it ITA,DF,Bologna,18,2000,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,091795f2
118,Ante Ćorić,hr CRO,MF,Roma,21,1997,0.3,0,1,0,0.0,3.75,0.00,0.00,,0,0,Matches,2d3f7367
119,Joaquín Correa,ar ARG,FW,Lazio,23,1994,21.4,5,70,30,42.9,3.27,1.40,0.07,0.17,0,0,Matches,45b9b619
120,Douglas Costa,br BRA,MFFW,Juventus,27,1990,6.9,1,22,8,36.4,3.19,1.16,0.05,0.13,0,0,Matches,4fa7cb9b
121,Filippo Costa,it ITA,MF,SPAL,23,1995,6.3,0,6,0,0.0,0.96,0.00,0.00,,0,0,Matches,00528660
122,Alessio Cragno,it ITA,GK,Cagliari,24,1994,38.0,0,1,0,0.0,0.03,0.00,0.00,,0,0,Matches,f554e29b
123,Domenico Criscito,it ITA,DFMF,Genoa,31,1986,34.1,2,31,6,19.4,0.91,0.18,0.06,0.33,1,1,Matches,35dd6d80
124,Lorenzo Crisetig,it ITA,MF,Frosinone,25,1993,5.6,0,0,0,,0.00,0.00,,,0,0,Matches,f54dfca8
125,Bryan Cristante,it ITA,MF,Roma,23,1995,26.9,4,43,10,23.3,1.60,0.37,0.09,0.40,0,0,Matches,16657b95
126,Alessio da Cruz,cv CPV,FW,Parma,21,1997,1.6,0,1,0,0.0,0.62,0.00,0.00,,0,0,Matches,b6667741
127,Juan Cuadrado,co COL,MFDF,Juventus,30,1988,13.6,1,17,3,17.6,1.25,0.22,0.06,0.33,0,0,Matches,0ab1f153
128,Patrick Cutrone,it ITA,FW,Milan,20,1998,16.2,3,34,14,41.2,2.10,0.86,0.09,0.21,0,0,Matches,a4fe8cda
129,Marco D'Alessandro,it ITA,MF,Udinese,27,1991,16.6,0,11,2,18.2,0.66,0.12,0.00,0.00,0,0,Matches,060606ec
130,Danilo D'Ambrosio,it ITA,DF,Inter,29,1988,28.7,2,18,6,33.3,0.63,0.21,0.11,0.33,0,0,Matches,44eb9093
131,Bryan Dabo,bf BFA,MF,Fiorentina,26,1992,9.2,1,9,4,44.4,0.97,0.43,0.11,0.25,0,0,Matches,c53083ad
132,Felipe dal Belo,br BRA,DF,SPAL,34,1984,26.2,3,14,8,57.1,0.53,0.30,0.21,0.38,0,0,Matches,8cea6319
133,Nicola Dalmonte,it ITA,FWMF,Genoa,20,1997,0.5,0,3,0,0.0,6.14,0.00,0.00,,0,0,Matches,59a3efba
134,Vitalie Damașcan,md MDA,FWMF,Torino,19,1999,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,54e0c0cc
135,Sebastien De Maio,fr FRA,DF,Udinese,31,1987,13.0,1,11,2,18.2,0.84,0.15,0.09,0.50,0,0,Matches,952a03fe
136,Sebastien De Maio,fr FRA,DF,Bologna,31,1987,5.5,0,2,0,0.0,0.37,0.00,0.00,,0,0,Matches,952a03fe
137,Rodrigo De Paul,ar ARG,MFFW,Udinese,24,1994,35.4,9,88,33,37.5,2.48,0.93,0.10,0.27,3,6,Matches,162efffd
138,Daniele De Rossi,it ITA,MF,Roma,35,1983,14.1,1,5,1,20.0,0.35,0.07,0.20,1.00,0,0,Matches,532d2690
139,Mattia De Sciglio,it ITA,DFMF,Juventus,25,1992,19.4,0,6,0,0.0,0.31,0.00,0.00,,0,0,Matches,ae4e2852
140,Lorenzo De Silvestri,it ITA,MF,Torino,30,1988,26.8,2,29,9,31.0,1.08,0.34,0.07,0.22,0,0,Matches,e74f0e59
141,Grégoire Defrel,mq MTQ,FWMF,Sampdoria,27,1991,26.0,11,47,24,51.1,1.81,0.92,0.23,0.46,0,0,Matches,854ee61a
142,Alessandro Deiola,it ITA,MF,Cagliari,22,1995,5.0,0,7,1,14.3,1.40,0.20,0.00,0.00,0,0,Matches,7f267d66
143,Alessandro Deiola,it ITA,MF,Parma,22,1995,6.1,0,7,1,14.3,1.16,0.17,0.00,0.00,0,0,Matches,7f267d66
144,Cristian Dell'Orco,it ITA,DF,Sassuolo,24,1994,1.2,0,1,0,0.0,0.82,0.00,0.00,,0,0,Matches,b0243215
145,Cristian Dell'Orco,it ITA,DF,Empoli,24,1994,11.5,1,4,1,25.0,0.35,0.09,0.25,1.00,0,0,Matches,b0243215
146,Merih Demiral,tr TUR,DF,Sassuolo,20,1998,14.0,2,8,4,50.0,0.57,0.29,0.25,0.50,0,0,Matches,e3cceee6
147,Fabio Depaoli,it ITA,DFMF,Chievo,21,1997,27.4,0,12,3,25.0,0.44,0.11,0.00,0.00,0,0,Matches,d97f2e8d
148,Kiril Despodov,bg BUL,FWMF,Cagliari,21,1996,1.2,0,0,0,,0.00,0.00,,,0,0,Matches,13c8e5f6
149,Daniele Dessena,it ITA,MF,Cagliari,31,1987,3.9,0,6,3,50.0,1.53,0.77,0.00,0.00,0,0,Matches,02b2937c
150,Mattia Destro,it ITA,FW,Bologna,27,1991,5.5,4,12,7,58.3,2.19,1.28,0.33,0.57,0,0,Matches,d7d32194
151,Jacopo Dezi,it ITA,MF,Parma,26,1992,1.0,0,2,1,50.0,2.00,1.00,0.00,0.00,0,0,Matches,e921b9db
152,Federico Di Francesco,it ITA,FWMF,Sassuolo,24,1994,11.9,2,25,11,44.0,2.09,0.92,0.08,0.18,0,0,Matches,1fca9171
153,Antonio Di Gaudio,it ITA,FW,Parma,28,1989,7.8,0,12,3,25.0,1.55,0.39,0.00,0.00,0,0,Matches,434b8c73
154,Giovanni Di Lorenzo,it ITA,DFMF,Empoli,24,1993,37.0,5,21,9,42.9,0.57,0.24,0.24,0.56,0,0,Matches,230a2fac
155,Amadou Diawara,gn GUI,MF,Napoli,21,1997,7.3,0,9,1,11.1,1.23,0.14,0.00,0.00,0,0,Matches,bf309d24
156,Lorenzo Dickmann,it ITA,MF,SPAL,21,1996,1.9,0,1,0,0.0,0.51,0.00,0.00,,0,0,Matches,12851227
157,Mitchell Dijks,nl NED,DFMF,Bologna,25,1993,22.5,1,9,4,44.4,0.40,0.18,0.11,0.25,0,0,Matches,0a3065c8
158,Federico Dimarco,it ITA,DFMF,Parma,20,1997,9.9,1,14,3,21.4,1.41,0.30,0.07,0.33,0,0,Matches,970b8574
159,Federico Dionisi,it ITA,FW,Frosinone,31,1987,2.3,1,11,3,27.3,4.85,1.32,0.09,0.33,0,0,Matches,a74d2999
160,Assane Dioussé,sn SEN,MF,Chievo,20,1997,9.9,0,7,2,28.6,0.71,0.20,0.00,0.00,0,0,Matches,7f622eef
161,Koffi Djidji,ci CIV,DF,Torino,25,1992,15.4,0,2,1,50.0,0.13,0.06,0.00,0.00,0,0,Matches,933d3b51
162,Berat Djimsiti,al ALB,DF,Atalanta,25,1993,20.1,1,11,4,36.4,0.55,0.20,0.09,0.25,0,0,Matches,6eee05f1
163,Johan Djourou,ch SUI,DF,SPAL,31,1987,3.1,0,1,1,100.0,0.32,0.32,0.00,0.00,0,0,Matches,b8673e18
164,Gianluigi Donnarumma,it ITA,GK,Milan,19,1999,34.3,0,0,0,,0.00,0.00,,,0,0,Matches,08f5afaa
165,Godfred Donsah,gh GHA,MF,Bologna,22,1996,1.7,0,2,0,0.0,1.18,0.00,0.00,,0,0,Matches,384dd218
166,Riccardo Doratiotto,it ITA,FW,Cagliari,19,1999,0.9,0,0,0,,0.00,0.00,,,0,0,Matches,c1bcb2df
167,Bartłomiej Drągowski,pl POL,GK,Empoli,20,1997,14.0,0,0,0,,0.00,0.00,,,0,0,Matches,085e71a7
168,Bartłomiej Drągowski,pl POL,GK,Fiorentina,20,1997,2.5,0,0,0,,0.00,0.00,,,0,0,Matches,085e71a7
169,Alfred Duncan,gh GHA,MF,Sassuolo,25,1993,20.5,4,26,10,38.5,1.27,0.49,0.15,0.40,0,0,Matches,528492ea
170,Riza Durmisi,dk DEN,MF,Lazio,24,1994,3.6,0,4,2,50.0,1.10,0.55,0.00,0.00,0,0,Matches,e5cd9da6
171,Paulo Dybala,ar ARG,FWMF,Juventus,24,1993,23.7,5,64,22,34.4,2.70,0.93,0.08,0.23,1,1,Matches,e0921a4f
172,Edin Džeko,ba BIH,FW,Roma,32,1986,28.7,9,131,51,38.9,4.57,1.78,0.07,0.18,0,0,Matches,3bb7f478
173,Blerim Džemaili,ch SUI,MF,Bologna,32,1986,19.4,1,44,8,18.2,2.26,0.41,0.02,0.13,0,0,Matches,756959aa
174,Simone Edera,it ITA,MF,Torino,21,1997,0.9,0,1,0,0.0,1.17,0.00,0.00,,0,0,Matches,8697c095
175,Simone Edera,it ITA,FWMF,Bologna,21,1997,2.2,0,8,4,50.0,3.67,1.84,0.00,0.00,0,0,Matches,8697c095
176,Albin Ekdal,se SWE,MF,Sampdoria,29,1989,29.4,0,15,1,6.7,0.51,0.03,0.00,0.00,0,0,Matches,f503ea63
177,Valentin Eysseric,fr FRA,FW,Fiorentina,26,1992,4.0,0,4,2,50.0,1.01,0.50,0.00,0.00,0,0,Matches,ae82fa48
178,Diego Falcinelli,it ITA,FW,Bologna,27,1991,7.8,0,15,3,20.0,1.92,0.38,0.00,0.00,0,0,Matches,a39b9ef6
179,Iago Falque,es ESP,FWMF,Torino,28,1990,17.9,6,56,21,37.5,3.13,1.17,0.11,0.29,0,0,Matches,440c84ed
180,Paolo Faragò,it ITA,MFDF,Cagliari,25,1993,18.9,1,20,12,60.0,1.06,0.63,0.05,0.08,0,0,Matches,9085dd7c
181,Mohamed Fares,dz ALG,MFDF,SPAL,22,1996,32.8,3,57,17,29.8,1.74,0.52,0.05,0.18,0,0,Matches,b7a5bc86
182,Diego Farias,br BRA,FW,Empoli,28,1990,13.3,4,36,16,44.4,2.72,1.21,0.11,0.25,0,0,Matches,157d29b6
183,Diego Farias,br BRA,FW,Cagliari,28,1990,7.8,3,23,12,52.2,2.96,1.54,0.13,0.25,0,0,Matches,157d29b6
184,Andrea Favilli,it ITA,FW,Genoa,21,1997,1.9,0,5,3,60.0,2.65,1.59,0.00,0.00,0,0,Matches,44510fde
185,Federico Fazio,ar ARG,DF,Roma,31,1987,31.2,5,31,15,48.4,0.99,0.48,0.16,0.33,0,0,Matches,4e358a2d
186,Luiz Felipe,it ITA,DF,Lazio,21,1997,14.3,1,8,2,25.0,0.56,0.14,0.13,0.50,0,0,Matches,15d0c248
187,Edimilson Fernandes,ch SUI,MF,Fiorentina,22,1996,21.9,2,21,5,23.8,0.96,0.23,0.10,0.40,0,0,Matches,3bb625ac
