--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
1,Ignazio Abate,it ITA,DF,Milan,31,1986,14.5,0,1,1,100.0,0.07,0.07,0.00,0.00,0,0,Matches,1c529186
2,Francesco Acerbi,it ITA,DF,Lazio,30,1988,36.8,3,20,9,45.0,0.54,0.24,0.15,0.33,0,0,Matches,b96b595c
3,Afriyie Acquah,gh GHA,MF,Empoli,26,1992,16.8,2,22,7,31.8,1.31,0.42,0.09,0.29,0,0,Matches,d7403bd5
4,Claud Adjapong,it ITA,MF,Sassuolo,20,1998,3.0,1,2,1,50.0,0.67,0.33,0.50,1.00,0,0,Matches,ce5b170a
5,Ali Adnan Kadhim,iq IRQ,MF,Atalanta,24,1993,1.8,0,3,0,0.0,1.63,0.00,0.00,,0,0,Matches,06050480
6,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,27,1990,1.8,0,2,0,0.0,1.12,0.00,0.00,,0,0,Matches,fe0b8f0e
7,Ola Aina,ng NGA,MF,Torino,21,1996,24.0,1,25,6,24.0,1.04,0.25,0.04,0.17,0,0,Matches,246d153b
8,Luis Alberto,es ESP,MFFW,Lazio,25,1992,22.1,4,68,14,20.6,3.08,0.63,0.06,0.29,1,1,Matches,5294a83f
9,Raúl Albiol,es ESP,DF,Napoli,32,1985,19.0,1,6,2,33.3,0.32,0.11,0.17,0.50,0,0,Matches,4bd414c1
10,Allan,br BRA,MF,Napoli,27,1991,29.1,1,24,2,8.3,0.83,0.07,0.04,0.50,0,0,Matches,cc700722
11,Bruno Alves,pt POR,DF,Parma,36,1981,32.5,4,16,5,31.3,0.49,0.15,0.25,0.80,0,0,Matches,585a73a8
12,Joachim Andersen,dk DEN,DF,Sampdoria,22,1996,32.0,0,13,5,38.5,0.41,0.16,0.00,0.00,0,0,Matches,e34fc66d
13,Marco Andreolli,it ITA,DF,Cagliari,32,1986,1.2,0,1,1,100.0,0.85,0.85,0.00,0.00,0,0,Matches,13d820de
14,Marco Andreolli,it ITA,DF,Chievo,32,1986,7.2,0,2,1,50.0,0.28,0.14,0.00,0.00,0,0,Matches,13d820de
15,Cristian Ansaldi,ar ARG,MF,Torino,31,1986,20.1,3,40,11,27.5,1.99,0.55,0.08,0.27,0,0,Matches,bbafc0c4
16,Mirco Antenucci,it ITA,FW,SPAL,33,1984,23.7,5,50,19,38.0,2.11,0.80,0.10,0.26,1,2,Matches,43a2e16c
17,Luca Antonelli,it ITA,DFMF,Empoli,31,1987,8.4,0,5,3,60.0,0.60,0.36,0.00,0.00,0,0,Matches,40f0ed6c
18,Mauro Antonio Burruchaga,ar ARG,MF,Chievo,20,1998,0.6,0,1,1,100.0,1.55,1.55,0.00,0.00,0,0,Matches,0830a4f9
19,Joaquín Ardaiz,uy URU,FW,Frosinone,19,1999,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,eb823875
20,Lorenzo Ariaudo,it ITA,DF,Frosinone,29,1989,18.7,0,6,2,33.3,0.32,0.11,0.00,0.00,0,0,Matches,68b78c2a
21,Nicolò Armini,it ITA,DF,Lazio,17,2001,0.4,0,0,0,,0.00,0.00,,,0,0,Matches,2f7407fa
22,Kwadwo Asamoah,gh GHA,DFMF,Inter,29,1988,29.7,0,10,2,20.0,0.34,0.07,0.00,0.00,0,0,Matches,089550f5
23,Emil Audero,id IDN,GK,Sampdoria,21,1997,36.0,0,0,0,,0.00,0.00,,,0,0,Matches,649b01d8
24,Khouma Babacar,sn SEN,FW,Sassuolo,25,1993,16.5,7,60,22,36.7,3.63,1.33,0.12,0.32,2,2,Matches,422ec08a
25,Milan Badelj,hr CRO,MF,Lazio,29,1989,12.7,1,14,4,28.6,1.10,0.32,0.07,0.25,0,0,Matches,e8c930bb
26,Tiemoué Bakayoko,fr FRA,MF,Milan,23,1994,25.6,1,25,7,28.0,0.98,0.27,0.04,0.14,0,0,Matches,59bf127b
