--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Ignazio Abate,it ITA,DF,Milan,31,1986,19,15,1302,14.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,1c529186
2,Francesco Acerbi,it ITA,DF,Lazio,30,1988,37,37,3309,36.8,3,1,4,3,0,0,4,1,0.08,0.03,0.11,0.08,0.11,Matches,b96b595c
3,Afriyie Acquah,gh GHA,MF,Empoli,26,1992,28,19,1510,16.8,2,0,2,2,0,0,4,0,0.12,0.00,0.12,0.12,0.12,Matches,d7403bd5
4,Claud Adjapong,it ITA,MF,Sassuolo,20,1998,5,3,270,3.0,1,0,1,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,Matches,ce5b170a
5,Ali Adnan Kadhim,iq IRQ,MF,Atalanta,24,1993,3,2,166,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,06050480
6,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,27,1990,4,2,161,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fe0b8f0e
7,Ola Aina,ng NGA,MF,Torino,21,1996,30,22,2160,24.0,1,3,4,1,0,0,5,1,0.04,0.12,0.17,0.04,0.17,Matches,246d153b
8,Luis Alberto,es ESP,MFFW,Lazio,25,1992,27,25,1990,22.1,4,5,9,3,1,1,5,1,0.18,0.23,0.41,0.14,0.36,Matches,5294a83f
9,Raúl Albiol,es ESP,DF,Napoli,32,1985,20,19,1713,19.0,1,0,1,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,Matches,4bd414c1
10,Allan,br BRA,MF,Napoli,27,1991,33,28,2616,29.1,1,3,4,1,0,0,10,0,0.03,0.10,0.14,0.03,0.14,Matches,cc700722
11,Bruno Alves,pt POR,DF,Parma,36,1981,33,33,2922,32.5,4,1,5,4,0,0,9,1,0.12,0.03,0.15,0.12,0.15,Matches,585a73a8
12,Joachim Andersen,dk DEN,DF,Sampdoria,22,1996,32,32,2880,32.0,0,1,1,0,0,0,7,0,0.00,0.03,0.03,0.00,0.03,Matches,e34fc66d
