--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
1,Ignazio Abate,it ITA,DF,Milan,31,1986,19,1302,69,38.1,14.5,15,82,8,4,17,19,2.11,22,12,+10,+0.69,+0.31,Matches,1c529186
2,Francesco Acerbi,it ITA,DF,Lazio,30,1988,37,3309,89,96.8,36.8,37,89,36,0,,0,1.59,55,44,+11,+0.30,+1.11,Matches,b96b595c
3,Afriyie Acquah,gh GHA,MF,Empoli,26,1992,28,1510,54,44.2,16.8,19,73,5,9,14,6,1.11,20,29,-9,-0.54,-0.07,Matches,d7403bd5
4,Claud Adjapong,it ITA,MF,Sassuolo,20,1998,5,270,54,7.9,3.0,3,81,1,2,14,21,1.40,3,2,+1,+0.33,+0.56,Matches,ce5b170a
5,Ali Adnan Kadhim,iq IRQ,MF,Atalanta,24,1993,3,166,55,4.9,1.8,2,76,1,1,14,13,0.33,3,5,-2,-1.08,-2.00,Matches,06050480
6,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,27,1990,4,161,40,4.7,1.8,2,69,0,2,12,7,1.50,2,5,-3,-1.68,-1.37,Matches,fe0b8f0e
7,Ola Aina,ng NGA,MF,Torino,21,1996,30,2160,72,63.2,24.0,22,86,15,8,34,2,1.63,31,23,+8,+0.33,-0.17,Matches,246d153b
8,Luis Alberto,es ESP,MFFW,Lazio,25,1992,27,1990,74,58.2,22.1,25,78,9,2,21,4,1.44,30,22,+8,+0.36,+0.24,Matches,5294a83f
9,Raúl Albiol,es ESP,DF,Napoli,32,1985,20,1713,86,50.1,19.0,19,90,19,1,3,6,2.10,33,22,+11,+0.58,-0.85,Matches,4bd414c1
10,Marco Alia,al ALB,GK,Lazio,18,2000,0,,,,,0,,0,0,,1,,,,,,,Matches,261dfc43
11,Allan,br BRA,MF,Napoli,27,1991,33,2616,79,76.5,29.1,28,88,26,5,30,0,2.09,57,29,+28,+0.96,-0.16,Matches,cc700722
12,Bruno Alves,pt POR,DF,Parma,36,1981,33,2922,89,85.4,32.5,33,89,31,0,,0,1.00,36,56,-20,-0.62,-0.62,Matches,585a73a8
13,Joachim Andersen,dk DEN,DF,Sampdoria,22,1996,32,2880,90,84.2,32.0,32,90,32,0,,1,1.50,52,42,+10,+0.31,+0.48,Matches,e34fc66d
14,Nícolas Andrade,br BRA,GK,Udinese,30,1988,0,,,,,0,,0,0,,38,,,,,,,Matches,326d09ef
15,Marco Andreolli,it ITA,DF,Cagliari,32,1986,3,106,35,3.1,1.2,1,90,1,2,8,17,0.33,0,3,-3,-2.55,-2.14,Matches,13d820de
